,count,unique,top,freq,mean,std,min,25%,50%,75%,max
clouds (%),110.0,,,,0.3145454545454546,0.32924611235682816,0.0,0.01,0.22,0.55,1.0
Date ,110,110,2024-09-13,1,,,,,,,
dewpt (°C),110.0,,,,19.134545454545453,5.455179112484857,4.5,15.1,19.15,24.475,26.6
dhi (W/m²),110.0,,,,44.82727272727273,3.0765734869088193,41.0,42.0,44.0,47.0,51.0
dni (W/m²),110.0,,,,363.0181818181818,19.366566204986974,339.0,344.0,361.0,380.75,400.0
ghi (W/m²),110.0,,,,254.87272727272727,36.62006996994731,213.0,218.25,247.5,287.5,322.0
max_dhi (W/m²),110.0,,,,119.85454545454546,3.8165173702427273,115.0,116.0,119.5,123.75,126.0
max_dni (W/m²),110.0,,,,923.6454545454545,12.735550447638172,907.0,910.0,923.5,936.75,941.0
max_ghi (W/m²),110.0,,,,858.709090909091,89.30396967193548,753.0,768.5,844.0,941.25,1014.0
max_temp (°C),110.0,,,,31.721818181818183,2.4981601236382174,25.9,30.1,31.9,33.7,35.9
max_uv (Index),110.0,,,,6.173636363636363,1.6030748706368614,2.2,5.3,6.5,7.275,9.5
max_wind_dir (°),110.0,,,,132.21818181818182,74.49295044760046,21.0,73.0,102.5,201.25,330.0
max_wind_spd (m/s),110.0,,,,3.0145454545454546,0.7540516084394746,1.6,2.4,2.8,3.6,4.8
min_temp (°C),110.0,,,,21.83181818181818,3.6923658365912257,14.4,18.6,22.2,25.2,27.4
precip (mm),110.0,,,,4.341818181818182,14.290025916721907,0.0,0.0,0.0,0.0,105.8
precip_gpm (mm/hr),110.0,,,,4.341818181818182,14.290025916721907,0.0,0.0,0.0,0.0,105.8
pres (hPa),110.0,,,,1002.0272727272727,2.8266720826003366,994.0,1000.0,1002.0,1004.0,1007.0
rh (%),110.0,,,,0.6747272727272727,0.12931512673182538,0.37,0.58,0.655,0.78,0.97
slp (hPa),110.0,,,,1010.9818181818182,2.8956842869302313,1003.0,1009.0,1011.0,1013.0,1016.0
solar_rad (W/m²),110.0,,,,214.1818181818182,61.833333520671246,31.0,201.5,223.5,254.75,313.0
temp (°C),110.0,,,,26.29181818181818,2.803377118653707,20.2,23.924999999999997,27.0,28.6,30.7
wind_dir (°),110.0,,,,132.21818181818182,74.49295044760046,21.0,73.0,102.5,201.25,330.0
wind_gust_spd (m/s),110.0,,,,6.847272727272728,1.5812960130540867,4.4,5.6,6.6,7.9,12.4
wind_spd (m/s),110.0,,,,2.1027272727272726,0.6200708883577941,1.0,1.6,2.0,2.575,3.7
market_name (Text),110,1,Kosamba_Vankal,110,,,,,,,
query_lat (°),110.0,,,,21.429999999999993,7.137946645840222e-15,21.43,21.43,21.43,21.43,21.43
query_lon (°),110.0,,,,73.22999999999999,1.4275893291680444e-14,73.23,73.23,73.23,73.23,73.23
