,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.5423163708932208,0.47690998737793816,0.48048833836888133,0.5053159367374251,0.4786770590487706,0.48136239948299525,0.501944750812876,-0.12226967863702491,-0.725381285346754,0.41614612277763474,-0.08053104962311511,0.519987770414848,0.5148314044876646,0.5148314044876646,-0.6308327123160088,0.6493947525446154,-0.6286665288090783,-0.6802016331836022,0.29311139773251227,0.41614612277763474,0.027707201424191853,-0.21787464351023034,,
dewpt (°C),0.5423163708932208,1.0,0.8470959364949164,0.8665284415179373,0.8648557795439654,0.8797879881266514,0.8978314781299608,0.8715038191521723,0.5650486027123438,-0.012767173817849331,0.4781706028992298,-0.4306605181120006,0.9473953752376787,0.34314129101423996,0.34314129101423996,-0.7199653969881665,0.9216099864190523,-0.7464392014058447,-0.006152009154310742,0.882257920054651,0.4781706028992298,-0.37544832818197454,-0.5442057127837655,,
dhi (W/m²),0.47690998737793816,0.8470959364949164,1.0,0.9944314609985992,0.9932550438536538,0.987795955339068,0.9802008249790403,0.9930778883943331,0.44704848432957417,0.07291693376553234,0.47080455321676223,-0.1610466477081694,0.8599463972134801,0.34819618790524665,0.34819618790524665,-0.8286419507083113,0.7798806548227925,-0.8489150773918125,0.05172046760474474,0.7809194884344898,0.47080455321676223,-0.09485860118900119,-0.2315499857705592,,
dni (W/m²),0.48048833836888133,0.8665284415179373,0.9944314609985992,1.0,0.9971011411277936,0.9951333390133126,0.9909064029526564,0.998158553558233,0.4747992420374805,0.07271018574717016,0.46633353433671315,-0.18446708589754607,0.8775939310755796,0.346918749729128,0.346918749729128,-0.8203571791736523,0.7927017721572457,-0.8413624418974255,0.05453747481295771,0.8041353848051432,0.46633353433671315,-0.1143467051362282,-0.2613602480855253,,
ghi (W/m²),0.5053159367374251,0.8648557795439654,0.9932550438536538,0.9971011411277936,1.0,0.99284494309128,0.9860523594392753,0.9994173528724424,0.4302313251578932,0.04445056805300191,0.5047873151936021,-0.1704384391178769,0.8694392811389549,0.3656158036501926,0.3656158036501926,-0.8309575061235304,0.8099541381584138,-0.8521312342744589,0.029007955627112347,0.7787795832024808,0.5047873151936021,-0.10737498336937133,-0.2551695551230959,,
max_dhi (W/m²),0.4786770590487706,0.8797879881266514,0.987795955339068,0.9951333390133126,0.99284494309128,1.0,0.9934566322407099,0.9951779620109189,0.4854039774739511,0.06444667137258304,0.46350143902155677,-0.22623682832389344,0.8893139899146898,0.3579465232068215,0.3579465232068215,-0.80837342070704,0.8055678166049732,-0.8303885861239728,0.043693293519543486,0.8166388304508172,0.46350143902155677,-0.14843524288856788,-0.3018276568473646,,
max_dni (W/m²),0.48136239948299525,0.8978314781299608,0.9802008249790403,0.9909064029526564,0.9860523594392753,0.9934566322407099,1.0,0.9908938642157976,0.5273392107288614,0.06339313637050838,0.43815721009984354,-0.26370313160235925,0.9048883483468413,0.3624646042161188,0.3624646042161188,-0.7994403426282103,0.8110563228876748,-0.8231200048486277,0.035778801890742055,0.8441256696384589,0.43815721009984354,-0.19085845198849094,-0.34666021048815804,,
max_ghi (W/m²),0.501944750812876,0.8715038191521723,0.9930778883943331,0.998158553558233,0.9994173528724424,0.9951779620109189,0.9908938642157976,1.0,0.45043007112472466,0.04813062062181816,0.4895243466871316,-0.18794650211400343,0.8779516056659822,0.36679128886449497,0.36679128886449497,-0.8278742779618445,0.8095766379629392,-0.849526483138332,0.029611230432738816,0.7931393045266047,0.4895243466871316,-0.1215710102513005,-0.27159589795487593,,
max_temp (°C),-0.12226967863702491,0.5650486027123438,0.44704848432957417,0.4747992420374805,0.4302313251578932,0.4854039774739511,0.5273392107288614,0.45043007112472466,1.0,0.44475595364889586,-0.1259305147852813,-0.38862196549841405,0.6235979985220489,-0.10754111673534303,-0.10754111673534303,-0.22445780303916826,0.23769028619233967,-0.2521979280686408,0.41607694516685356,0.8474786244523658,-0.1259305147852813,-0.4225716525472824,-0.40200515218144073,,
max_uv (Index),-0.725381285346754,-0.012767173817849331,0.07291693376553234,0.07271018574717016,0.04445056805300191,0.06444667137258304,0.06339313637050838,0.04813062062181816,0.44475595364889586,1.0,-0.12937904946972986,-0.05538748739966968,0.019749762069882618,-0.396652236940114,-0.396652236940114,0.18136392950695865,-0.195181028917812,0.17124716240177246,0.9167908050470078,0.21603875793655858,-0.12937904946972986,-0.1358733995678216,0.015578563391520242,,
