Column,IQR Outliers,IQR %,Z-Score Outliers (>3),Lower Bound,Upper Bound
clouds (%),0,0.00%,0,-0.8,1.36
dewpt (°C),0,0.00%,0,1.037499999999996,38.53750000000001
dhi (W/m²),0,0.00%,0,34.5,54.5
dni (W/m²),0,0.00%,0,288.875,435.875
ghi (W/m²),0,0.00%,0,114.375,391.375
max_dhi (W/m²),0,0.00%,0,104.375,135.375
max_dni (W/m²),0,0.00%,0,869.875,976.875
max_ghi (W/m²),0,0.00%,0,509.375,1200.375
max_temp (°C),0,0.00%,0,24.7,39.10000000000001
max_uv (Index),1,0.91%,0,2.337499999999999,10.2375
max_wind_dir (°),0,0.00%,0,-119.375,393.625
max_wind_spd (m/s),0,0.00%,0,0.5999999999999996,5.4
min_temp (°C),0,0.00%,0,8.700000000000005,35.099999999999994
precip (mm),24,21.82%,3,0.0,0.0
precip_gpm (mm/hr),24,21.82%,3,0.0,0.0
pres (hPa),0,0.00%,0,994.0,1010.0
rh (%),0,0.00%,0,0.27999999999999986,1.08
slp (hPa),0,0.00%,0,1003.0,1019.0
solar_rad (W/m²),12,10.91%,0,121.625,334.625
temp (°C),0,0.00%,0,16.91249999999999,35.61250000000001
wind_dir (°),0,0.00%,0,-119.375,393.625
wind_gust_spd (m/s),1,0.91%,1,2.1499999999999986,11.350000000000001
wind_spd (m/s),0,0.00%,0,0.13749999999999996,4.0375000000000005
query_lat (°),0,0.00%,0,21.43,21.43
query_lon (°),0,0.00%,0,73.23,73.23
