Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,92,"[0.0, 0.0, 0.05]"
Date ,object,366,0,366,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,366,0,151,"[17.7, 17.5, 17.0]"
dhi (W/m²),int64,366,0,15,"[41, 41, 42]"
dni (W/m²),int64,366,0,99,"[340, 340, 340]"
ghi (W/m²),int64,366,0,142,"[215, 216, 216]"
max_dhi (W/m²),int64,366,0,14,"[116, 116, 116]"
max_dni (W/m²),int64,366,0,49,"[910, 910, 911]"
max_ghi (W/m²),int64,366,0,193,"[759, 760, 762]"
max_temp (°C),float64,366,0,40,"[29.3, 27.8, 27.0]"
max_uv (Index),float64,366,0,94,"[6.3, 6.3, 6.2]"
max_wind_dir (°),int64,366,0,197,"[156, 161, 112]"
max_wind_spd (m/s),float64,366,0,19,"[3.2, 3.2, 3.2]"
min_temp (°C),float64,366,0,46,"[19.3, 17.8, 16.7]"
precip (mm),float64,366,0,76,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,76,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,22,"[1010, 1009, 1009]"
rh (%),float64,366,0,62,"[0.71, 0.76, 0.78]"
slp (hPa),int64,366,0,21,"[1014, 1013, 1013]"
solar_rad (W/m²),int64,366,0,200,"[215, 216, 215]"
temp (°C),float64,366,0,129,"[23.6, 22.1, 21.4]"
wind_dir (°),int64,366,0,197,"[156, 161, 112]"
wind_gust_spd (m/s),float64,366,0,31,"[6.4, 6.0, 6.8]"
wind_spd (m/s),float64,366,0,51,"[2.4, 2.2, 2.6]"
market_name (Text),object,366,0,1,"['Kosamba_Zangvav', 'Kosamba_Zangvav', 'Kosamba_Zangvav']"
query_lat (°),float64,366,0,1,"[21.48, 21.48, 21.48]"
query_lon (°),float64,366,0,1,"[72.95, 72.95, 72.95]"
