Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,88,"[0.0, 0.0, 0.0]"
Date ,object,366,0,366,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,366,0,153,"[13.2, 13.3, 12.6]"
dhi (W/m²),int64,366,0,15,"[41, 41, 41]"
dni (W/m²),int64,366,0,99,"[339, 339, 339]"
ghi (W/m²),int64,366,0,140,"[216, 216, 217]"
max_dhi (W/m²),int64,366,0,14,"[116, 116, 116]"
max_dni (W/m²),int64,366,0,48,"[910, 910, 911]"
max_ghi (W/m²),int64,366,0,184,"[760, 761, 762]"
max_temp (°C),float64,366,0,48,"[30.0, 28.9, 27.8]"
max_uv (Index),float64,366,0,96,"[6.3, 6.3, 6.3]"
max_wind_dir (°),int64,366,0,174,"[263, 277, 136]"
max_wind_spd (m/s),float64,366,0,19,"[3.6, 3.6, 4.0]"
min_temp (°C),float64,366,0,48,"[18.1, 17.8, 16.3]"
precip (mm),float64,366,0,63,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,63,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,22,"[1012, 1011, 1011]"
rh (%),float64,366,0,72,"[0.54, 0.58, 0.58]"
slp (hPa),int64,366,0,23,"[1014, 1013, 1013]"
solar_rad (W/m²),int64,366,0,205,"[216, 216, 217]"
temp (°C),float64,366,0,141,"[23.3, 22.5, 21.7]"
wind_dir (°),int64,366,0,174,"[263, 277, 136]"
wind_gust_spd (m/s),float64,366,0,33,"[7.6, 7.6, 8.8]"
wind_spd (m/s),float64,366,0,55,"[2.7, 2.8, 3.4]"
market_name (Text),object,366,0,1,"['Mahuva', 'Mahuva', 'Mahuva']"
query_lat (°),float64,366,0,1,"[21.0971295574681, 21.0971295574681, 21.0971295574681]"
query_lon (°),float64,366,0,1,"[71.7605575278939, 71.7605575278939, 71.7605575278939]"
