,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.6045488637634399,0.39582985380370456,0.37782081806200757,0.41959755443994445,0.3161060637721237,0.10427304132739697,0.4024072818205189,-0.2321527971941221,-0.6823087025825323,0.2301776726660363,0.29422456096121463,0.37128550209567607,0.5242306887448408,0.5242306887448408,-0.6040153908810092,0.6688398577456325,-0.6068822830439311,-0.7518839546185822,0.10649386050139444,0.2301776726660363,0.23801423237741423,0.3201519867727868,,
dewpt (°C),0.6045488637634399,1.0,0.5630544449913722,0.5619549542200775,0.5930749515692681,0.44492031804562765,0.1419524436943305,0.5668217084933539,0.12124120042817287,-0.24117407604872393,0.3095073890377729,0.24561412270773877,0.7116838312640508,0.3617713227399474,0.3617713227399474,-0.7610330663905632,0.8348547709363682,-0.7659116490564487,-0.2665512517371875,0.4811094095835057,0.3095073890377729,0.1852991411550312,0.22924989784643154,,
dhi (W/m²),0.39582985380370456,0.5630544449913722,1.0,0.997333369327969,0.9963512011648503,0.9352257654207289,0.7133959400707992,0.9827405389263976,0.6258097106615004,0.3006863635994974,0.6287614957172016,0.5028640751852634,0.8959762807446524,0.2236251951862263,0.2236251951862263,-0.8129801421042249,0.15158589197625602,-0.8083400619258647,0.16879380547219616,0.8457056815285908,0.6287614957172016,0.48533051573759456,0.3644855001252612,,
dni (W/m²),0.37782081806200757,0.5619549542200775,0.997333369327969,1.0,0.9952539468535881,0.9274888727849501,0.700545707939505,0.9782278367479517,0.6431283120523049,0.31895060055116675,0.6241844200590635,0.5072785939473112,0.9007613065223833,0.21088143956050204,0.21088143956050204,-0.8158730085456576,0.14144695843194718,-0.8114385329507805,0.18739546266352197,0.8566234731040844,0.6241844200590635,0.48966594341191305,0.3665631616157526,,
ghi (W/m²),0.41959755443994445,0.5930749515692681,0.9963512011648503,0.9952539468535881,1.0,0.9413710471181622,0.719225069021148,0.9900267443854902,0.6113373640821428,0.279127879230876,0.6434945068296796,0.4867348252469842,0.90493550306526,0.23572706409476782,0.23572706409476782,-0.8216427654765085,0.18900522592304306,-0.8181429505975113,0.1498827761924723,0.843824019049291,0.6434945068296796,0.46624852361629715,0.3536750833484824,,
max_dhi (W/m²),0.3161060637721237,0.44492031804562765,0.9352257654207289,0.9274888727849501,0.9413710471181622,1.0,0.9053106612633803,0.9754987863026163,0.6647588917536835,0.3629452422422476,0.6592732635904957,0.33419193156764737,0.8437985460795664,0.17614502340688304,0.17614502340688304,-0.6484245604635241,0.037982672888997926,-0.6477398394436799,0.23139288914499315,0.8341389646182391,0.6592732635904957,0.3285801239298574,0.1912104828048503,,
max_dni (W/m²),0.10427304132739697,0.1419524436943305,0.7133959400707992,0.700545707939505,0.719225069021148,0.9053106612633803,1.0,0.7991480351980474,0.643700129417894,0.45065241239407783,0.5899316826016284,0.10716445994680518,0.6130400164216432,0.04609470778627351,0.04609470778627351,-0.3036110803086436,-0.21074896799536066,-0.3047086068989477,0.33043348205393264,0.686158610050939,0.5899316826016284,0.12612818134721976,-0.03493817843910482,,
max_ghi (W/m²),0.4024072818205189,0.5668217084933539,0.9827405389263976,0.9782278367479517,0.9900267443854902,0.9754987863026163,0.7991480351980474,1.0,0.6243199062704592,0.2954057914270722,0.6613836560670555,0.42057706586602234,0.8977689807849168,0.22549632324383131,0.22549632324383131,-0.7728454946921576,0.16380834288860088,-0.770921143057757,0.16494864272640072,0.8464991374437162,0.6613836560670555,0.4034625547769452,0.2872942369771999,,
max_temp (°C),-0.2321527971941221,0.12124120042817287,0.6258097106615004,0.6431283120523049,0.6113373640821428,0.6647588917536835,0.643700129417894,0.6243199062704592,1.0,0.7251510190379418,0.40640322655155514,0.09671619743316455,0.6940407815640411,-0.24842648510181792,-0.24842648510181792,-0.296587440157623,-0.42718654590669525,-0.29488676906122063,0.6644085611658682,0.8999353693646458,0.40640322655155514,0.10195994001037133,-0.07409071358880906,,
max_uv (Index),-0.6823087025825323,-0.24117407604872393,0.3006863635994974,0.31895060055116675,0.279127879230876,0.3629452422422476,0.45065241239407783,0.2954057914270722,0.7251510190379418,1.0,0.23757133466348687,0.06583331271021992,0.2713125699000847,-0.38658138514061485,-0.38658138514061485,0.07489124333640575,-0.6180441966298863,0.08045966034305921,0.9339639303229489,0.5202703166998631,0.23757133466348687,0.10650519538325733,-0.07335879855775539,,
max_wind_dir (°),0.2301776726660363,0.3095073890377729,0.6287614957172016,0.6241844200590635,0.6434945068296796,0.6592732635904957,0.5899316826016284,0.6613836560670555,0.40640322655155514,0.23757133466348687,1.0,0.13715210592093727,0.52826057591909,0.16726227271171862,0.16726227271171862,-0.4825085035563839,0.07363387577965147,-0.4754947900343117,0.14595102950173255,0.5158429065841439,1.0,0.11796569209480223,0.016838623206648827,,
max_wind_spd (m/s),0.29422456096121463,0.24561412270773877,0.5028640751852634,0.5072785939473112,0.4867348252469842,0.33419193156764737,0.10716445994680518,0.42057706586602234,0.09671619743316455,0.06583331271021992,0.13715210592093727,1.0,0.3704049915322733,0.2652264325838178,0.2652264325838178,-0.5549416697817642,0.11943386239122192,-0.5431798981276326,-0.04634901369090264,0.26926302785305994,0.1371521059209373,0.9580967896685978,0.9259990440276318,,
min_temp (°C),0.37128550209567607,0.7116838312640508,0.8959762807446524,0.9007613065223833,0.90493550306526,0.8437985460795664,0.6130400164216432,0.8977689807849168,0.6940407815640411,0.2713125699000847,0.52826057591909,0.3704049915322733,1.0,0.18191779974813874,0.18191779974813874,-0.7937200173808833,0.24790334171525347,-0.7954457706532235,0.17689114343736798,0.9337142064944779,0.52826057591909,0.3316922772920979,0.24473869767417664,,
precip (mm),0.5242306887448408,0.3617713227399474,0.2236251951862263,0.21088143956050204,0.23572706409476782,0.17614502340688304,0.04609470778627351,0.22549632324383131,-0.24842648510181792,-0.38658138514061485,0.16726227271171862,0.2652264325838178,0.18191779974813874,1.0,1.0,-0.4252744614563206,0.4792815365758741,-0.42983641859662525,-0.5356557362217613,-0.018190613679411834,0.16726227271171862,0.23046295437592285,0.27661951873828333,,
precip_gpm (mm/hr),0.5242306887448408,0.3617713227399474,0.2236251951862263,0.21088143956050204,0.23572706409476782,0.17614502340688304,0.04609470778627351,0.22549632324383131,-0.24842648510181792,-0.38658138514061485,0.16726227271171862,0.2652264325838178,0.18191779974813874,1.0,1.0,-0.4252744614563206,0.4792815365758741,-0.42983641859662525,-0.5356557362217613,-0.018190613679411834,0.16726227271171862,0.23046295437592285,0.27661951873828333,,
pres (hPa),-0.6040153908810092,-0.7610330663905632,-0.8129801421042249,-0.8158730085456576,-0.8216427654765085,-0.6484245604635241,-0.3036110803086436,-0.7728454946921576,-0.296587440157623,0.07489124333640575,-0.4825085035563839,-0.5549416697817642,-0.7937200173808833,-0.4252744614563206,-0.4252744614563206,1.0,-0.5141203980804218,0.9959524547086696,0.18364305631127287,-0.6195206532190184,-0.48250850355638447,-0.5035632845104419,-0.49455892890127234,,
rh (%),0.6688398577456325,0.8348547709363682,0.15158589197625602,0.14144695843194718,0.18900522592304306,0.037982672888997926,-0.21074896799536066,0.16380834288860088,-0.42718654590669525,-0.6180441966298863,0.07363387577965147,0.11943386239122192,0.24790334171525347,0.4792815365758741,0.4792815365758741,-0.5141203980804218,1.0,-0.5204476376680185,-0.609353575097806,-0.06508141258058144,0.07363387577965151,0.06329684389575459,0.19920475974796167,,
slp (hPa),-0.6068822830439311,-0.7659116490564487,-0.8083400619258647,-0.8114385329507805,-0.8181429505975113,-0.6477398394436799,-0.3047086068989477,-0.770921143057757,-0.29488676906122063,0.08045966034305921,-0.4754947900343117,-0.5431798981276326,-0.7954457706532235,-0.42983641859662525,-0.42983641859662525,0.9959524547086696,-0.5204476376680185,1.0,0.1872234409651505,-0.6190049115018322,-0.47549479003431144,-0.4916937131658012,-0.4848662899222035,,
solar_rad (W/m²),-0.7518839546185822,-0.2665512517371875,0.16879380547219616,0.18739546266352197,0.1498827761924723,0.23139288914499315,0.33043348205393264,0.16494864272640072,0.6644085611658682,0.9339639303229489,0.14595102950173255,-0.04634901369090264,0.17689114343736798,-0.5356557362217613,-0.5356557362217613,0.18364305631127287,-0.609353575097806,0.1872234409651505,1.0,0.433994858380164,0.14595102950173255,-0.0020554253090994353,-0.16431435452983537,,
temp (°C),0.10649386050139444,0.4811094095835057,0.8457056815285908,0.8566234731040844,0.843824019049291,0.8341389646182391,0.686158610050939,0.8464991374437162,0.8999353693646458,0.5202703166998631,0.5158429065841439,0.26926302785305994,0.9337142064944779,-0.018190613679411834,-0.018190613679411834,-0.6195206532190184,-0.06508141258058144,-0.6190049115018322,0.433994858380164,1.0,0.5158429065841438,0.2481124145832339,0.11003192947323744,,
wind_dir (°),0.2301776726660363,0.3095073890377729,0.6287614957172016,0.6241844200590635,0.6434945068296796,0.6592732635904957,0.5899316826016284,0.6613836560670555,0.40640322655155514,0.23757133466348687,1.0,0.1371521059209373,0.52826057591909,0.16726227271171862,0.16726227271171862,-0.48250850355638447,0.07363387577965151,-0.47549479003431144,0.14595102950173255,0.5158429065841438,1.0,0.11796569209480223,0.016838623206648827,,
wind_gust_spd (m/s),0.23801423237741423,0.1852991411550312,0.48533051573759456,0.48966594341191305,0.46624852361629715,0.3285801239298574,0.12612818134721976,0.4034625547769452,0.10195994001037133,0.10650519538325733,0.11796569209480223,0.9580967896685978,0.3316922772920979,0.23046295437592285,0.23046295437592285,-0.5035632845104419,0.06329684389575459,-0.4916937131658012,-0.0020554253090994353,0.2481124145832339,0.11796569209480223,1.0,0.9109385212119838,,
