,count,mean,std,min,25%,50%,75%,max,range,cv
clouds (%),366.0,0.3771311475409836,0.3740452236408621,0.0,0.02,0.245,0.7675000000000001,1.0,1.0,99.18173719666416
dewpt (°C),366.0,18.768306010928963,6.339787894495891,0.7,13.625,19.0,25.0,27.1,26.400000000000002,33.77922275353019
dhi (W/m²),366.0,49.385245901639344,4.97794597236152,41.0,45.0,51.0,54.0,55.0,14.0,10.079824209595111
dni (W/m²),366.0,393.78142076502735,34.062493480153286,338.0,361.0,401.0,426.75,436.0,98.0,8.650101727495837
ghi (W/m²),366.0,301.8661202185792,52.99827962808031,213.0,250.25,316.5,353.0,361.0,148.0,17.556882365501835
max_dhi (W/m²),366.0,123.49453551912568,4.127252916042523,115.0,120.0,126.0,126.0,128.0,13.0,3.342053070358998
max_dni (W/m²),366.0,934.1475409836065,13.197138833426234,908.0,927.25,936.0,941.0,955.0,47.0,1.4127467294438696
max_ghi (W/m²),366.0,951.9972677595629,109.34834368424156,754.0,850.25,1003.0,1047.0,1061.0,307.0,11.486203520476767
max_temp (°C),366.0,33.02158469945355,3.845915634915636,25.6,30.0,32.2,36.199999999999996,43.0,17.4,11.646671926617984
max_uv (Index),366.0,7.242622950819673,2.8072484856499873,2.1,4.8,6.9,9.575,12.1,10.0,38.760108108793396
max_wind_dir (°),366.0,197.92349726775956,81.71171941772712,10.0,163.0,230.0,250.0,321.0,311.0,41.284496558376766
max_wind_spd (m/s),366.0,4.675409836065574,1.424096626439805,2.0,3.6,4.4,5.6,10.4,8.4,30.459289695942527
min_temp (°C),366.0,24.02295081967213,4.431026107426806,14.1,20.4,25.6,27.4,32.2,18.1,18.44497014828956
precip (mm),366.0,3.9898907103825128,11.78252160322606,0.0,0.0,0.0,0.7250000000000001,95.8,95.8,295.3093820982496
precip_gpm (mm/hr),366.0,3.9898907103825128,11.78252160322606,0.0,0.0,0.0,0.7250000000000001,95.8,95.8,295.3093820982496
pres (hPa),366.0,1006.311475409836,5.189687298436973,994.0,1003.0,1007.0,1011.0,1015.0,21.0,0.5157138147831806
rh (%),366.0,0.6115300546448089,0.18565650392703176,0.23,0.46,0.61,0.79,0.96,0.73,30.359342524034318
slp (hPa),366.0,1008.6311475409836,5.190931216912817,996.0,1005.0,1009.0,1013.0,1018.0,22.0,0.5146510921825259
solar_rad (W/m²),366.0,233.21311475409837,90.14951624710359,32.0,183.25,238.5,308.75,361.0,329.0,38.65542310609671
temp (°C),366.0,28.1103825136612,3.8587245200682028,19.9,25.35,28.4,30.5,36.9,17.0,13.727043800250401
wind_dir (°),366.0,197.92349726775956,81.71171941772712,10.0,163.0,230.0,250.0,321.0,311.0,41.284496558376766
wind_gust_spd (m/s),366.0,9.28415300546448,2.4686794692164207,4.0,7.6,9.2,10.8,19.2,15.2,26.590249727286935
wind_spd (m/s),366.0,3.3489071038251366,1.139904541595215,1.2,2.5,3.2,3.9,8.1,6.8999999999999995,34.038105753761
query_lat (°),366.0,21.097129557468097,3.557577081048374e-15,21.0971295574681,21.0971295574681,21.0971295574681,21.0971295574681,21.0971295574681,0.0,1.686284890727725e-14
query_lon (°),366.0,71.76055752789388,1.4230308324193497e-14,71.7605575278939,71.7605575278939,71.7605575278939,71.7605575278939,71.7605575278939,0.0,1.9830264443893245e-14
