Column,IQR Outliers,IQR %,Z-Score Outliers (>3),Lower Bound,Upper Bound
clouds (%),0,0.00%,0,-1.10125,1.8887500000000002
dewpt (°C),0,0.00%,0,-3.4375,42.0625
dhi (W/m²),0,0.00%,0,31.5,67.5
dni (W/m²),0,0.00%,0,262.375,525.375
ghi (W/m²),0,0.00%,0,96.125,507.125
max_dhi (W/m²),0,0.00%,0,111.0,135.0
max_dni (W/m²),0,0.00%,0,906.625,961.625
max_ghi (W/m²),0,0.00%,0,555.125,1342.125
max_temp (°C),0,0.00%,0,20.700000000000006,45.499999999999986
max_uv (Index),0,0.00%,0,-2.3625,16.737499999999997
max_wind_dir (°),30,8.20%,0,32.5,380.5
max_wind_spd (m/s),2,0.55%,2,0.600000000000001,8.599999999999998
min_temp (°C),0,0.00%,0,9.899999999999999,37.9
precip (mm),74,20.22%,10,-1.0875000000000001,1.8125000000000002
precip_gpm (mm/hr),74,20.22%,10,-1.0875000000000001,1.8125000000000002
pres (hPa),0,0.00%,0,991.0,1023.0
rh (%),0,0.00%,0,-0.034999999999999976,1.2850000000000001
slp (hPa),0,0.00%,0,993.0,1025.0
solar_rad (W/m²),0,0.00%,0,-5.0,497.0
temp (°C),0,0.00%,0,17.625000000000004,38.224999999999994
wind_dir (°),30,8.20%,0,32.5,380.5
wind_gust_spd (m/s),4,1.09%,4,2.799999999999998,15.600000000000001
wind_spd (m/s),9,2.46%,4,0.40000000000000036,6.0
query_lat (°),0,0.00%,0,21.0971295574681,21.0971295574681
query_lon (°),0,0.00%,0,71.7605575278939,71.7605575278939
