Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,364,0,93,"[0.0, 0.01, 0.1]"
Date ,object,364,0,364,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,364,0,145,"[18.3, 18.1, 18.0]"
dhi (W/m²),int64,364,0,14,"[42, 42, 42]"
dni (W/m²),int64,364,0,95,"[343, 343, 343]"
ghi (W/m²),int64,364,0,139,"[218, 219, 219]"
max_dhi (W/m²),int64,364,0,13,"[116, 116, 116]"
max_dni (W/m²),int64,364,0,47,"[913, 913, 913]"
max_ghi (W/m²),int64,364,0,186,"[768, 769, 771]"
max_temp (°C),float64,364,0,39,"[30.7, 28.9, 27.8]"
max_uv (Index),float64,364,0,96,"[6.4, 6.4, 6.3]"
max_wind_dir (°),int64,364,0,154,"[175, 167, 145]"
max_wind_spd (m/s),float64,364,0,17,"[3.2, 3.6, 2.8]"
min_temp (°C),float64,364,0,44,"[18.9, 17.8, 17.0]"
precip (mm),float64,364,0,77,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,364,0,77,"[0.0, 0.0, 0.0]"
pres (hPa),int64,364,0,21,"[1006, 1006, 1005]"
rh (%),float64,364,0,62,"[0.73, 0.78, 0.82]"
slp (hPa),int64,364,0,21,"[1013, 1013, 1013]"
solar_rad (W/m²),int64,364,0,208,"[218, 219, 218]"
temp (°C),float64,364,0,120,"[23.8, 22.5, 21.7]"
wind_dir (°),int64,364,0,154,"[175, 167, 145]"
wind_gust_spd (m/s),float64,364,0,31,"[6.8, 7.2, 6.4]"
wind_spd (m/s),float64,364,0,52,"[1.7, 1.8, 2.0]"
market_name (Text),object,364,0,1,"['Mahuva_Anaval', 'Mahuva_Anaval', 'Mahuva_Anaval']"
query_lat (°),float64,364,0,1,"[20.84, 20.84, 20.84]"
query_lon (°),float64,364,0,1,"[73.26, 73.26, 73.26]"
