,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.6462345237009456,0.429197861694226,0.4208285656008346,0.45024871556914353,0.2986528159305326,0.022441498596009433,0.4169057304656021,-0.45965640161909177,-0.7228673553240799,0.3057837678810299,0.4794315127195554,0.4860950647617957,0.5246012463344416,0.5246012463344416,-0.6601633317920559,0.7674564555074078,-0.6528108091466029,-0.7776221352454341,0.10116656275977051,0.3057837678810299,0.48900985597271357,0.5045109811297215,,
dewpt (°C),0.6462345237009456,1.0,0.6837614642808467,0.6825530104465429,0.7078114681483497,0.5644449439266911,0.2510288315609038,0.6807384432005746,-0.005877733594838532,-0.20391103459066437,0.511240046216991,0.43442866774748357,0.8908330827497707,0.372772969242593,0.372772969242593,-0.7864033354302328,0.8427787957666083,-0.7909840701538755,-0.26856965055530974,0.6124656636296595,0.511240046216991,0.4445903996057704,0.4318931097823233,,
dhi (W/m²),0.429197861694226,0.6837614642808467,1.0,0.9970302963466452,0.9961114459273106,0.9223971692912786,0.6701722941189346,0.9791634311741262,0.2633831654561402,0.19774596635565864,0.6548075603643335,0.6107611588875359,0.7887689321869701,0.271625458098842,0.271625458098842,-0.7941561411507326,0.4032735525463192,-0.7988864350866807,0.026997518430008693,0.7194307715370253,0.6548075603643335,0.61210178220286,0.5449445633751641,,
dni (W/m²),0.4208285656008346,0.6825530104465429,0.9970302963466452,1.0,0.994087499773844,0.9123825345656836,0.6529486077122226,0.9722639888797974,0.2820177130379388,0.20631618918835523,0.6404582453062975,0.6109035330978373,0.7947913729817684,0.2619257562047368,0.2619257562047368,-0.7970864076111877,0.3900195542295466,-0.8023299579752553,0.040427975831159944,0.7334114453943515,0.6404582453062975,0.611270030195851,0.5471836130405185,,
ghi (W/m²),0.45024871556914353,0.7078114681483497,0.9961114459273106,0.994087499773844,1.0,0.9366887790280218,0.690867218456757,0.9895165024218601,0.25818533994792964,0.182045481921709,0.6551323048874967,0.5947070753693277,0.8032324609874794,0.28145162308906885,0.28145162308906885,-0.7964035772420586,0.42918358418098385,-0.8015435085948316,0.013892789166330589,0.7261984529552347,0.6551323048874967,0.6003748507794432,0.5284803316792386,,
max_dhi (W/m²),0.2986528159305326,0.5644449439266911,0.9223971692912786,0.9123825345656836,0.9366887790280218,1.0,0.8942816399767384,0.9731748695306123,0.36309009652918695,0.3180900160930762,0.643345401822979,0.4317591368029829,0.6787165746915879,0.1964322230122794,0.1964322230122794,-0.6105312984235157,0.27185023483341847,-0.6170327665137577,0.14649623430424194,0.6972503902620695,0.643345401822979,0.45351376258982895,0.3381692045829822,,
max_dni (W/m²),0.022441498596009433,0.2510288315609038,0.6701722941189346,0.6529486077122226,0.690867218456757,0.8942816399767384,1.0,0.77717023666686,0.44711985198799775,0.46946418526546135,0.5254172949312061,0.15504114540828362,0.3787172726934276,0.036615839645781405,0.036615839645781405,-0.237772442048113,-0.012144256981466713,-0.24444782553692007,0.31942619069719747,0.5316889386978576,0.5254172949312061,0.188520194936958,0.030620460939886525,,
max_ghi (W/m²),0.4169057304656021,0.6807384432005746,0.9791634311741262,0.9722639888797974,0.9895165024218601,0.9731748695306123,0.77717023666686,1.0,0.2875915026869059,0.21721973971466121,0.658968392954944,0.5373868398528024,0.7788946883714429,0.2671084726474228,0.2671084726474228,-0.7435409467882774,0.398603712735523,-0.7488808070286646,0.044608928248636714,0.7257768879189043,0.658968392954944,0.5507795809591457,0.4604250209902892,,
max_temp (°C),-0.45965640161909177,-0.005877733594838532,0.2633831654561402,0.2820177130379388,0.25818533994792964,0.36309009652918695,0.44711985198799775,0.2875915026869059,1.0,0.6911214189920416,0.04569983714771499,-0.23591227400661144,0.3048864845323441,-0.3859212862218217,-0.3859212862218217,0.030192002435306526,-0.5149187044094571,0.020322087404729374,0.7066836873068975,0.7371274304977582,0.04569983714771499,-0.2527548884984071,-0.3173388214726123,,
max_uv (Index),-0.7228673553240799,-0.20391103459066437,0.19774596635565864,0.20631618918835523,0.182045481921709,0.3180900160930762,0.46946418526546135,0.21721973971466121,0.6911214189920416,1.0,0.14603826608880127,-0.13339677849197243,0.029988512831607736,-0.42052034129972665,-0.42052034129972665,0.20574148436742068,-0.5399221287616686,0.19241225681074325,0.92549830985931,0.401287219402024,0.14603826608880127,-0.1335417347332075,-0.2337219560254196,,
