,count,mean,std,min,25%,50%,75%,max,range,cv
clouds (%),364.0,0.440989010989011,0.3801059876697288,0.0,0.07,0.35,0.86,1.0,1.0,86.19398175416228
dewpt (°C),364.0,20.2739010989011,5.262959097172539,5.4,16.2,21.25,25.1,26.5,21.1,25.959281696692333
dhi (W/m²),364.0,49.5521978021978,4.8412848742347085,42.0,45.0,51.0,54.0,55.0,13.0,9.77007093320083
dni (W/m²),364.0,394.8543956043956,33.195608714492806,342.0,362.75,400.5,428.0,436.0,94.0,8.407050569534869
ghi (W/m²),364.0,303.02197802197804,51.90279705451489,216.0,252.75,318.0,353.0,360.0,144.0,17.128393588253328
max_dhi (W/m²),364.0,123.68131868131869,3.9685516392052245,116.0,120.75,126.0,126.0,128.0,12.0,3.20869124093892
max_dni (W/m²),364.0,935.3076923076923,12.733714653421508,910.0,929.0,936.5,942.0,956.0,46.0,1.3614465868449677
max_ghi (W/m²),364.0,956.6813186813187,107.2271222135575,762.0,856.5,1009.0,1049.0,1062.0,300.0,11.208238325522906
max_temp (°C),364.0,32.36593406593407,3.131461950280403,26.3,30.0,31.9,34.8,40.4,14.099999999999998,9.675178673667084
max_uv (Index),364.0,6.953571428571429,2.7012625132857417,2.5,4.4,6.8,8.8,12.2,9.7,38.8471239712382
max_wind_dir (°),364.0,190.0412087912088,55.86767083264548,34.0,162.75,211.5,230.25,281.0,247.0,29.39766126936459
max_wind_spd (m/s),364.0,3.8131868131868134,1.24428910667202,1.6,2.8,3.6,4.4,8.0,6.4,32.631212883906
min_temp (°C),364.0,22.909615384615382,4.03980754872393,13.0,19.6,24.4,25.9,29.3,16.3,17.633676868433174
precip (mm),364.0,6.799450549450549,17.55419470563626,0.0,0.0,0.0,2.8,119.8,119.8,258.1707827414787
precip_gpm (mm/hr),364.0,6.799450549450549,17.55419470563626,0.0,0.0,0.0,2.8,119.8,119.8,258.1707827414787
pres (hPa),364.0,1001.6098901098901,4.46862474934127,990.0,998.75,1002.0,1005.0,1010.0,20.0,0.4461442317478516
rh (%),364.0,0.6905219780219779,0.15798490725570769,0.32,0.57,0.69,0.83,0.98,0.6599999999999999,22.8790555962115
slp (hPa),364.0,1008.8131868131868,4.544635290805765,997.0,1006.0,1009.0,1013.0,1017.0,20.0,0.4504932479285033
solar_rad (W/m²),364.0,220.57142857142858,96.78861609826863,31.0,140.75,232.5,300.0,359.0,328.0,43.88084926734977
temp (°C),364.0,27.275274725274723,2.949313536662599,20.6,25.375,27.5,29.2,33.8,13.199999999999996,10.813139615893979
wind_dir (°),364.0,190.0412087912088,55.86767083264548,34.0,162.75,211.5,230.25,281.0,247.0,29.39766126936459
wind_gust_spd (m/s),364.0,8.213186813186812,2.4642103229977916,4.4,6.4,7.6,9.2,16.8,12.4,30.003095985121632
wind_spd (m/s),364.0,2.6516483516483516,1.193426683086821,0.9,1.8,2.2,3.1,6.8,5.8999999999999995,45.00697395810224
query_lat (°),364.0,20.84,0.0,20.84,20.84,20.84,20.84,20.84,0.0,0.0
query_lon (°),364.0,73.26,0.0,73.26,73.26,73.26,73.26,73.26,0.0,0.0
