Column,IQR Outliers,IQR %,Z-Score Outliers (>3),Lower Bound,Upper Bound
clouds (%),0,0.00%,0,-1.115,2.045
dewpt (°C),0,0.00%,0,2.849999999999996,38.45
dhi (W/m²),0,0.00%,0,31.5,67.5
dni (W/m²),0,0.00%,0,264.875,525.875
ghi (W/m²),0,0.00%,0,102.375,503.375
max_dhi (W/m²),0,0.00%,0,112.875,133.875
max_dni (W/m²),0,0.00%,0,909.5,961.5
max_ghi (W/m²),0,0.00%,0,567.75,1337.75
max_temp (°C),0,0.00%,0,22.800000000000004,41.99999999999999
max_uv (Index),0,0.00%,0,-2.2,15.400000000000002
max_wind_dir (°),12,3.30%,0,61.5,331.5
max_wind_spd (m/s),10,2.75%,5,0.399999999999999,6.800000000000001
min_temp (°C),0,0.00%,0,10.150000000000006,35.349999999999994
precip (mm),72,19.78%,10,-4.199999999999999,6.999999999999999
precip_gpm (mm/hr),72,19.78%,10,-4.199999999999999,6.999999999999999
pres (hPa),0,0.00%,0,989.375,1014.375
rh (%),0,0.00%,0,0.17999999999999994,1.22
slp (hPa),0,0.00%,0,995.5,1023.5
solar_rad (W/m²),0,0.00%,0,-98.125,538.875
temp (°C),0,0.00%,0,19.637500000000003,34.9375
wind_dir (°),12,3.30%,0,61.5,331.5
wind_gust_spd (m/s),23,6.32%,4,2.200000000000002,13.399999999999999
wind_spd (m/s),21,5.77%,3,-0.15000000000000013,5.050000000000001
query_lat (°),0,0.00%,0,20.84,20.84
query_lon (°),0,0.00%,0,73.26,73.26
