Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,88,"[0.0, 0.0, 0.01]"
Date ,object,366,0,366,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,366,0,164,"[15.8, 14.5, 12.0]"
dhi (W/m²),int64,366,0,17,"[40, 40, 40]"
dni (W/m²),int64,366,0,109,"[331, 331, 332]"
ghi (W/m²),int64,366,0,152,"[206, 207, 207]"
max_dhi (W/m²),int64,366,0,14,"[114, 114, 114]"
max_dni (W/m²),int64,366,0,54,"[903, 903, 904]"
max_ghi (W/m²),int64,366,0,193,"[734, 736, 737]"
max_temp (°C),float64,366,0,59,"[27.0, 25.9, 25.9]"
max_uv (Index),float64,366,0,91,"[5.9, 5.9, 5.8]"
max_wind_dir (°),int64,366,0,194,"[131, 169, 110]"
max_wind_spd (m/s),float64,366,0,17,"[2.4, 3.2, 3.6]"
min_temp (°C),float64,366,0,60,"[15.2, 14.8, 13.0]"
precip (mm),float64,366,0,61,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,61,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,24,"[1012, 1011, 1011]"
rh (%),float64,366,0,67,"[0.76, 0.72, 0.66]"
slp (hPa),int64,366,0,24,"[1015, 1014, 1014]"
solar_rad (W/m²),int64,366,0,203,"[206, 207, 207]"
temp (°C),float64,366,0,156,"[20.6, 20.1, 19.1]"
wind_dir (°),int64,366,0,194,"[131, 169, 110]"
wind_gust_spd (m/s),float64,366,0,30,"[5.2, 6.4, 6.4]"
wind_spd (m/s),float64,366,0,46,"[1.8, 2.3, 2.2]"
market_name (Text),object,366,0,1,"['Mandal', 'Mandal', 'Mandal']"
query_lat (°),float64,366,0,1,"[23.2821620151596, 23.2821620151596, 23.2821620151596]"
query_lon (°),float64,366,0,1,"[71.9153455320185, 71.9153455320185, 71.9153455320185]"
