clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.0,2024-01-01,15.8,40,331,206,114,903,734,27.0,5.9,131,2.4,15.2,0.0,0.0,1012,0.76,1015,206,20.6,131,5.2,1.8,Mandal,23.2821620151596,71.9153455320185
0.0,2024-01-02,14.5,40,331,207,114,903,736,25.9,5.9,169,3.2,14.8,0.0,0.0,1011,0.72,1014,207,20.1,169,6.4,2.3,Mandal,23.2821620151596,71.9153455320185
0.01,2024-01-03,12.0,40,332,207,114,904,737,25.9,5.8,110,3.6,13.0,0.0,0.0,1011,0.66,1014,207,19.1,110,6.4,2.2,Mandal,23.2821620151596,71.9153455320185
0.0,2024-01-04,10.7,40,332,208,114,904,738,25.6,6.0,91,3.6,13.7,0.0,0.0,1012,0.62,1015,208,18.8,91,7.2,2.7,Mandal,23.2821620151596,71.9153455320185
0.13,2024-01-05,10.0,40,332,209,114,904,740,25.9,6.0,30,4.0,12.6,0.0,0.0,1012,0.59,1015,204,18.6,30,6.4,2.5,Mandal,23.2821620151596,71.9153455320185
0.0,2024-01-06,10.2,40,333,209,114,905,741,25.6,6.0,47,4.0,13.7,0.0,0.0,1013,0.6,1016,209,18.8,47,7.6,2.8,Mandal,23.2821620151596,71.9153455320185
0.01,2024-01-07,11.7,40,333,210,114,905,743,26.7,6.0,46,4.4,14.1,0.0,0.0,1013,0.62,1016,210,19.4,46,8.4,3.3,Mandal,23.2821620151596,71.9153455320185
0.28,2024-01-08,14.6,41,333,211,115,906,745,26.3,3.7,93,4.0,15.9,0.0,0.0,1013,0.69,1016,185,20.8,93,7.2,3.1,Mandal,23.2821620151596,71.9153455320185
0.2,2024-01-09,11.4,41,334,211,115,906,746,27.0,5.5,112,5.2,17.4,0.0,0.0,1013,0.54,1016,211,21.3,112,10.0,4.2,Mandal,23.2821620151596,71.9153455320185
0.02,2024-01-10,12.8,41,334,212,115,907,748,26.7,6.1,101,4.0,16.3,0.0,0.0,1013,0.61,1016,212,20.8,101,6.8,3.0,Mandal,23.2821620151596,71.9153455320185
0.0,2024-01-11,12.7,41,335,213,115,908,750,27.8,6.1,96,2.8,14.4,0.0,0.0,1013,0.62,1016,213,20.4,96,5.2,2.1,Mandal,23.2821620151596,71.9153455320185
0.0,2024-01-12,12.7,41,335,214,115,908,753,29.6,6.2,134,2.8,13.0,0.0,0.0,1013,0.66,1015,214,20.3,134,5.2,1.9,Mandal,23.2821620151596,71.9153455320185
0.0,2024-01-13,10.1,41,336,215,115,909,755,28.9,6.2,273,3.2,13.7,0.0,0.0,1012,0.58,1015,215,20.1,273,6.4,2.3,Mandal,23.2821620151596,71.9153455320185
0.0,2024-01-14,7.6,41,336,216,115,909,757,28.1,6.2,334,3.6,12.6,0.0,0.0,1013,0.48,1016,216,19.5,334,7.6,2.6,Mandal,23.2821620151596,71.9153455320185
0.0,2024-01-15,8.9,41,337,217,115,910,760,27.8,6.3,165,2.8,11.5,0.0,0.0,1012,0.54,1015,217,19.3,165,4.0,1.7,Mandal,23.2821620151596,71.9153455320185
0.17,2024-01-16,8.9,41,337,217,116,911,762,27.8,5.4,306,2.8,11.9,0.0,0.0,1010,0.54,1013,213,19.6,306,5.6,2.0,Mandal,23.2821620151596,71.9153455320185
0.82,2024-01-17,14.0,41,338,219,116,911,765,27.4,3.3,319,2.8,13.7,0.0,0.0,1009,0.7,1012,134,20.0,319,5.2,1.9,Mandal,23.2821620151596,71.9153455320185
0.1,2024-01-18,11.9,41,339,220,116,912,767,27.4,5.6,104,2.8,14.1,0.0,0.0,1011,0.62,1014,219,20.2,104,6.0,2.2,Mandal,23.2821620151596,71.9153455320185
0.01,2024-01-19,10.6,41,339,221,116,913,770,28.1,6.4,42,2.8,14.4,0.0,0.0,1012,0.56,1015,221,20.2,42,6.0,2.4,Mandal,23.2821620151596,71.9153455320185
0.06,2024-01-20,8.7,41,340,222,116,914,773,27.8,6.4,151,3.6,13.7,0.0,0.0,1013,0.52,1016,222,19.7,151,7.2,2.4,Mandal,23.2821620151596,71.9153455320185
0.52,2024-01-21,8.1,42,341,223,116,914,776,27.4,2.7,56,3.6,14.4,0.0,0.0,1014,0.48,1017,97,19.9,56,6.8,2.6,Mandal,23.2821620151596,71.9153455320185
0.32,2024-01-22,8.7,42,341,224,117,915,779,27.4,6.5,100,3.6,11.9,0.0,0.0,1014,0.55,1017,219,19.0,100,6.0,2.2,Mandal,23.2821620151596,71.9153455320185
0.0,2024-01-23,10.1,42,342,225,117,916,782,27.8,6.6,137,2.8,12.6,0.0,0.0,1014,0.57,1017,225,19.6,137,4.8,1.7,Mandal,23.2821620151596,71.9153455320185
0.0,2024-01-24,9.9,42,343,226,117,917,785,28.1,6.6,254,2.8,13.0,0.0,0.0,1013,0.56,1016,226,19.8,254,5.2,1.8,Mandal,23.2821620151596,71.9153455320185
0.14,2024-01-25,9.1,42,343,228,117,918,788,28.5,6.7,79,3.6,12.6,0.0,0.0,1014,0.52,1017,228,20.1,79,7.2,2.3,Mandal,23.2821620151596,71.9153455320185
0.42,2024-01-26,10.6,42,344,229,117,918,792,28.1,6.6,64,2.8,13.0,0.0,0.0,1015,0.59,1018,177,19.8,64,6.0,2.3,Mandal,23.2821620151596,71.9153455320185
0.51,2024-01-27,10.1,42,345,230,117,919,795,30.7,3.8,53,2.8,13.7,0.0,0.0,1015,0.54,1018,175,21.0,53,5.6,2.0,Mandal,23.2821620151596,71.9153455320185
0.67,2024-01-28,10.4,42,346,232,118,920,798,29.6,4.7,160,3.2,13.0,0.0,0.0,1014,0.56,1016,181,20.5,160,5.6,2.1,Mandal,23.2821620151596,71.9153455320185
0.62,2024-01-29,11.9,43,346,233,118,921,802,27.8,6.3,324,2.8,15.2,0.0,0.0,1014,0.58,1017,202,20.7,324,5.6,2.4,Mandal,23.2821620151596,71.9153455320185
0.93,2024-01-30,12.8,43,347,234,118,922,805,29.3,2.3,222,2.4,15.6,0.0,0.0,1013,0.58,1015,73,22.0,222,4.4,1.3,Mandal,23.2821620151596,71.9153455320185
0.83,2024-01-31,14.6,43,348,236,118,922,809,28.5,2.5,245,2.4,17.0,0.0,0.0,1012,0.62,1015,91,22.6,245,6.0,1.8,Mandal,23.2821620151596,71.9153455320185
0.18,2024-02-01,15.8,43,349,237,118,923,813,29.3,7.0,256,3.2,19.3,0.0,0.0,1012,0.65,1015,237,23.5,256,6.8,2.0,Mandal,23.2821620151596,71.9153455320185
0.2,2024-02-02,14.3,43,350,238,119,924,816,30.4,7.1,139,2.0,17.0,0.0,0.0,1014,0.61,1016,238,23.0,139,4.0,1.1,Mandal,23.2821620151596,71.9153455320185
0.0,2024-02-03,14.3,43,351,240,119,925,820,30.4,7.1,123,2.4,16.7,0.0,0.0,1013,0.6,1016,240,23.1,123,5.6,1.7,Mandal,23.2821620151596,71.9153455320185
0.02,2024-02-04,14.7,43,352,241,119,926,824,31.5,7.2,258,4.4,18.5,0.0,0.0,1013,0.57,1016,241,24.6,258,6.8,2.3,Mandal,23.2821620151596,71.9153455320185
0.11,2024-02-05,17.5,44,353,243,119,927,828,28.9,6.5,234,2.8,20.0,0.0,0.0,1014,0.7,1016,241,23.9,234,6.8,2.1,Mandal,23.2821620151596,71.9153455320185
0.06,2024-02-06,14.3,44,354,244,119,927,831,28.5,7.3,133,2.4,17.8,0.0,0.0,1014,0.59,1017,244,23.1,133,4.8,1.8,Mandal,23.2821620151596,71.9153455320185
