,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.5617345642841952,0.4232579929738965,0.4114930511720907,0.4485148235180847,0.3988499176974556,0.25974041710151424,0.4418962541447501,-0.09557635981640318,-0.6244076675943174,0.2061691481449779,0.275805468263514,0.3881891889851079,0.4791262167019198,0.4791262167019198,-0.5574366232291412,0.5617827336700719,-0.5569076019645309,-0.7059657431178381,0.1945570302187986,0.2061691481449779,0.3217586005557468,0.2683469399335443,,
dewpt (°C),0.5617345642841952,1.0,0.6098264699347969,0.6053568866157973,0.637162768949697,0.5361326256215018,0.2983638619985497,0.6203140751770435,0.35187847546637624,-0.14878605912294426,0.29278531496932786,0.2901353853762316,0.7855269888185278,0.3739884845750995,0.3739884845750995,-0.7992407704748002,0.6941838825800764,-0.7997558344843871,-0.20292248210677405,0.628423176531362,0.29278531496932786,0.3408040108904692,0.27743432792212397,,
dhi (W/m²),0.4232579929738965,0.6098264699347969,1.0,0.997857391497444,0.9969099801991813,0.9486352209342103,0.7931082546286449,0.9859749719750214,0.7271351544485875,0.33933574334883,0.5714904824609162,0.5376141400912068,0.8943886380829765,0.2255776299004952,0.2255776299004952,-0.8314748370456252,-0.009532014942485432,-0.8320251213543266,0.20983742508750267,0.8796375391144409,0.5714904824609162,0.5335012491995854,0.47618950741702004,,
dni (W/m²),0.4114930511720907,0.6053568866157973,0.997857391497444,1.0,0.9965911250500881,0.9443714615536586,0.7860894059882284,0.9834910720564715,0.7408845807284027,0.3488056437703744,0.5624338749681798,0.5382562814597194,0.8961483742056329,0.21797519285107028,0.21797519285107028,-0.8355477846774714,-0.02188036734341251,-0.835720837087575,0.22000233128012947,0.8861717964647838,0.5624338749681798,0.5368118817938009,0.4763117630334327,,
ghi (W/m²),0.4485148235180847,0.637162768949697,0.9969099801991813,0.9965911250500881,1.0,0.9536681307066848,0.7954918253461786,0.9911926354292226,0.715765047197066,0.3150993042382267,0.5756229756738782,0.5335798597161563,0.9034201685857601,0.23929902605831638,0.23929902605831638,-0.8440251152437181,0.026160273681639843,-0.8440587249502541,0.18712707644964724,0.8798355416880199,0.5756229756738782,0.5349490696769832,0.4727973587538892,,
max_dhi (W/m²),0.3988499176974556,0.5361326256215018,0.9486352209342103,0.9443714615536586,0.9536681307066848,1.0,0.9333531055271282,0.98249457630072,0.7012583263224347,0.35919851981654666,0.5942619691807185,0.4540517035747237,0.8504677722212366,0.20459046496175884,0.20459046496175884,-0.709839581021009,-0.06738028705418277,-0.7095008062253504,0.2335563680089067,0.8460288053259305,0.5942619691807185,0.45712330902178056,0.38418938840192757,,
max_dni (W/m²),0.25974041710151424,0.2983638619985497,0.7931082546286449,0.7860894059882284,0.7954918253461786,0.9333531055271282,1.0,0.8600236280774272,0.6319133879371596,0.41830379598124745,0.5462276957244645,0.3299778494841939,0.6754594670998235,0.10564840525305338,0.10564840525305338,-0.44883775685316124,-0.24872466282124986,-0.4483271306673984,0.30946960561352577,0.7126095588747755,0.5462276957244645,0.3252339312109659,0.24974355201550671,,
max_ghi (W/m²),0.4418962541447501,0.6203140751770435,0.9859749719750214,0.9834910720564715,0.9911926354292226,0.98249457630072,0.8600236280774272,1.0,0.7146166193670219,0.3256112056883651,0.5871415542129935,0.500860164951198,0.8990287483703723,0.23509154757817996,0.23509154757817996,-0.8042328395608138,0.008586882418732796,-0.8042076389463235,0.19825150379599876,0.8781675491097919,0.5871415542129935,0.505728386876009,0.4369883685262965,,
max_temp (°C),-0.09557635981640318,0.35187847546637624,0.7271351544485875,0.7408845807284027,0.715765047197066,0.7012583263224347,0.6319133879371596,0.7146166193670219,1.0,0.6776256995035129,0.3877621987957781,0.26044209936931473,0.7842401763040872,-0.12267243108263566,-0.12267243108263566,-0.5187869371539712,-0.40552812431167023,-0.520448683223316,0.6181413660519485,0.925309292494618,0.3877621987957781,0.2528861093414547,0.19563280383449502,,
max_uv (Index),-0.6244076675943174,-0.14878605912294426,0.33933574334883,0.3488056437703744,0.3150993042382267,0.35919851981654666,0.41830379598124745,0.3256112056883651,0.6776256995035129,1.0,0.2543979707507308,0.12854057306350689,0.290790775463696,-0.3154757609946957,-0.3154757609946957,-0.022509094213526783,-0.646872123085224,-0.025021303496009405,0.950938324031126,0.4885564176743579,0.2543979707507308,0.0880437906918593,0.07537080408239023,,
