Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,89,"[0.0, 0.0, 0.17]"
Date ,object,366,0,366,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,366,0,143,"[17.9, 18.0, 17.9]"
dhi (W/m²),int64,366,0,15,"[41, 41, 42]"
dni (W/m²),int64,366,0,99,"[340, 340, 340]"
ghi (W/m²),int64,366,0,142,"[215, 216, 216]"
max_dhi (W/m²),int64,366,0,14,"[116, 116, 116]"
max_dni (W/m²),int64,366,0,49,"[910, 910, 911]"
max_ghi (W/m²),int64,366,0,193,"[759, 760, 762]"
max_temp (°C),float64,366,0,46,"[30.7, 28.9, 28.1]"
max_uv (Index),float64,366,0,91,"[6.3, 6.3, 6.3]"
max_wind_dir (°),int64,366,0,180,"[156, 173, 188]"
max_wind_spd (m/s),float64,366,0,19,"[3.6, 3.2, 3.6]"
min_temp (°C),float64,366,0,44,"[20.0, 18.5, 17.4]"
precip (mm),float64,366,0,80,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,80,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,21,"[1008, 1008, 1007]"
rh (%),float64,366,0,68,"[0.68, 0.74, 0.79]"
slp (hPa),int64,366,0,21,"[1013, 1013, 1013]"
solar_rad (W/m²),int64,366,0,210,"[215, 216, 210]"
temp (°C),float64,366,0,128,"[24.5, 23.1, 22.1]"
wind_dir (°),int64,366,0,180,"[156, 173, 188]"
wind_gust_spd (m/s),float64,366,0,31,"[5.6, 6.4, 6.0]"
wind_spd (m/s),float64,366,0,55,"[2.2, 2.1, 2.4]"
market_name (Text),object,366,0,1,"['Mandvi', 'Mandvi', 'Mandvi']"
query_lat (°),float64,366,0,1,"[21.2594699549161, 21.2594699549161, 21.2594699549161]"
query_lon (°),float64,366,0,1,"[73.3060647944086, 73.3060647944086, 73.3060647944086]"
