clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.0,2024-01-01,17.9,41,340,215,116,910,759,30.7,6.3,156,3.6,20.0,0.0,0.0,1008,0.68,1013,215,24.5,156,5.6,2.2,Mandvi,21.2594699549161,73.3060647944086
0.0,2024-01-02,18.0,41,340,216,116,910,760,28.9,6.3,173,3.2,18.5,0.0,0.0,1008,0.74,1013,216,23.1,173,6.4,2.1,Mandvi,21.2594699549161,73.3060647944086
0.17,2024-01-03,17.9,42,340,216,116,911,762,28.1,6.3,188,3.6,17.4,0.0,0.0,1007,0.79,1013,210,22.1,188,6.0,2.4,Mandvi,21.2594699549161,73.3060647944086
0.03,2024-01-04,16.9,42,340,217,116,911,763,28.5,6.2,146,3.6,16.7,0.0,0.0,1007,0.74,1013,216,22.3,146,6.4,2.4,Mandvi,21.2594699549161,73.3060647944086
0.01,2024-01-05,16.4,42,341,217,116,911,764,28.1,6.1,89,4.0,17.4,0.0,0.0,1008,0.72,1013,217,22.1,89,6.4,3.0,Mandvi,21.2594699549161,73.3060647944086
0.22,2024-01-06,15.9,42,341,218,116,912,766,28.1,6.3,39,4.4,17.4,0.0,0.0,1009,0.69,1014,214,22.2,39,8.4,3.2,Mandvi,21.2594699549161,73.3060647944086
0.39,2024-01-07,17.8,42,341,218,116,912,768,28.9,5.9,62,5.2,19.6,0.0,0.0,1008,0.72,1014,218,23.5,62,10.0,3.6,Mandvi,21.2594699549161,73.3060647944086
0.15,2024-01-08,18.4,42,342,219,116,913,769,31.1,6.4,88,4.4,20.4,0.0,0.0,1008,0.69,1014,219,24.8,88,9.2,3.3,Mandvi,21.2594699549161,73.3060647944086
0.31,2024-01-09,18.2,42,342,220,116,913,771,29.6,5.3,37,3.6,20.4,0.0,0.0,1009,0.69,1014,186,24.5,37,6.4,2.7,Mandvi,21.2594699549161,73.3060647944086
0.08,2024-01-10,19.4,42,342,221,117,914,773,29.6,6.2,36,2.8,20.7,0.0,0.0,1009,0.74,1014,221,24.6,36,6.4,2.4,Mandvi,21.2594699549161,73.3060647944086
0.06,2024-01-11,19.9,42,343,221,117,915,775,30.4,6.5,34,3.6,20.4,0.0,0.0,1009,0.75,1015,220,24.9,34,6.4,2.7,Mandvi,21.2594699549161,73.3060647944086
0.02,2024-01-12,19.5,42,343,222,117,915,777,33.0,6.5,117,4.0,21.1,0.0,0.0,1009,0.69,1014,222,26.2,117,8.0,2.7,Mandvi,21.2594699549161,73.3060647944086
0.0,2024-01-13,18.7,42,344,223,117,916,780,33.0,6.5,187,3.2,20.4,0.0,0.0,1009,0.67,1014,223,25.9,187,7.2,2.1,Mandvi,21.2594699549161,73.3060647944086
0.0,2024-01-14,13.6,42,344,224,117,916,782,30.0,6.6,157,3.2,18.5,0.0,0.0,1010,0.57,1015,224,23.7,157,7.2,2.2,Mandvi,21.2594699549161,73.3060647944086
0.0,2024-01-15,11.3,42,345,225,117,917,784,28.9,6.6,168,2.4,15.6,0.0,0.0,1009,0.56,1015,225,21.8,168,4.8,1.6,Mandvi,21.2594699549161,73.3060647944086
0.23,2024-01-16,13.0,42,345,226,117,918,787,29.3,6.4,206,2.4,15.2,0.0,0.0,1007,0.62,1012,219,21.5,206,4.8,1.5,Mandvi,21.2594699549161,73.3060647944086
0.5,2024-01-17,12.8,42,346,227,117,918,789,28.5,3.5,166,2.4,15.2,0.0,0.0,1007,0.62,1012,160,21.5,166,6.4,1.6,Mandvi,21.2594699549161,73.3060647944086
0.03,2024-01-18,13.4,43,347,228,118,919,792,28.1,6.4,107,2.8,15.9,0.0,0.0,1008,0.61,1013,228,22.0,107,5.2,1.9,Mandvi,21.2594699549161,73.3060647944086
0.02,2024-01-19,14.0,43,347,229,118,920,795,29.6,6.7,111,4.0,16.7,0.0,0.0,1008,0.6,1013,229,22.6,111,8.4,2.9,Mandvi,21.2594699549161,73.3060647944086
0.33,2024-01-20,12.6,43,348,230,118,920,797,29.3,6.8,142,4.0,16.7,0.0,0.0,1009,0.55,1014,219,22.4,142,7.2,3.0,Mandvi,21.2594699549161,73.3060647944086
0.62,2024-01-21,10.5,43,348,231,118,921,800,28.5,2.2,41,4.4,16.7,0.0,0.0,1010,0.49,1015,70,22.3,41,9.2,3.3,Mandvi,21.2594699549161,73.3060647944086
0.49,2024-01-22,10.3,43,349,232,118,922,803,29.3,5.4,151,4.0,15.9,0.0,0.0,1010,0.5,1015,219,22.0,151,8.4,3.1,Mandvi,21.2594699549161,73.3060647944086
0.0,2024-01-23,7.5,43,350,233,118,922,806,28.5,6.9,99,4.4,15.6,0.0,0.0,1011,0.42,1016,233,21.6,99,8.8,3.0,Mandvi,21.2594699549161,73.3060647944086
0.03,2024-01-24,9.0,43,350,235,118,923,809,28.5,7.0,44,4.0,15.9,0.0,0.0,1011,0.47,1016,235,21.7,44,8.4,2.8,Mandvi,21.2594699549161,73.3060647944086
0.04,2024-01-25,10.0,43,351,236,119,924,813,29.3,7.0,61,4.4,14.4,0.0,0.0,1011,0.51,1016,235,21.8,61,9.6,3.2,Mandvi,21.2594699549161,73.3060647944086
0.27,2024-01-26,11.1,43,352,237,119,925,816,31.1,6.7,59,4.0,16.7,0.0,0.0,1012,0.49,1017,233,23.1,59,7.6,2.8,Mandvi,21.2594699549161,73.3060647944086
0.76,2024-01-27,13.3,43,353,238,119,925,819,32.6,4.7,128,4.4,16.7,0.0,0.0,1012,0.56,1017,140,23.7,128,8.4,2.5,Mandvi,21.2594699549161,73.3060647944086
0.69,2024-01-28,14.2,44,353,240,119,926,822,32.6,3.7,162,3.2,16.3,0.0,0.0,1011,0.61,1016,205,23.6,162,6.4,1.9,Mandvi,21.2594699549161,73.3060647944086
0.48,2024-01-29,13.3,44,354,241,119,927,826,30.4,6.5,153,2.8,16.3,0.0,0.0,1011,0.58,1016,238,23.0,153,6.4,1.8,Mandvi,21.2594699549161,73.3060647944086
0.29,2024-01-30,14.2,44,355,242,120,928,829,30.4,7.0,162,2.0,17.0,0.0,0.0,1010,0.6,1015,232,23.0,162,5.2,1.6,Mandvi,21.2594699549161,73.3060647944086
0.86,2024-01-31,14.5,44,356,243,120,928,833,30.0,3.2,177,2.8,17.0,0.0,0.0,1009,0.62,1014,129,23.2,177,6.4,1.5,Mandvi,21.2594699549161,73.3060647944086
0.24,2024-02-01,16.4,44,357,245,120,929,836,30.0,7.4,247,2.4,17.8,0.0,0.0,1010,0.68,1015,241,23.4,247,6.0,1.5,Mandvi,21.2594699549161,73.3060647944086
0.37,2024-02-02,17.0,44,358,246,120,930,840,30.0,3.3,151,2.4,17.8,0.0,0.0,1011,0.7,1016,189,23.7,151,5.6,1.5,Mandvi,21.2594699549161,73.3060647944086
0.02,2024-02-03,15.7,44,358,248,120,931,843,33.3,7.5,66,3.6,19.3,0.0,0.0,1010,0.57,1015,248,25.6,66,7.6,2.4,Mandvi,21.2594699549161,73.3060647944086
0.0,2024-02-04,16.0,44,359,249,120,931,847,34.8,7.5,150,2.4,20.0,0.0,0.0,1010,0.56,1015,249,26.7,150,5.2,1.9,Mandvi,21.2594699549161,73.3060647944086
0.0,2024-02-05,16.9,45,360,251,121,932,851,32.2,7.6,277,2.8,20.0,0.0,0.0,1011,0.6,1016,251,26.1,277,6.4,1.7,Mandvi,21.2594699549161,73.3060647944086
0.07,2024-02-06,18.1,45,361,252,121,933,854,32.6,7.7,216,2.8,20.7,0.0,0.0,1011,0.64,1016,233,26.1,216,6.0,1.7,Mandvi,21.2594699549161,73.3060647944086
