,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.654813334598628,0.4206924052179167,0.4112090696862906,0.4424951862590202,0.30953589330762676,0.0676759443597374,0.41504301592741955,-0.4023330656070387,-0.7188225269064056,0.29283844295793143,0.39419458062791485,0.4097677221298558,0.5292142593700421,0.5292142593700421,-0.651466498790227,0.7531962267871771,-0.6472323477740249,-0.7776136834083245,0.022122124710763514,0.29283844295793143,0.37168123963096117,0.4203290663503223,,
dewpt (°C),0.654813334598628,1.0,0.6051445563232364,0.6073139415706996,0.6340338121035703,0.4905017869016277,0.1916850266325705,0.6056771672509217,0.01810543056464221,-0.2605786765301565,0.37733284260047767,0.35458277505992053,0.8028822532719266,0.38573742438267655,0.38573742438267655,-0.7787567070263249,0.8229473213007136,-0.7777221932797055,-0.3109815488470754,0.47763373262694303,0.37733284260047767,0.3106759933068064,0.389102945533584,,
dhi (W/m²),0.4206924052179167,0.6051445563232364,1.0,0.9968389468978075,0.99662059131261,0.9329400924428588,0.7125733700410524,0.9825315237504656,0.419242966492344,0.2080237981781896,0.6851529176081363,0.5095932764177936,0.8344740069128339,0.24708518148218742,0.24708518148218742,-0.8082627524850667,0.2456410758609513,-0.8151139496869462,0.05254871634515827,0.7497841982068824,0.6851529176081363,0.4775531602113347,0.4631436368235429,,
dni (W/m²),0.4112090696862906,0.6073139415706996,0.9968389468978075,1.0,0.9949111694058032,0.919811816624858,0.6901257936552033,0.9750428201433835,0.43547624150858694,0.2165002632783173,0.6775985510380491,0.5170914291585516,0.8419939008181716,0.23632313388882883,0.23632313388882883,-0.8120784595606437,0.2358851473244439,-0.8189533721018248,0.06580544273877129,0.7622207201175725,0.6775985510380491,0.4831593098393763,0.47026917663211865,,
ghi (W/m²),0.4424951862590202,0.6340338121035703,0.99662059131261,0.9949111694058032,1.0,0.9407173028956405,0.7214254208800472,0.9899442730404213,0.40995234938101976,0.18865262849573003,0.6935810524816688,0.49417615143900406,0.8472602609213327,0.26001008107331297,0.26001008107331297,-0.8144547844979645,0.27695297373852173,-0.8214867797353252,0.03768155799957982,0.7514850909938341,0.6935810524816688,0.4615531715023679,0.44745856741646767,,
max_dhi (W/m²),0.30953589330762676,0.4905017869016277,0.9329400924428588,0.919811816624858,0.9407173028956405,1.0,0.9075297578213464,0.9754653108336274,0.4939454854970913,0.30075769943880193,0.7016177030896766,0.3155250112893254,0.7533169617921793,0.1961690470913879,0.1961690470913879,-0.6404844723654061,0.12818454453384412,-0.6500635947731683,0.15021608815541054,0.7480774413442823,0.7016177030896766,0.30031121612155964,0.24725448238701414,,
max_dni (W/m²),0.0676759443597374,0.1916850266325705,0.7125733700410524,0.6901257936552033,0.7214254208800472,0.9075297578213464,1.0,0.8019439552285594,0.5422073296237766,0.4293888232366033,0.612615007108268,0.05550637940335682,0.49581844037273654,0.06128044581278371,0.06128044581278371,-0.2997073308635168,-0.12797513090012327,-0.3114502249919026,0.2991353796126016,0.6245486201142971,0.612615007108268,0.06154354891687439,-0.036449755827023186,,
max_ghi (W/m²),0.41504301592741955,0.6056771672509217,0.9825315237504656,0.9750428201433835,0.9899442730404213,0.9754653108336274,0.8019439552285594,1.0,0.4329863410573986,0.2163058422759699,0.7048088216964993,0.4254981624565658,0.828682323802524,0.2515946675528062,0.2515946675528062,-0.7647036383802632,0.2482775846124862,-0.7727327941469282,0.06353480340272673,0.7555666925924712,0.7048088216964993,0.4004964509325345,0.37195012710581515,,
max_temp (°C),-0.4023330656070387,0.01810543056464221,0.419242966492344,0.43547624150858694,0.40995234938101976,0.4939454854970913,0.5422073296237766,0.4329863410573986,1.0,0.7233138994106569,0.2577582787639493,-0.12531133066517836,0.4930017603172713,-0.3450281756870387,-0.3450281756870387,-0.09258835872911807,-0.5301366053673866,-0.10369835917307296,0.7179128255143993,0.8504221202452913,0.2577582787639493,-0.1208980407627086,-0.21507663424972892,,
max_uv (Index),-0.7188225269064056,-0.2605786765301565,0.2080237981781896,0.2165002632783173,0.18865262849573003,0.30075769943880193,0.4293888232366033,0.2163058422759699,0.7233138994106569,1.0,0.1735293886466123,-0.09687794379002711,0.14745282838985793,-0.42466518096292305,-0.42466518096292305,0.17564186692722883,-0.621044451511429,0.16566484155631694,0.9231295488994502,0.497134520564588,0.1735293886466123,-0.09182280820586133,-0.16871460171269098,,
max_wind_dir (°),0.29283844295793143,0.37733284260047767,0.6851529176081363,0.6775985510380491,0.6935810524816688,0.7016177030896766,0.612615007108268,0.7048088216964993,0.2577582787639493,0.1735293886466123,1.0,0.2023472608865614,0.5212430789121075,0.1548464569576575,0.1548464569576575,-0.5028490668780932,0.16844940042234155,-0.5085979576968906,0.08648739762423248,0.46652548995398035,1.0,0.17593736440467642,0.15416999399691125,,
max_wind_spd (m/s),0.39419458062791485,0.35458277505992053,0.5095932764177936,0.5170914291585516,0.49417615143900406,0.3155250112893254,0.05550637940335682,0.4254981624565658,-0.12531133066517836,-0.09687794379002711,0.2023472608865614,1.0,0.3811212735998686,0.20924917501470242,0.20924917501470242,-0.5882335414364921,0.30458960641288396,-0.5871228757144439,-0.20755073933220008,0.1607277592721804,0.20234726088656144,0.9483665247250771,0.9501452134316924,,
min_temp (°C),0.4097677221298558,0.8028822532719266,0.8344740069128339,0.8419939008181716,0.8472602609213327,0.7533169617921793,0.49581844037273654,0.828682323802524,0.4930017603172713,0.14745282838985793,0.5212430789121075,0.3811212735998686,1.0,0.2098389040150413,0.2098389040150413,-0.7924803387674745,0.3620876530914276,-0.7976608918750456,0.06980149531096239,0.871043553906413,0.5212430789121074,0.36007070036928723,0.3631263055037067,,
precip (mm),0.5292142593700421,0.38573742438267655,0.24708518148218742,0.23632313388882883,0.26001008107331297,0.1961690470913879,0.06128044581278371,0.2515946675528062,-0.3450281756870387,-0.42466518096292305,0.1548464569576575,0.20924917501470242,0.2098389040150413,1.0,1.0,-0.44565064529744725,0.524442003863638,-0.4430206432148901,-0.5743102443786193,-0.05773716226332023,0.1548464569576575,0.21852619190952566,0.2459214576842648,,
precip_gpm (mm/hr),0.5292142593700421,0.38573742438267655,0.24708518148218742,0.23632313388882883,0.26001008107331297,0.1961690470913879,0.06128044581278371,0.2515946675528062,-0.3450281756870387,-0.42466518096292305,0.1548464569576575,0.20924917501470242,0.2098389040150413,1.0,1.0,-0.44565064529744725,0.524442003863638,-0.4430206432148901,-0.5743102443786193,-0.05773716226332023,0.1548464569576575,0.21852619190952566,0.2459214576842648,,
pres (hPa),-0.651466498790227,-0.7787567070263249,-0.8082627524850667,-0.8120784595606437,-0.8144547844979645,-0.6404844723654061,-0.2997073308635168,-0.7647036383802632,-0.09258835872911807,0.17564186692722883,-0.5028490668780932,-0.5882335414364921,-0.7924803387674745,-0.44565064529744725,-0.44565064529744725,1.0,-0.5763008409344447,0.9987285675322572,0.3028509257636168,-0.5290001871041053,-0.5028490668780925,-0.5521725456941362,-0.594032709303284,,
rh (%),0.7531962267871771,0.8229473213007136,0.2456410758609513,0.2358851473244439,0.27695297373852173,0.12818454453384412,-0.12797513090012327,0.2482775846124862,-0.5301366053673866,-0.621044451511429,0.16844940042234155,0.30458960641288396,0.3620876530914276,0.524442003863638,0.524442003863638,-0.5763008409344447,1.0,-0.5693584585149055,-0.6641683885429466,-0.09250022617740611,0.1684494004223416,0.2611484839195191,0.37900105500685316,,
slp (hPa),-0.6472323477740249,-0.7777221932797055,-0.8151139496869462,-0.8189533721018248,-0.8214867797353252,-0.6500635947731683,-0.3114502249919026,-0.7727327941469282,-0.10369835917307296,0.16566484155631694,-0.5085979576968906,-0.5871228757144439,-0.7976608918750456,-0.4430206432148901,-0.4430206432148901,0.9987285675322572,-0.5693584585149055,1.0,0.29477604933680535,-0.5386733025593567,-0.5085979576968896,-0.5517734164624216,-0.5906229075701096,,
solar_rad (W/m²),-0.7776136834083245,-0.3109815488470754,0.05254871634515827,0.06580544273877129,0.03768155799957982,0.15021608815541054,0.2991353796126016,0.06353480340272673,0.7179128255143993,0.9231295488994502,0.08648739762423248,-0.20755073933220008,0.06980149531096239,-0.5743102443786193,-0.5743102443786193,0.3028509257636168,-0.6641683885429466,0.29477604933680535,1.0,0.4410890603794922,0.0864873976242324,-0.19774543597010671,-0.27056992068829067,,
temp (°C),0.022122124710763514,0.47763373262694303,0.7497841982068824,0.7622207201175725,0.7514850909938341,0.7480774413442823,0.6245486201142971,0.7555666925924712,0.8504221202452913,0.497134520564588,0.46652548995398035,0.1607277592721804,0.871043553906413,-0.05773716226332023,-0.05773716226332023,-0.5290001871041053,-0.09250022617740611,-0.5386733025593567,0.4410890603794922,1.0,0.4665254899539803,0.15416762450217325,0.09908239978934429,,
wind_dir (°),0.29283844295793143,0.37733284260047767,0.6851529176081363,0.6775985510380491,0.6935810524816688,0.7016177030896766,0.612615007108268,0.7048088216964993,0.2577582787639493,0.1735293886466123,1.0,0.20234726088656144,0.5212430789121074,0.1548464569576575,0.1548464569576575,-0.5028490668780925,0.1684494004223416,-0.5085979576968896,0.0864873976242324,0.4665254899539803,1.0,0.17593736440467642,0.15416999399691125,,
wind_gust_spd (m/s),0.37168123963096117,0.3106759933068064,0.4775531602113347,0.4831593098393763,0.4615531715023679,0.30031121612155964,0.06154354891687439,0.4004964509325345,-0.1208980407627086,-0.09182280820586133,0.17593736440467642,0.9483665247250771,0.36007070036928723,0.21852619190952566,0.21852619190952566,-0.5521725456941362,0.2611484839195191,-0.5517734164624216,-0.19774543597010671,0.15416762450217325,0.17593736440467642,1.0,0.9313807681643461,,
wind_spd (m/s),0.4203290663503223,0.389102945533584,0.4631436368235429,0.47026917663211865,0.44745856741646767,0.24725448238701414,-0.036449755827023186,0.37195012710581515,-0.21507663424972892,-0.16871460171269098,0.15416999399691125,0.9501452134316924,0.3631263055037067,0.2459214576842648,0.2459214576842648,-0.594032709303284,0.37900105500685316,-0.5906229075701096,-0.27056992068829067,0.09908239978934429,0.15416999399691125,0.9313807681643461,1.0,,
query_lat (°),,,,,,,,,,,,,,,,,,,,,,,,,
query_lon (°),,,,,,,,,,,,,,,,,,,,,,,,,
