Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,93,"[0.02, 0.05, 0.33]"
Date ,object,366,0,366,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,366,0,136,"[17.5, 17.6, 18.1]"
dhi (W/m²),int64,366,0,15,"[41, 41, 41]"
dni (W/m²),int64,366,0,99,"[342, 342, 343]"
ghi (W/m²),int64,366,0,144,"[215, 215, 216]"
max_dhi (W/m²),int64,366,0,13,"[115, 115, 115]"
max_dni (W/m²),int64,366,0,48,"[912, 913, 913]"
max_ghi (W/m²),int64,366,0,193,"[760, 761, 762]"
max_temp (°C),float64,366,0,44,"[30.0, 28.5, 27.4]"
max_uv (Index),float64,366,0,91,"[6.1, 6.2, 6.2]"
max_wind_dir (°),int64,366,0,151,"[146, 187, 177]"
max_wind_spd (m/s),float64,366,0,17,"[2.4, 2.4, 1.6]"
min_temp (°C),float64,366,0,50,"[18.5, 18.1, 18.1]"
precip (mm),float64,366,0,67,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,67,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,21,"[1002, 1001, 1000]"
rh (%),float64,366,0,59,"[0.71, 0.75, 0.8]"
slp (hPa),int64,366,0,22,"[1014, 1013, 1013]"
solar_rad (W/m²),int64,366,0,216,"[215, 215, 205]"
temp (°C),float64,366,0,131,"[23.6, 22.7, 22.0]"
wind_dir (°),int64,366,0,151,"[146, 187, 177]"
wind_gust_spd (m/s),float64,366,0,31,"[6.0, 6.4, 4.8]"
wind_spd (m/s),float64,366,0,51,"[1.6, 1.7, 1.1]"
market_name (Text),object,366,0,1,"['Nizar_Kukarmuda', 'Nizar_Kukarmuda', 'Nizar_Kukarmuda']"
query_lat (°),float64,366,0,1,"[21.51, 21.51, 21.51]"
query_lon (°),float64,366,0,1,"[74.13, 74.13, 74.13]"
