,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.6803553886108813,0.46144590356387843,0.4548265124298169,0.47123861533937805,0.33187713865054774,0.08260216399747407,0.4415385851753916,-0.3119416058322761,-0.6752782021508147,0.30685328844620946,0.46129762767739857,0.4691648565633644,0.4422029013369215,0.4422029013369215,-0.6703014909815544,0.7509737004567433,-0.6580188481524657,-0.755750101361576,0.10986949276703005,0.30685328844620946,0.46155350613591156,0.45182280607273356,,
dewpt (°C),0.6803553886108813,1.0,0.6472516081821196,0.6421754014327512,0.6637302006910465,0.5291649918986262,0.2418650737666508,0.6386713483669435,0.13545054414392801,-0.21468651945056308,0.3907769896053282,0.40591704162460274,0.8565775332675145,0.3563334670786035,0.3563334670786035,-0.772472946761217,0.7245356003492346,-0.778053990827152,-0.3033727729836044,0.5803298654193758,0.3907769896053282,0.3970377411558886,0.43045860083605975,,
dhi (W/m²),0.46144590356387843,0.6472516081821196,1.0,0.9975177947464817,0.9968912522346317,0.924066033159717,0.6969300388959576,0.9805158353900335,0.5023040145846015,0.2336747848859034,0.7031184654104113,0.5889325515758492,0.8260000807948294,0.21837354358199984,0.21837354358199984,-0.8318961972398864,0.16529663430595684,-0.8400039574120268,0.04620598892939681,0.7773701466183288,0.7031184654104113,0.5127593017288633,0.5544448277947386,,
dni (W/m²),0.4548265124298169,0.6421754014327512,0.9975177947464817,1.0,0.9950044662793798,0.9115435636587259,0.6764031348828364,0.9730726550020966,0.510886800624664,0.23921364403280992,0.6992135326395155,0.5911979640615459,0.825459612091868,0.2104393933606869,0.2104393933606869,-0.8348669265265458,0.15485263008232336,-0.8427214435151847,0.055326445949101855,0.7809342790910302,0.6992135326395155,0.5163536580727885,0.5588516034061543,,
ghi (W/m²),0.47123861533937805,0.6637302006910465,0.9968912522346317,0.9950044662793798,1.0,0.938275238502777,0.7180490038796591,0.9897638971380549,0.5021913580173409,0.22594311442264112,0.7151749363108918,0.5791368627559857,0.8340021086843727,0.22540151313470222,0.22540151313470222,-0.8324934704081997,0.18203958518967392,-0.8409933086025408,0.04013156089733113,0.7822762950383512,0.7151749363108918,0.5018063149139763,0.5441192048866342,,
max_dhi (W/m²),0.33187713865054774,0.5291649918986262,0.924066033159717,0.9115435636587259,0.938275238502777,1.0,0.9068286382729738,0.9749444265088254,0.5623523321159535,0.3235316814495268,0.7395541086293604,0.4482443096425937,0.7313425097721039,0.1709006763813298,0.1709006763813298,-0.6588077229739322,0.045649929560199975,-0.6709562984341424,0.14335570409667459,0.7583899474407885,0.7395541086293604,0.3564831666120576,0.3893503295609919,,
max_dni (W/m²),0.08260216399747407,0.2418650737666508,0.6969300388959576,0.6764031348828364,0.7180490038796591,0.9068286382729738,1.0,0.8004442966981021,0.5762159427594028,0.4298956668761564,0.6591813188471642,0.22171048781693883,0.4761391933563962,0.05522948182092776,0.05522948182092776,-0.3293094572804824,-0.1809977594379408,-0.34396117709239893,0.28321669461144416,0.6158135001112847,0.6591813188471642,0.11784715983800803,0.14013557343994157,,
max_ghi (W/m²),0.4415385851753916,0.6386713483669435,0.9805158353900335,0.9730726550020966,0.9897638971380549,0.9749444265088254,0.8004442966981021,1.0,0.5195966224849589,0.24800837713505713,0.7323652493397,0.5351119200956951,0.8142614022477133,0.21866822424711302,0.21866822424711302,-0.7840199348471593,0.15569723994845278,-0.7939683655691576,0.06122663734798734,0.7820664248194811,0.7323652493397,0.4515800813221846,0.4914344630795514,,
max_temp (°C),-0.3119416058322761,0.13545054414392801,0.5023040145846015,0.510886800624664,0.5021913580173409,0.5623523321159535,0.5762159427594028,0.5195966224849589,1.0,0.7291218066249378,0.34990264010202204,-0.0021494917790036293,0.545938747408599,-0.24036047340681752,-0.24036047340681752,-0.21085075522994326,-0.5645015657919098,-0.23319119407650865,0.7157084460266846,0.8618337295269064,0.34990264010202204,-0.05456589570900535,-0.022932563861910622,,
max_uv (Index),-0.6752782021508147,-0.21468651945056308,0.2336747848859034,0.23921364403280992,0.22594311442264112,0.3235316814495268,0.4298956668761564,0.24800837713505713,0.7291218066249378,1.0,0.2164187158047214,-0.04288240322510644,0.13661198453922888,-0.3170733609494253,-0.3170733609494253,0.09975338102971444,-0.6678286280056299,0.0816323572383892,0.9300643013365326,0.4781119438180114,0.2164187158047214,-0.09781272448632898,-0.05364218359525173,,
max_wind_dir (°),0.30685328844620946,0.3907769896053282,0.7031184654104113,0.6992135326395155,0.7151749363108918,0.7395541086293604,0.6591813188471642,0.7323652493397,0.34990264010202204,0.2164187158047214,1.0,0.37893986761376575,0.5237035807919378,0.13017161792190624,0.13017161792190624,-0.5459844657033216,0.09032464203000717,-0.5503254326546546,0.08246062343951178,0.510375515004149,1.0,0.2604570598668081,0.3484573474391372,,
max_wind_spd (m/s),0.46129762767739857,0.40591704162460274,0.5889325515758492,0.5911979640615459,0.5791368627559857,0.4482443096425937,0.22171048781693883,0.5351119200956951,-0.0021494917790036293,-0.04288240322510644,0.37893986761376575,1.0,0.44282268891975635,0.16772579636291204,0.16772579636291204,-0.6258190830067277,0.2853353849233046,-0.6193909476698827,-0.19076341681464015,0.2653183872129778,0.3789398676137657,0.9456762976546735,0.9342263752549548,,
min_temp (°C),0.4691648565633644,0.8565775332675145,0.8260000807948294,0.825459612091868,0.8340021086843727,0.7313425097721039,0.4761391933563962,0.8142614022477133,0.545938747408599,0.13661198453922888,0.5237035807919378,0.44282268891975635,1.0,0.21099119295440336,0.21099119295440336,-0.8063803586805457,0.29839664130943977,-0.8198419308704654,0.041867749586265164,0.8888945502687416,0.5237035807919379,0.4074554152240875,0.442627158890079,,
precip (mm),0.4422029013369215,0.3563334670786035,0.21837354358199984,0.2104393933606869,0.22540151313470222,0.1709006763813298,0.05522948182092776,0.21866822424711302,-0.24036047340681752,-0.3170733609494253,0.13017161792190624,0.16772579636291204,0.21099119295440336,1.0,1.0,-0.4053823110370648,0.4642656397021903,-0.4030082385326673,-0.42807691027105904,0.003608294651497019,0.13017161792190624,0.15721457108853004,0.17098703082250297,,
precip_gpm (mm/hr),0.4422029013369215,0.3563334670786035,0.21837354358199984,0.2104393933606869,0.22540151313470222,0.1709006763813298,0.05522948182092776,0.21866822424711302,-0.24036047340681752,-0.3170733609494253,0.13017161792190624,0.16772579636291204,0.21099119295440336,1.0,1.0,-0.4053823110370648,0.4642656397021903,-0.4030082385326673,-0.42807691027105904,0.003608294651497019,0.13017161792190624,0.15721457108853004,0.17098703082250297,,
pres (hPa),-0.6703014909815544,-0.772472946761217,-0.8318961972398864,-0.8348669265265458,-0.8324934704081997,-0.6588077229739322,-0.3293094572804824,-0.7840199348471593,-0.21085075522994326,0.09975338102971444,-0.5459844657033216,-0.6258190830067277,-0.8063803586805457,-0.4053823110370648,-0.4053823110370648,1.0,-0.4634815887951766,0.9971566894456098,0.26186477362835825,-0.6001863151401882,-0.5459844657033214,-0.587257877772608,-0.6178695668181605,,
rh (%),0.7509737004567433,0.7245356003492346,0.16529663430595684,0.15485263008232336,0.18203958518967392,0.045649929560199975,-0.1809977594379408,0.15569723994845278,-0.5645015657919098,-0.6678286280056299,0.09032464203000717,0.2853353849233046,0.29839664130943977,0.4642656397021903,0.4642656397021903,-0.4634815887951766,1.0,-0.45316423009581086,-0.7357956593230829,-0.13245405038159794,0.0903246420300072,0.30831659670772416,0.3193808400132628,,
slp (hPa),-0.6580188481524657,-0.778053990827152,-0.8400039574120268,-0.8427214435151847,-0.8409933086025408,-0.6709562984341424,-0.34396117709239893,-0.7939683655691576,-0.23319119407650865,0.0816323572383892,-0.5503254326546546,-0.6193909476698827,-0.8198419308704654,-0.4030082385326673,-0.4030082385326673,0.9971566894456098,-0.45316423009581086,1.0,0.2435901498298763,-0.6202740360556411,-0.5503254326546547,-0.581385514899545,-0.6110481371870692,,
solar_rad (W/m²),-0.755750101361576,-0.3033727729836044,0.04620598892939681,0.055326445949101855,0.04013156089733113,0.14335570409667459,0.28321669461144416,0.06122663734798734,0.7157084460266846,0.9300643013365326,0.08246062343951178,-0.19076341681464015,0.041867749586265164,-0.42807691027105904,-0.42807691027105904,0.26186477362835825,-0.7357956593230829,0.2435901498298763,1.0,0.40794565190010884,0.08246062343951178,-0.21740226247991556,-0.18927309968748904,,
temp (°C),0.10986949276703005,0.5803298654193758,0.7773701466183288,0.7809342790910302,0.7822762950383512,0.7583899474407885,0.6158135001112847,0.7820664248194811,0.8618337295269064,0.4781119438180114,0.510375515004149,0.2653183872129778,0.8888945502687416,0.003608294651497019,0.003608294651497019,-0.6001863151401882,-0.13245405038159794,-0.6202740360556411,0.40794565190010884,1.0,0.510375515004149,0.21417624930702026,0.25174246895630165,,
wind_dir (°),0.30685328844620946,0.3907769896053282,0.7031184654104113,0.6992135326395155,0.7151749363108918,0.7395541086293604,0.6591813188471642,0.7323652493397,0.34990264010202204,0.2164187158047214,1.0,0.3789398676137657,0.5237035807919379,0.13017161792190624,0.13017161792190624,-0.5459844657033214,0.0903246420300072,-0.5503254326546547,0.08246062343951178,0.510375515004149,1.0,0.2604570598668081,0.3484573474391372,,
wind_gust_spd (m/s),0.46155350613591156,0.3970377411558886,0.5127593017288633,0.5163536580727885,0.5018063149139763,0.3564831666120576,0.11784715983800803,0.4515800813221846,-0.05456589570900535,-0.09781272448632898,0.2604570598668081,0.9456762976546735,0.4074554152240875,0.15721457108853004,0.15721457108853004,-0.587257877772608,0.30831659670772416,-0.581385514899545,-0.21740226247991556,0.21417624930702026,0.2604570598668081,1.0,0.9185821103350723,,
wind_spd (m/s),0.45182280607273356,0.43045860083605975,0.5544448277947386,0.5588516034061543,0.5441192048866342,0.3893503295609919,0.14013557343994157,0.4914344630795514,-0.022932563861910622,-0.05364218359525173,0.3484573474391372,0.9342263752549548,0.442627158890079,0.17098703082250297,0.17098703082250297,-0.6178695668181605,0.3193808400132628,-0.6110481371870692,-0.18927309968748904,0.25174246895630165,0.3484573474391372,0.9185821103350723,1.0,,
query_lat (°),,,,,,,,,,,,,,,,,,,,,,,,,
query_lon (°),,,,,,,,,,,,,,,,,,,,,,,,,
