Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,87,"[0.01, 0.04, 0.35]"
Date ,object,366,0,366,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,366,0,134,"[18.1, 18.6, 18.8]"
dhi (W/m²),int64,366,0,15,"[41, 41, 41]"
dni (W/m²),int64,366,0,99,"[342, 342, 343]"
ghi (W/m²),int64,366,0,144,"[215, 215, 216]"
max_dhi (W/m²),int64,366,0,13,"[115, 115, 115]"
max_dni (W/m²),int64,366,0,48,"[912, 913, 913]"
max_ghi (W/m²),int64,366,0,193,"[760, 761, 762]"
max_temp (°C),float64,366,0,44,"[29.3, 28.1, 27.0]"
max_uv (Index),float64,366,0,93,"[6.2, 6.2, 6.2]"
max_wind_dir (°),int64,366,0,155,"[168, 195, 194]"
max_wind_spd (m/s),float64,366,0,16,"[2.8, 2.8, 1.6]"
min_temp (°C),float64,366,0,48,"[18.5, 18.9, 18.5]"
precip (mm),float64,366,0,67,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,67,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,21,"[1000, 1000, 999]"
rh (%),float64,366,0,56,"[0.75, 0.8, 0.82]"
slp (hPa),int64,366,0,22,"[1014, 1013, 1013]"
solar_rad (W/m²),int64,366,0,204,"[215, 215, 194]"
temp (°C),float64,366,0,127,"[23.2, 22.6, 22.3]"
wind_dir (°),int64,366,0,155,"[168, 195, 194]"
wind_gust_spd (m/s),float64,366,0,30,"[6.0, 5.6, 4.8]"
wind_spd (m/s),float64,366,0,48,"[1.7, 1.8, 1.0]"
market_name (Text),object,366,0,1,"['Nizar_Pumkitalov', 'Nizar_Pumkitalov', 'Nizar_Pumkitalov']"
query_lat (°),float64,366,0,1,"[21.47, 21.47, 21.47]"
query_lon (°),float64,366,0,1,"[74.1, 74.1, 74.1]"
