,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.6691715237881724,0.4639368178481166,0.45744482282633425,0.47421734152569,0.3369225019918746,0.08805441216112028,0.44519500344041163,-0.33453567716206645,-0.6697205211545316,0.2976176685462683,0.45297381303230366,0.4425355684165885,0.44156453831977316,0.44156453831977316,-0.6699393363222753,0.7707283471505871,-0.6600061146944177,-0.7583530320102888,0.07736410305048436,0.2976176685462683,0.44166005557610094,0.470896195497399,,
dewpt (°C),0.6691715237881724,1.0,0.6789718886784281,0.6737734940831986,0.6955822395592928,0.5700863992317481,0.2903181940411291,0.6735949153757886,0.15113229709690687,-0.1775611616910155,0.4036558533722376,0.34083161373276877,0.8657750952807837,0.34857587636109033,0.34857587636109033,-0.7786602923430822,0.7362514990983079,-0.7841110522694198,-0.2816484643971828,0.5883523766614841,0.4036558533722376,0.3225771954596297,0.40615614434295605,,
dhi (W/m²),0.4639368178481166,0.6789718886784281,1.0,0.9975177947464817,0.9968912522346317,0.924066033159717,0.6969300388959576,0.9805158353900335,0.462612242033714,0.2355910476709721,0.6846521065348595,0.4787096531666523,0.800944608098577,0.21837354358199984,0.21837354358199984,-0.8230909652516014,0.24896611325155663,-0.8339998823002122,0.0383165983622902,0.7443826891968328,0.6846521065348595,0.3957935711774894,0.5027165412598313,,
dni (W/m²),0.45744482282633425,0.6737734940831986,0.9975177947464817,1.0,0.9950044662793798,0.9115435636587259,0.6764031348828364,0.9730726550020966,0.4718649003914742,0.2402719581128805,0.6809788900209208,0.4819723932404299,0.8013377886921755,0.2104393933606869,0.2104393933606869,-0.8256511895684886,0.23777281813674053,-0.8369109814936799,0.047035129720108065,0.7487908882513294,0.6809788900209208,0.400776716171285,0.5072530368688691,,
ghi (W/m²),0.47421734152569,0.6955822395592928,0.9968912522346317,0.9950044662793798,1.0,0.938275238502777,0.7180490038796591,0.9897638971380549,0.4629493582202063,0.22709541622122825,0.6973311386383324,0.46552282830914665,0.810407146926013,0.22540151313470222,0.22540151313470222,-0.8232279943101033,0.26512559913785294,-0.8345982913789469,0.0321721091809242,0.750176093570921,0.6973311386383324,0.38299617488317594,0.49081113100541096,,
max_dhi (W/m²),0.3369225019918746,0.5700863992317481,0.924066033159717,0.9115435636587259,0.938275238502777,1.0,0.9068286382729738,0.9749444265088254,0.5222358167607398,0.3230036402990774,0.725086789559697,0.31776397029330694,0.71054507786408,0.1709006763813298,0.1709006763813298,-0.6466490831919784,0.1332461896139588,-0.6610502674584229,0.13599735934301901,0.7297953932875094,0.725086789559697,0.2216524739461516,0.32268780118387386,,
max_dni (W/m²),0.08805441216112028,0.2903181940411291,0.6969300388959576,0.6764031348828364,0.7180490038796591,0.9068286382729738,1.0,0.8004442966981021,0.5401657671440921,0.4283025898780146,0.6518118435760498,0.08843676367205772,0.4604532932630184,0.05522948182092776,0.05522948182092776,-0.314642767397344,-0.0983748491819203,-0.3307692864850676,0.27833574710307,0.5958999166627004,0.6518118435760498,-0.019392269929058254,0.06429809860663481,,
max_ghi (W/m²),0.44519500344041163,0.6735949153757886,0.9805158353900335,0.9730726550020966,0.9897638971380549,0.9749444265088254,0.8004442966981021,1.0,0.48013741419035916,0.2486682274336147,0.7157418263225797,0.4137655029974394,0.7919546245423368,0.21866822424711302,0.21866822424711302,-0.7737264421439909,0.24039454085347098,-0.7860844116082083,0.05372749295334972,0.7512598312628633,0.7157418263225797,0.3257466961126994,0.43324415838795993,,
max_temp (°C),-0.33453567716206645,0.15113229709690687,0.462612242033714,0.4718649003914742,0.4629493582202063,0.5222358167607398,0.5401657671440921,0.48013741419035916,1.0,0.7198948552757839,0.2926025688680958,-0.12635797493316347,0.546811023899249,-0.2511721157295543,-0.2511721157295543,-0.16939647072397088,-0.5378806058582696,-0.19412347694245352,0.7163624149578804,0.8663771910099173,0.2926025688680958,-0.1846369115057125,-0.12130404789207108,,
max_uv (Index),-0.6697205211545316,-0.1775611616910155,0.2355910476709721,0.2402719581128805,0.22709541622122825,0.3230036402990774,0.4283025898780146,0.2486682274336147,0.7198948552757839,1.0,0.21574258715624461,-0.12385735133582115,0.1422494206886018,-0.31963457567417075,-0.31963457567417075,0.10127275514275937,-0.6231201309203901,0.08466163614368935,0.9265264850558972,0.4864827050146172,0.21574258715624461,-0.16592703661715116,-0.12026880794747513,,
