,count,mean,std,min,25%,50%,75%,max,range,cv
clouds (%),366.0,0.4255737704918032,0.37666245020219336,0.0,0.07,0.33,0.8674999999999999,1.0,1.0,88.50697019388983
dewpt (°C),366.0,19.98087431693989,4.786970363483862,6.5,16.5,19.9,24.5,26.2,19.7,23.957762245796438
dhi (W/m²),366.0,49.169398907103826,5.075727161012488,41.0,44.0,50.0,54.0,55.0,14.0,10.322939213884034
dni (W/m²),366.0,395.8360655737705,34.83912789805534,341.0,363.0,399.5,431.0,439.0,98.0,8.801403138330885
ghi (W/m²),366.0,301.94262295081967,53.72114185696679,212.0,249.5,316.5,354.0,362.0,150.0,17.791837843879655
max_dhi (W/m²),366.0,122.68306010928961,4.113204587658948,115.0,119.0,125.0,126.0,127.0,12.0,3.3527078506150616
max_dni (W/m²),366.0,936.3934426229508,13.389972148711669,910.0,929.25,938.0,943.0,957.0,47.0,1.4299515074779618
max_ghi (W/m²),366.0,953.2568306010929,110.99161831767616,753.0,849.5,1004.5,1051.0,1063.0,310.0,11.643411802010213
max_temp (°C),366.0,32.014754098360655,3.6319587258037584,25.6,29.3,31.5,34.8,41.5,15.899999999999999,11.344640395003804
max_uv (Index),366.0,7.098360655737705,2.701019095545713,2.2,4.6,6.9,9.2,12.1,9.899999999999999,38.05130827443153
max_wind_dir (°),366.0,202.04098360655738,75.79894793150508,59.0,127.0,239.0,256.75,319.0,260.0,37.51661993445422
max_wind_spd (m/s),366.0,3.7814207650273226,1.2213103912547418,1.6,2.8,3.6,4.4,7.6,6.0,32.2976591906962
min_temp (°C),366.0,22.756284153005463,4.019786863581811,12.2,19.3,24.4,25.6,30.4,18.2,17.664513400140994
precip (mm),366.0,4.453551912568306,13.437752011782866,0.0,0.0,0.0,1.225,115.3,115.3,301.73111879217964
precip_gpm (mm/hr),366.0,4.453551912568306,13.437752011782866,0.0,0.0,0.0,1.225,115.3,115.3,301.73111879217964
pres (hPa),366.0,995.8852459016393,4.783871398334729,985.0,992.0,996.0,1000.0,1005.0,20.0,0.48036371841251463
rh (%),366.0,0.6898087431693988,0.14890547348212757,0.41,0.56,0.67,0.8274999999999999,0.97,0.56,21.586486827923597
slp (hPa),366.0,1008.8907103825137,4.9389778808649,997.0,1005.0,1009.0,1013.0,1018.0,21.0,0.48954538187712343
solar_rad (W/m²),366.0,223.55737704918033,95.0097081569046,31.0,166.25,232.0,301.75,362.0,331.0,42.49902616096781
temp (°C),366.0,27.036612021857923,3.4273954322576436,19.3,24.6,27.2,29.375,35.2,15.900000000000002,12.676867314169185
wind_dir (°),366.0,202.04098360655738,75.79894793150508,59.0,127.0,239.0,256.75,319.0,260.0,37.51661993445422
wind_gust_spd (m/s),366.0,8.4,2.4689635116618893,4.0,6.5,8.0,10.0,17.2,13.2,29.392422757879633
wind_spd (m/s),366.0,2.6273224043715846,1.105709684650336,0.9,1.8,2.3,3.3,6.6,5.699999999999999,42.08503999397078
query_lat (°),366.0,21.469999999999995,3.557577081048374e-15,21.47,21.47,21.47,21.47,21.47,0.0,1.6569991062172218e-14
query_lon (°),366.0,74.10000000000002,2.8460616648386994e-14,74.1,74.1,74.1,74.1,74.1,0.0,3.8408389538983783e-14
