Column,IQR Outliers,IQR %,Z-Score Outliers (>3),Lower Bound,Upper Bound
clouds (%),0,0.00%,0,-1.1262499999999998,2.0637499999999998
dewpt (°C),0,0.00%,0,4.5,36.5
dhi (W/m²),0,0.00%,0,29.0,69.0
dni (W/m²),0,0.00%,0,261.0,533.0
ghi (W/m²),0,0.00%,0,92.75,510.75
max_dhi (W/m²),0,0.00%,0,108.5,136.5
max_dni (W/m²),0,0.00%,0,908.625,963.625
max_ghi (W/m²),0,0.00%,0,547.25,1353.25
max_temp (°C),0,0.00%,0,21.050000000000004,43.04999999999999
max_uv (Index),0,0.00%,0,-2.3,16.099999999999998
max_wind_dir (°),0,0.00%,0,-67.625,451.375
max_wind_spd (m/s),6,1.64%,3,0.399999999999999,6.800000000000001
min_temp (°C),0,0.00%,0,9.85,35.050000000000004
precip (mm),76,20.77%,9,-1.8375000000000001,3.0625
precip_gpm (mm/hr),76,20.77%,9,-1.8375000000000001,3.0625
pres (hPa),0,0.00%,0,980.0,1012.0
rh (%),0,0.00%,0,0.15875000000000028,1.2287499999999998
slp (hPa),0,0.00%,0,993.0,1025.0
solar_rad (W/m²),0,0.00%,0,-37.0,505.0
temp (°C),0,0.00%,0,17.437500000000004,36.537499999999994
wind_dir (°),0,0.00%,0,-67.625,451.375
wind_gust_spd (m/s),4,1.09%,2,1.25,15.25
wind_spd (m/s),7,1.91%,4,-0.4499999999999995,5.549999999999999
query_lat (°),0,0.00%,0,21.47,21.47
query_lon (°),0,0.00%,0,74.1,74.1
