Column,Present in Files,Percentage,Description,Unit
Date ,32,97.0%,N/A,N/A
Market,1,3.0%,N/A,N/A
clouds,1,3.0%,,
clouds (%),32,97.0%,N/A,N/A
datetime,1,3.0%,,Date of observation
dewpt,1,3.0%,,
dewpt (°C),32,97.0%,N/A,N/A
dhi,1,3.0%,,
dhi (W/m²),32,97.0%,N/A,N/A
dni,1,3.0%,,
dni (W/m²),32,97.0%,N/A,N/A
ghi,1,3.0%,,
ghi (W/m²),32,97.0%,N/A,N/A
market_name (Text),29,87.9%,N/A,N/A
max_dhi,1,3.0%,,
max_dhi (W/m²),32,97.0%,N/A,N/A
max_dni,1,3.0%,,
max_dni (W/m²),32,97.0%,N/A,N/A
max_ghi,1,3.0%,,
max_ghi (W/m²),32,97.0%,N/A,N/A
max_temp,1,3.0%,,Maximum temperature recorded
max_temp (°C),32,97.0%,N/A,N/A
max_uv,1,3.0%,,
max_uv (Index),32,97.0%,N/A,N/A
max_wind_dir,1,3.0%,,Wind direction at maximum wind speed
max_wind_dir (°),32,97.0%,N/A,N/A
max_wind_spd,1,3.0%,,Maximum wind speed recorded
max_wind_spd (m/s),32,97.0%,N/A,N/A
min_temp,1,3.0%,,Minimum temperature recorded
min_temp (°C),32,97.0%,N/A,N/A
precip,1,3.0%,,
precip (mm),32,97.0%,N/A,N/A
precip_gpm,1,3.0%,,Precipitation rate (from GPM satellite or model)
precip_gpm (mm/hr),32,97.0%,N/A,N/A
pres,1,3.0%,,
pres (hPa),32,97.0%,N/A,N/A
query_lat (°),29,87.9%,N/A,N/A
query_lon (°),29,87.9%,N/A,N/A
rh,1,3.0%,,
rh (%),32,97.0%,N/A,N/A
slp,1,3.0%,,
slp (hPa),32,97.0%,N/A,N/A
solar_rad,1,3.0%,,Solar radiation
solar_rad (W/m²),32,97.0%,N/A,N/A
t_dhi,1,3.0%,,
t_dni,1,3.0%,,
t_ghi,1,3.0%,,
t_solar_rad,1,3.0%,,Timestamp for solar radiation measurement
temp,1,3.0%,,
temp (°C),32,97.0%,N/A,N/A
ts,1,3.0%,,
wind_dir,1,3.0%,,Average wind direction
wind_dir (°),32,97.0%,N/A,N/A
wind_gust_spd,1,3.0%,,Wind gust speed (short-term peak)
wind_gust_spd (m/s),32,97.0%,N/A,N/A
wind_spd,1,3.0%,,Average wind speed
wind_spd (m/s),32,97.0%,N/A,N/A
