Location,Rows,Columns,Memory (MB),Date Range,Missing %
Ahmedabad_(Vasana),366,27,0.10658454895019531,N/A,2.25%
Mandvi,366,27,0.09471702575683594,N/A,0.00%
Vyara_Paati,366,27,0.09646224975585938,N/A,0.00%
Viramgam,366,27,0.09541511535644531,N/A,0.00%
Valod_Buhari,366,27,0.09681129455566406,N/A,0.00%
Uchhal,366,27,0.09471702575683594,N/A,0.00%
Surat,366,27,0.09436798095703125,N/A,0.00%
Songadh_Umrada,366,27,0.09750938415527344,N/A,0.00%
Songadh_Badarpada,366,27,0.0985565185546875,N/A,0.00%
Songadh,366,27,0.09506607055664062,N/A,0.00%
Savarkundla,366,27,0.09646224975585938,N/A,0.00%
Sanad,366,27,0.09436798095703125,N/A,0.00%
Rajula,366,27,0.09471702575683594,N/A,0.00%
Nizar_Pumkitalov,366,27,0.09820747375488281,N/A,0.00%
Nizar_Kukarmuda,366,27,0.09785842895507812,N/A,0.00%
Nizar,366,27,0.09436798095703125,N/A,0.00%
Mandal,366,27,0.09471702575683594,N/A,0.00%
Amreli,366,27,0.09471702575683594,N/A,2.25%
Mahuva,366,27,0.09471702575683594,N/A,0.00%
Kosamba_Zangvav,366,27,0.09785842895507812,N/A,0.00%
Kosamba,366,24,0.06714248657226562,N/A,0.00%
Dholka,366,27,0.09471702575683594,N/A,0.00%
Dhari,366,27,0.09436798095703125,N/A,0.00%
Dhandhuka,366,27,0.09576416015625,N/A,0.00%
Bavla,366,27,0.09436798095703125,N/A,0.00%
Bardoli_Madhi,366,24,0.06714248657226562,N/A,0.00%
Bardoli_Katod,366,24,0.06714248657226562,N/A,0.00%
Bardoli,366,30,0.10344314575195312,2024-01-01 00:00:00 to 2024-12-12 00:00:00,2.02%
Bagasara,366,27,0.09541511535644531,N/A,0.00%
Babra,366,27,0.09436798095703125,N/A,0.00%
Vyra,366,27,0.09401893615722656,N/A,0.00%
Mahuva_Anaval,364,27,0.09663009643554688,N/A,0.00%
Kosamba_Vankal,110,27,0.029394149780273438,N/A,0.00%
