Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,96,"[0.0, 0.0, 0.0]"
Date ,object,366,0,366,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,366,0,146,"[15.8, 15.4, 14.1]"
dhi (W/m²),int64,366,0,15,"[41, 41, 41]"
dni (W/m²),int64,366,0,99,"[339, 339, 339]"
ghi (W/m²),int64,366,0,140,"[216, 216, 217]"
max_dhi (W/m²),int64,366,0,14,"[116, 116, 116]"
max_dni (W/m²),int64,366,0,48,"[910, 910, 911]"
max_ghi (W/m²),int64,366,0,184,"[760, 761, 762]"
max_temp (°C),float64,366,0,37,"[28.5, 27.8, 27.0]"
max_uv (Index),float64,366,0,96,"[6.3, 6.3, 6.3]"
max_wind_dir (°),int64,366,0,161,"[146, 165, 19]"
max_wind_spd (m/s),float64,366,0,23,"[4.4, 4.4, 4.4]"
min_temp (°C),float64,366,0,43,"[19.3, 18.9, 17.8]"
precip (mm),float64,366,0,63,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,63,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,22,"[1009, 1008, 1008]"
rh (%),float64,366,0,57,"[0.64, 0.65, 0.62]"
slp (hPa),int64,366,0,23,"[1014, 1013, 1013]"
solar_rad (W/m²),int64,366,0,198,"[216, 216, 217]"
temp (°C),float64,366,0,125,"[23.2, 22.8, 22.1]"
wind_dir (°),int64,366,0,161,"[146, 165, 19]"
wind_gust_spd (m/s),float64,366,0,31,"[7.6, 7.2, 7.6]"
wind_spd (m/s),float64,366,0,67,"[2.7, 2.7, 3.9]"
market_name (Text),object,366,0,1,"['Rajula', 'Rajula', 'Rajula']"
query_lat (°),float64,366,0,1,"[21.0339169150099, 21.0339169150099, 21.0339169150099]"
query_lon (°),float64,366,0,1,"[71.4439137655692, 71.4439137655692, 71.4439137655692]"
