clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.0,2024-01-01,15.8,41,339,216,116,910,760,28.5,6.3,146,4.4,19.3,0.0,0.0,1009,0.64,1014,216,23.2,146,7.6,2.7,Rajula,21.0339169150099,71.4439137655692
0.0,2024-01-02,15.4,41,339,216,116,910,761,27.8,6.3,165,4.4,18.9,0.0,0.0,1008,0.65,1013,216,22.8,165,7.2,2.7,Rajula,21.0339169150099,71.4439137655692
0.0,2024-01-03,14.1,41,339,217,116,911,762,27.0,6.3,19,4.4,17.8,0.0,0.0,1008,0.62,1013,217,22.1,19,7.6,3.9,Rajula,21.0339169150099,71.4439137655692
0.01,2024-01-04,14.0,41,339,217,116,911,763,27.0,6.3,93,5.2,17.8,0.0,0.0,1008,0.62,1013,217,21.9,93,8.4,4.2,Rajula,21.0339169150099,71.4439137655692
0.0,2024-01-05,12.6,42,339,218,116,911,765,27.0,6.3,35,5.2,17.0,0.0,0.0,1009,0.57,1014,218,21.8,35,8.0,4.7,Rajula,21.0339169150099,71.4439137655692
0.17,2024-01-06,13.9,42,340,218,116,912,766,26.3,6.3,24,6.0,18.1,0.0,0.0,1009,0.61,1014,218,21.8,24,10.0,5.3,Rajula,21.0339169150099,71.4439137655692
0.13,2024-01-07,15.5,42,340,219,116,912,768,27.0,6.2,26,6.0,18.9,0.0,0.0,1009,0.65,1014,219,22.5,26,10.0,5.4,Rajula,21.0339169150099,71.4439137655692
0.22,2024-01-08,17.9,42,340,220,116,913,770,27.8,5.8,22,6.0,20.0,0.0,0.0,1009,0.72,1014,218,23.5,22,9.2,5.2,Rajula,21.0339169150099,71.4439137655692
0.24,2024-01-09,16.3,42,341,220,116,913,771,27.4,5.4,15,6.8,20.0,0.0,0.0,1009,0.64,1014,219,23.6,15,10.8,6.1,Rajula,21.0339169150099,71.4439137655692
0.27,2024-01-10,15.9,42,341,221,117,914,773,27.4,4.9,20,6.4,20.0,0.0,0.0,1009,0.62,1015,210,23.6,20,10.0,5.1,Rajula,21.0339169150099,71.4439137655692
0.0,2024-01-11,17.7,42,341,222,117,914,775,28.5,6.5,26,5.6,20.4,0.0,0.0,1010,0.68,1015,222,24.1,26,8.8,4.5,Rajula,21.0339169150099,71.4439137655692
0.01,2024-01-12,18.5,42,342,223,117,915,777,29.6,6.5,34,5.2,21.1,0.0,0.0,1009,0.69,1014,223,24.7,34,8.4,3.7,Rajula,21.0339169150099,71.4439137655692
0.0,2024-01-13,16.5,42,342,224,117,916,780,30.0,6.5,226,4.4,21.1,0.0,0.0,1010,0.61,1015,224,24.6,226,6.4,2.6,Rajula,21.0339169150099,71.4439137655692
0.0,2024-01-14,12.9,42,343,224,117,916,782,28.1,6.6,150,3.6,19.3,0.0,0.0,1010,0.53,1015,224,23.4,150,7.2,2.7,Rajula,21.0339169150099,71.4439137655692
0.0,2024-01-15,12.5,42,343,225,117,917,784,27.8,6.6,199,3.6,18.5,0.0,0.0,1010,0.56,1015,225,22.4,199,6.8,2.3,Rajula,21.0339169150099,71.4439137655692
