,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.5735000951015788,0.3925302490181008,0.3755395047090103,0.41521700401555195,0.3065792911235222,0.09073770324342954,0.3954042461480297,-0.12598991781971522,-0.6898739954022056,0.2495121809900005,0.39642253523243154,0.3749515029140463,0.4744950718219265,0.4744950718219265,-0.6162763483407482,0.66406797573629,-0.6118563673935301,-0.747913770405882,0.1690076211320307,0.2495121809900005,0.3447293707419161,0.4156133757974293,,
dewpt (°C),0.5735000951015788,1.0,0.6329668894544616,0.633394864400992,0.6601248193348132,0.5231020397052932,0.22414974683811126,0.6368265771239738,0.389848367156836,-0.15133692742355748,0.4302238205214747,0.30836366586527925,0.802926748883092,0.31765884305372843,0.31765884305372843,-0.7879011676631898,0.8133660484621377,-0.7882484286579281,-0.1893862775644654,0.6629925702232465,0.4302238205214747,0.29006863467619404,0.3038623707867471,,
dhi (W/m²),0.3925302490181008,0.6329668894544616,1.0,0.997333369327969,0.9963512011648503,0.9352257654207289,0.7133959400707992,0.9827405389263976,0.66654745321196,0.2966680836022321,0.6965269434339981,0.4939127040030131,0.87025342517974,0.2047462141886401,0.2047462141886401,-0.8006391836454785,0.21732848793166484,-0.8027168197506699,0.16267208457706625,0.8388204615217042,0.6965269434339981,0.5285700940325421,0.40929893352573976,,
dni (W/m²),0.3755395047090103,0.633394864400992,0.997333369327969,1.0,0.9952539468535881,0.9274888727849501,0.700545707939505,0.9782278367479517,0.6836677389935816,0.3142899990758342,0.6899399561826636,0.4955424095302114,0.8756400206894283,0.19486160350176568,0.19486160350176568,-0.8037265687390649,0.20815139367209962,-0.8059851440689657,0.1808331791457305,0.849448572169157,0.6899399561826636,0.5315214842257548,0.40803641302518223,,
ghi (W/m²),0.41521700401555195,0.6601248193348132,0.9963512011648503,0.9952539468535881,1.0,0.9413710471181622,0.719225069021148,0.9900267443854902,0.6578023140324386,0.27764775533763847,0.7112183435337024,0.48145435384266383,0.8799221188590218,0.21639904217579703,0.21639904217579703,-0.8103936713653828,0.2530740761523231,-0.8122591968752315,0.14667716479385956,0.8406765793797938,0.7112183435337024,0.5137558080745969,0.40108999153198105,,
max_dhi (W/m²),0.3065792911235222,0.5231020397052932,0.9352257654207289,0.9274888727849501,0.9413710471181622,1.0,0.9053106612633803,0.9754987863026163,0.6732963628120311,0.37006344204504593,0.7244733719808862,0.3155618596304835,0.8115397258840776,0.16026312900065284,0.16026312900065284,-0.6372479320758935,0.1022658990308225,-0.6388969319765891,0.23480052119545408,0.8080079811034614,0.7244733719808862,0.3651455345748565,0.23404847228679837,,
max_dni (W/m²),0.09073770324342954,0.22414974683811126,0.7133959400707992,0.700545707939505,0.719225069021148,0.9053106612633803,1.0,0.7991480351980474,0.5878500223206263,0.4647062817488703,0.6400865910243426,0.06544005563023697,0.5706107886870874,0.0388825885109897,0.0388825885109897,-0.2921184039158101,-0.1521579060567241,-0.29371754932393485,0.3399607816036505,0.6247171578236654,0.6400865910243426,0.13340392376635254,-0.013910415988859889,,
max_ghi (W/m²),0.3954042461480297,0.6368265771239738,0.9827405389263976,0.9782278367479517,0.9900267443854902,0.9754987863026163,0.7991480351980474,1.0,0.6635737884874529,0.298384006913194,0.7306802706684163,0.41385583471678666,0.8720239524378831,0.20577482035233055,0.20577482035233055,-0.7619999260841125,0.2265367036199612,-0.7638198029553155,0.16581660249018992,0.8395119023446106,0.7306802706684163,0.45098133029321563,0.3375984867143021,,
max_temp (°C),-0.12598991781971522,0.389848367156836,0.66654745321196,0.6836677389935816,0.6578023140324386,0.6732963628120311,0.5878500223206263,0.6635737884874529,1.0,0.6346791469586247,0.4186891630265154,0.04519989800409381,0.7788986611106673,-0.17251662374883303,-0.17251662374883303,-0.3966158334903157,-0.20023769076139947,-0.4084714565472781,0.5760282955358719,0.917967143106927,0.4186891630265154,0.09468401772969925,-0.0511186180027524,,
max_uv (Index),-0.6898739954022056,-0.15133692742355748,0.2966680836022321,0.3142899990758342,0.27764775533763847,0.37006344204504593,0.4647062817488703,0.298384006913194,0.6346791469586247,1.0,0.25336777954057016,-0.06868834645365268,0.24189259185742376,-0.35588443615279014,-0.35588443615279014,0.10292076532091843,-0.5579987607574411,0.09817174906205924,0.9366556690114997,0.4405500101047354,0.25336777954057016,0.0071152589344945175,-0.16332567249737973,,
