Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,87,"[0.0, 0.01, 0.01]"
Date ,object,366,0,366,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,366,0,158,"[15.8, 15.6, 13.8]"
dhi (W/m²),int64,366,0,17,"[40, 40, 40]"
dni (W/m²),int64,366,0,111,"[331, 331, 331]"
ghi (W/m²),int64,366,0,154,"[204, 205, 205]"
max_dhi (W/m²),int64,366,0,16,"[114, 114, 114]"
max_dni (W/m²),int64,366,0,55,"[901, 902, 902]"
max_ghi (W/m²),int64,366,0,205,"[730, 731, 733]"
max_temp (°C),float64,366,0,50,"[27.0, 25.9, 25.9]"
max_uv (Index),float64,366,0,96,"[5.8, 5.9, 5.7]"
max_wind_dir (°),int64,366,0,187,"[197, 172, 72]"
max_wind_spd (m/s),float64,366,0,17,"[2.4, 3.2, 3.6]"
min_temp (°C),float64,366,0,56,"[15.2, 15.6, 14.1]"
precip (mm),float64,366,0,56,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,56,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,23,"[1010, 1009, 1009]"
rh (%),float64,366,0,70,"[0.77, 0.77, 0.73]"
slp (hPa),int64,366,0,23,"[1014, 1014, 1014]"
solar_rad (W/m²),int64,366,0,199,"[204, 205, 205]"
temp (°C),float64,366,0,159,"[20.3, 20.0, 19.1]"
wind_dir (°),int64,366,0,187,"[197, 172, 72]"
wind_gust_spd (m/s),float64,366,0,25,"[4.8, 6.0, 6.8]"
wind_spd (m/s),float64,366,0,41,"[1.8, 2.3, 2.4]"
market_name (Text),object,366,0,1,"['Sanad', 'Sanad', 'Sanad']"
query_lat (°),float64,366,0,1,"[22.9976096958215, 22.9976096958215, 22.9976096958215]"
query_lon (°),float64,366,0,1,"[72.3816342739519, 72.3816342739519, 72.3816342739519]"
