,count,unique,top,freq,mean,std,min,25%,50%,75%,max
clouds (%),366.0,,,,0.3696994535519126,0.3716253340078054,0.0,0.02,0.22,0.7575000000000001,1.0
Date ,366,366,2024-01-01,1,,,,,,,
dewpt (°C),366.0,,,,18.38688524590164,6.23362887104004,3.0,13.3,17.6,24.9,27.3
dhi (W/m²),366.0,,,,49.06284153005465,5.618841747951004,40.0,44.0,50.0,55.0,56.0
dni (W/m²),366.0,,,,392.3633879781421,38.61764340188063,330.0,355.25,398.5,431.0,440.0
ghi (W/m²),366.0,,,,297.5273224043716,58.13572279708584,202.0,241.0,311.5,354.75,364.0
max_dhi (W/m²),366.0,,,,122.54098360655738,4.755641277616969,113.0,119.0,125.0,126.0,128.0
max_dni (W/m²),366.0,,,,930.8633879781421,15.662989217575376,899.0,921.0,935.0,940.0,953.0
max_ghi (W/m²),366.0,,,,937.74043715847,120.12794938468738,724.0,825.0,989.0,1047.0,1058.0
max_temp (°C),366.0,,,,33.2292349726776,4.547760907979159,24.8,29.6,32.8,36.3,44.1
max_uv (Index),366.0,,,,7.133879781420765,2.7368214193473253,2.2,5.1,6.75,9.2,12.1
max_wind_dir (°),366.0,,,,196.672131147541,84.8234694799962,25.0,138.75,220.5,264.75,343.0
max_wind_spd (m/s),366.0,,,,3.7278688524590167,1.0797459590930905,1.6,2.8,3.6,4.4,8.8
min_temp (°C),366.0,,,,23.192349726775955,5.639678067960333,11.1,18.1,25.4,27.4,32.2
precip (mm),366.0,,,,3.0469945355191257,9.969824567229853,0.0,0.0,0.0,0.3,78.0
precip_gpm (mm/hr),366.0,,,,3.0469945355191257,9.969824567229853,0.0,0.0,0.0,0.3,78.0
pres (hPa),366.0,,,,1003.9890710382514,5.738110109418994,992.0,1000.0,1004.0,1009.0,1014.0
rh (%),366.0,,,,0.6067486338797814,0.16869873345511957,0.24,0.48,0.57,0.76,0.97
slp (hPa),366.0,,,,1008.327868852459,5.835333033353834,996.0,1004.0,1009.0,1013.0,1018.0
solar_rad (W/m²),366.0,,,,232.827868852459,87.27092371064249,34.0,187.5,235.5,302.75,364.0
temp (°C),366.0,,,,27.743442622950816,4.899454613846037,18.3,23.7,28.75,30.8,37.6
wind_dir (°),366.0,,,,196.672131147541,84.8234694799962,25.0,138.75,220.5,264.75,343.0
wind_gust_spd (m/s),366.0,,,,7.587978142076502,1.9768156930913992,3.6,6.4,7.2,8.8,16.4
wind_spd (m/s),366.0,,,,2.637431693989071,0.8350493149121223,1.0,2.1,2.5,3.1,7.1
market_name (Text),366,1,Sanad,366,,,,,,,
query_lat (°),366.0,,,,22.997609695821502,3.557577081048374e-15,22.9976096958215,22.9976096958215,22.9976096958215,22.9976096958215,22.9976096958215
query_lon (°),366.0,,,,72.38163427395192,1.4230308324193497e-14,72.3816342739519,72.3816342739519,72.3816342739519,72.3816342739519,72.3816342739519
