clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.0,2024-01-01,15.8,40,331,204,114,901,730,27.0,5.8,197,2.4,15.2,0.0,0.0,1010,0.77,1014,204,20.3,197,4.8,1.8,Sanad,22.9976096958215,72.3816342739519
0.01,2024-01-02,15.6,40,331,205,114,902,731,25.9,5.9,172,3.2,15.6,0.0,0.0,1009,0.77,1014,205,20.0,172,6.0,2.3,Sanad,22.9976096958215,72.3816342739519
0.01,2024-01-03,13.8,40,331,205,114,902,733,25.9,5.7,72,3.6,14.1,0.0,0.0,1009,0.73,1014,205,19.1,72,6.8,2.4,Sanad,22.9976096958215,72.3816342739519
0.0,2024-01-04,13.0,40,332,206,114,903,734,25.2,5.9,77,4.0,14.8,0.0,0.0,1010,0.7,1014,206,19.0,77,7.6,3.0,Sanad,22.9976096958215,72.3816342739519
0.15,2024-01-05,12.6,40,332,207,114,903,736,25.2,5.9,34,4.0,14.1,0.0,0.0,1010,0.69,1015,204,18.7,34,6.8,2.7,Sanad,22.9976096958215,72.3816342739519
0.01,2024-01-06,12.4,40,332,207,114,903,737,24.8,6.0,48,4.4,14.4,0.0,0.0,1011,0.69,1016,207,18.7,48,8.4,3.2,Sanad,22.9976096958215,72.3816342739519
0.08,2024-01-07,13.3,40,333,208,114,904,739,25.9,5.7,54,4.8,15.2,0.0,0.0,1011,0.67,1016,208,19.7,54,9.2,3.7,Sanad,22.9976096958215,72.3816342739519
0.36,2024-01-08,16.5,41,333,209,114,905,741,25.9,4.3,68,3.6,17.4,0.0,0.0,1011,0.76,1015,199,21.0,68,7.2,3.1,Sanad,22.9976096958215,72.3816342739519
0.25,2024-01-09,15.1,41,334,209,115,905,743,26.3,4.9,114,4.4,18.5,0.0,0.0,1011,0.66,1016,208,21.9,114,8.8,3.4,Sanad,22.9976096958215,72.3816342739519
0.03,2024-01-10,15.9,41,334,210,115,906,745,26.7,5.8,72,4.0,18.1,0.0,0.0,1011,0.7,1016,210,21.6,72,8.0,2.9,Sanad,22.9976096958215,72.3816342739519
0.0,2024-01-11,15.9,41,335,211,115,906,747,27.8,6.1,31,3.2,16.3,0.0,0.0,1012,0.74,1016,211,21.1,31,6.4,2.4,Sanad,22.9976096958215,72.3816342739519
0.0,2024-01-12,15.6,41,335,212,115,907,749,29.3,6.1,136,3.2,15.2,0.0,0.0,1011,0.73,1015,212,21.3,136,6.4,2.0,Sanad,22.9976096958215,72.3816342739519
0.0,2024-01-13,13.5,41,336,213,115,908,751,28.9,6.1,251,2.8,15.2,0.0,0.0,1011,0.65,1015,213,21.0,251,6.0,2.2,Sanad,22.9976096958215,72.3816342739519
0.0,2024-01-14,8.8,41,336,214,115,908,754,28.1,6.2,331,3.2,13.3,0.0,0.0,1011,0.51,1016,214,19.8,331,6.8,2.4,Sanad,22.9976096958215,72.3816342739519
0.0,2024-01-15,10.7,41,337,215,115,909,756,27.4,6.2,199,2.8,12.2,0.0,0.0,1011,0.6,1015,215,19.1,199,4.4,1.7,Sanad,22.9976096958215,72.3816342739519
0.17,2024-01-16,10.1,41,337,216,115,910,759,27.4,5.6,317,2.4,12.6,0.0,0.0,1008,0.57,1012,211,19.6,317,4.8,1.7,Sanad,22.9976096958215,72.3816342739519
0.81,2024-01-17,12.5,41,338,217,116,910,761,27.4,3.5,301,2.8,13.0,0.0,0.0,1007,0.65,1012,141,19.6,301,4.8,1.9,Sanad,22.9976096958215,72.3816342739519
0.03,2024-01-18,13.5,41,339,218,116,911,764,27.0,5.9,98,2.8,14.4,0.0,0.0,1009,0.68,1014,218,20.0,98,5.6,2.1,Sanad,22.9976096958215,72.3816342739519
0.01,2024-01-19,11.4,41,339,219,116,912,767,27.4,6.4,77,3.6,15.2,0.0,0.0,1010,0.59,1015,219,20.2,77,7.6,2.7,Sanad,22.9976096958215,72.3816342739519
0.14,2024-01-20,10.1,42,340,220,116,913,770,27.0,6.4,132,3.6,13.7,0.0,0.0,1011,0.57,1016,219,19.4,132,6.8,2.5,Sanad,22.9976096958215,72.3816342739519
0.51,2024-01-21,9.5,42,341,221,116,913,773,26.7,2.6,57,4.0,14.8,0.0,0.0,1012,0.54,1017,98,19.6,57,7.6,2.9,Sanad,22.9976096958215,72.3816342739519
0.39,2024-01-22,9.0,42,342,222,116,914,776,26.7,6.2,48,3.6,13.0,0.0,0.0,1012,0.56,1017,213,18.9,48,6.8,2.4,Sanad,22.9976096958215,72.3816342739519
0.0,2024-01-23,10.0,42,342,223,117,915,779,27.4,6.5,34,2.8,12.6,0.0,0.0,1012,0.58,1017,223,19.3,34,5.2,1.9,Sanad,22.9976096958215,72.3816342739519
0.0,2024-01-24,10.9,42,343,225,117,916,782,28.1,6.6,57,2.4,13.0,0.0,0.0,1012,0.6,1016,225,19.9,57,4.4,1.8,Sanad,22.9976096958215,72.3816342739519
0.16,2024-01-25,10.7,42,344,226,117,916,785,28.1,6.6,77,3.2,12.6,0.0,0.0,1013,0.6,1017,226,20.0,77,6.8,2.2,Sanad,22.9976096958215,72.3816342739519
0.4,2024-01-26,10.7,42,345,227,117,917,789,28.1,6.5,55,3.6,14.1,0.0,0.0,1014,0.58,1018,172,19.9,55,6.4,2.5,Sanad,22.9976096958215,72.3816342739519
0.5,2024-01-27,10.9,42,346,229,117,918,792,29.3,3.6,56,3.2,14.1,0.0,0.0,1013,0.57,1018,181,20.7,56,6.0,2.3,Sanad,22.9976096958215,72.3816342739519
0.68,2024-01-28,11.1,42,346,230,117,919,796,30.0,4.9,162,2.8,12.6,0.0,0.0,1012,0.58,1016,185,20.7,162,4.8,2.0,Sanad,22.9976096958215,72.3816342739519
0.59,2024-01-29,11.6,43,347,231,118,920,799,27.8,6.7,325,2.8,14.4,0.0,0.0,1012,0.57,1017,204,20.7,325,5.6,2.2,Sanad,22.9976096958215,72.3816342739519
0.9,2024-01-30,13.2,43,348,233,118,921,803,28.9,2.2,146,2.0,15.9,0.0,0.0,1011,0.59,1015,66,22.2,146,4.8,1.3,Sanad,22.9976096958215,72.3816342739519
0.86,2024-01-31,14.7,43,349,234,118,921,806,28.1,2.4,227,2.4,16.3,0.3,0.3,1010,0.65,1015,83,22.0,227,4.8,1.3,Sanad,22.9976096958215,72.3816342739519
0.15,2024-02-01,15.9,43,350,235,118,922,810,28.9,7.0,291,2.8,18.5,0.0,0.0,1010,0.67,1015,235,22.9,291,6.4,2.1,Sanad,22.9976096958215,72.3816342739519
0.21,2024-02-02,15.1,43,351,237,118,923,814,30.0,7.0,89,2.4,16.3,0.0,0.0,1012,0.64,1016,237,22.9,89,4.4,1.2,Sanad,22.9976096958215,72.3816342739519
0.01,2024-02-03,14.8,43,352,238,119,924,817,30.4,7.1,115,3.2,16.7,0.0,0.0,1012,0.61,1016,238,23.5,115,6.0,1.9,Sanad,22.9976096958215,72.3816342739519
0.0,2024-02-04,15.5,43,353,240,119,925,821,31.5,7.1,189,3.2,19.3,0.0,0.0,1011,0.59,1015,240,24.8,189,6.0,1.8,Sanad,22.9976096958215,72.3816342739519
0.03,2024-02-05,17.5,44,354,241,119,926,825,28.9,6.9,303,2.8,19.6,0.0,0.0,1012,0.69,1016,241,23.9,303,6.8,2.2,Sanad,22.9976096958215,72.3816342739519
0.03,2024-02-06,14.8,44,355,243,119,926,829,28.5,7.2,111,2.4,18.1,1.0,1.0,1012,0.61,1017,243,23.2,111,4.4,1.7,Sanad,22.9976096958215,72.3816342739519
0.46,2024-02-07,14.5,44,356,244,119,927,833,28.5,5.4,229,4.0,18.5,0.0,0.0,1014,0.6,1018,225,23.1,229,8.0,2.6,Sanad,22.9976096958215,72.3816342739519
0.82,2024-02-08,12.0,44,357,246,120,928,837,27.0,6.0,39,5.2,18.1,0.0,0.0,1014,0.55,1018,179,22.0,39,10.0,3.4,Sanad,22.9976096958215,72.3816342739519
0.42,2024-02-09,9.6,44,358,247,120,929,841,28.1,7.5,41,3.6,14.8,0.0,0.0,1012,0.51,1017,236,20.8,41,7.6,2.4,Sanad,22.9976096958215,72.3816342739519
0.0,2024-02-10,9.6,44,359,249,120,930,845,28.1,7.5,107,4.4,14.8,0.0,0.0,1013,0.5,1018,249,20.9,107,8.4,2.9,Sanad,22.9976096958215,72.3816342739519
0.38,2024-02-11,9.6,45,360,251,120,931,849,28.9,7.3,69,4.4,15.6,0.0,0.0,1013,0.48,1018,235,21.4,69,9.2,3.1,Sanad,22.9976096958215,72.3816342739519
0.96,2024-02-12,10.9,45,361,252,120,931,853,27.8,2.4,138,4.0,15.9,0.0,0.0,1012,0.51,1017,82,21.6,138,8.0,2.6,Sanad,22.9976096958215,72.3816342739519
0.91,2024-02-13,11.4,45,362,254,121,932,857,27.8,2.5,178,3.6,17.0,0.0,0.0,1012,0.51,1016,82,22.1,178,6.0,2.3,Sanad,22.9976096958215,72.3816342739519
0.13,2024-02-14,10.2,45,364,256,121,933,861,28.9,7.8,269,3.2,17.0,0.0,0.0,1012,0.47,1016,256,22.6,269,5.6,2.4,Sanad,22.9976096958215,72.3816342739519
0.0,2024-02-15,13.6,45,365,257,121,934,865,30.4,7.9,58,4.8,17.8,0.0,0.0,1012,0.55,1016,257,23.6,58,9.6,3.4,Sanad,22.9976096958215,72.3816342739519
0.0,2024-02-16,13.8,46,366,259,121,935,869,31.5,7.9,52,5.2,19.3,0.0,0.0,1012,0.52,1016,259,24.7,52,10.4,3.8,Sanad,22.9976096958215,72.3816342739519
0.21,2024-02-17,14.9,46,368,261,121,935,873,33.3,7.5,119,3.6,19.6,0.0,0.0,1009,0.53,1014,247,25.6,119,7.2,2.6,Sanad,22.9976096958215,72.3816342739519
0.09,2024-02-18,12.0,46,369,262,122,936,877,33.3,8.1,172,3.6,17.4,0.0,0.0,1007,0.46,1011,262,25.6,172,6.4,2.2,Sanad,22.9976096958215,72.3816342739519
0.62,2024-02-19,10.7,46,370,264,122,937,881,33.3,5.9,258,4.4,18.9,0.0,0.0,1007,0.4,1011,213,25.7,258,9.2,3.0,Sanad,22.9976096958215,72.3816342739519
0.33,2024-02-20,16.8,46,372,266,122,937,885,31.1,8.2,263,2.8,18.9,0.0,0.0,1008,0.63,1012,244,24.9,263,6.4,2.1,Sanad,22.9976096958215,72.3816342739519
