,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.5811433444473704,0.4280568318628097,0.4200470591371827,0.4509009724241619,0.4038619935311739,0.25719685936784853,0.44320362452460016,-0.1372191302005261,-0.6292256224811644,0.18573039547386025,0.2654513164882885,0.3862486848902805,0.4545021616294595,0.4545021616294595,-0.5709118774538532,0.6078720973892504,-0.5665832074466821,-0.6988283983044211,0.17370690951815915,0.18573039547386025,0.29233303824591444,0.2556230610926616,,
dewpt (°C),0.5811433444473704,1.0,0.62192961237573,0.619017648969889,0.6475298136029756,0.5552107634838743,0.3254440277066622,0.6294515427868972,0.3129355092902283,-0.15907566744356524,0.28609262157279614,0.21886666017448084,0.7929675230642711,0.35573374512340256,0.35573374512340256,-0.7938289225945402,0.7084078643992474,-0.7945423219812023,-0.19687641364627814,0.62005506459899,0.28609262157279614,0.26339604099298836,0.1893715929782814,,
dhi (W/m²),0.4280568318628097,0.62192961237573,1.0,0.9982019737464838,0.9969943694776594,0.9483577503749497,0.7969133398794351,0.9843944337920117,0.6990991716422074,0.334412846065466,0.5639004275284532,0.42045154991409445,0.8914853676203606,0.2193155019337307,0.2193155019337307,-0.8357932867041657,0.03495799670197872,-0.8395652878959108,0.2066798289679411,0.8676696542444847,0.5639004275284532,0.4053756463283397,0.3628080166272186,,
dni (W/m²),0.4200470591371827,0.619017648969889,0.9982019737464838,1.0,0.9968409034176212,0.9445673867362593,0.7895586437583751,0.9820542452499441,0.7066912721091623,0.3395960105617786,0.5562020707994045,0.4155324319632437,0.8916703990867856,0.21396677106551107,0.21396677106551107,-0.8356893600883757,0.0274371934375652,-0.8392981843024591,0.2122422668237958,0.871299597685324,0.5562020707994045,0.4037885410093385,0.35787450723304326,,
ghi (W/m²),0.4509009724241619,0.6475298136029756,0.9969943694776594,0.9968409034176212,1.0,0.9569436500770757,0.8062529519623303,0.9912690981908007,0.6855710393721253,0.3124467678534842,0.5682886877968274,0.40620803882126266,0.8989207574848529,0.2301406810132086,0.2301406810132086,-0.8409810156996286,0.0691417909353404,-0.844715558741717,0.1882217544120093,0.8667603256463309,0.5682886877968274,0.39570586182334183,0.34763531030205125,,
max_dhi (W/m²),0.4038619935311739,0.5552107634838743,0.9483577503749497,0.9445673867362593,0.9569436500770757,1.0,0.9369607137875761,0.984295017074848,0.6744085870642008,0.35233275863718666,0.5934154587734307,0.3117446025807758,0.8376214205442907,0.1993385251747935,0.1993385251747935,-0.7111093023723696,-0.011837051596750026,-0.7174351688784268,0.23088708084825024,0.8315931106123202,0.5934154587734307,0.29923294504518305,0.24663120737566435,,
max_dni (W/m²),0.25719685936784853,0.3254440277066622,0.7969133398794351,0.7895586437583751,0.8062529519623303,0.9369607137875761,1.0,0.8692235576371207,0.6204564122724789,0.42319644964883496,0.5656811673756331,0.18752836068697815,0.6592557737911997,0.10390912459636148,0.10390912459636148,-0.4571154552779128,-0.18936464195786276,-0.4656580315080789,0.3150468199991364,0.7050294417112696,0.5656811673756331,0.16346583184911867,0.11505552935679411,,
max_ghi (W/m²),0.44320362452460016,0.6294515427868972,0.9843944337920117,0.9820542452499441,0.9912690981908007,0.984295017074848,0.8692235576371207,1.0,0.6840658248839132,0.323171060779039,0.5865386745394398,0.364878409022907,0.8888164619007097,0.2254835524565233,0.2254835524565233,-0.7997944222810138,0.05235869210187863,-0.8047282392981787,0.20057838609907527,0.863017770559002,0.5865386745394398,0.3564972510613753,0.30354258015972835,,
max_temp (°C),-0.1372191302005261,0.3129355092902283,0.6990991716422074,0.7066912721091623,0.6855710393721253,0.6744085870642008,0.6204564122724789,0.6840658248839132,1.0,0.6997842516998675,0.4118628691427173,0.10234404067545447,0.7536572390743584,-0.17692009863606298,-0.17692009863606298,-0.47437706136436314,-0.43057827723840486,-0.4834485189661915,0.6433629479603905,0.9171204493107227,0.4118628691427173,0.1000824429045443,0.04274466687592753,,
max_uv (Index),-0.6292256224811644,-0.15907566744356524,0.334412846065466,0.3395960105617786,0.3124467678534842,0.35233275863718666,0.42319644964883496,0.323171060779039,0.6997842516998675,1.0,0.26852961955404175,0.030979406698560186,0.28345406244961885,-0.3076859476391834,-0.3076859476391834,-0.00669300460231345,-0.6566565421118689,-0.015605298902555857,0.9389348028014868,0.49823286088763075,0.26852961955404175,-0.009890480606758414,-0.022950106645273718,,
max_wind_dir (°),0.18573039547386025,0.28609262157279614,0.5639004275284532,0.5562020707994045,0.5682886877968274,0.5934154587734307,0.5656811673756331,0.5865386745394398,0.4118628691427173,0.26852961955404175,1.0,0.07099540725358025,0.5062297876033531,0.1338732299817915,0.1338732299817915,-0.43549717721203357,-0.06199878371805527,-0.43828390246032295,0.201995553164518,0.5061656598618299,1.0,0.06905763361159566,0.057024623989231187,,
max_wind_spd (m/s),0.2654513164882885,0.21886666017448084,0.42045154991409445,0.4155324319632437,0.40620803882126266,0.3117446025807758,0.18752836068697815,0.364878409022907,0.10234404067545447,0.030979406698560186,0.07099540725358025,1.0,0.3303632806477733,0.24930406795682597,0.24930406795682597,-0.46638104497286004,0.07628989335394164,-0.4637658703878324,-0.03817933993472687,0.23158340962195303,0.07099540725358028,0.9035335658328669,0.9140355562820578,,
min_temp (°C),0.3862486848902805,0.7929675230642711,0.8914853676203606,0.8916703990867856,0.8989207574848529,0.8376214205442907,0.6592557737911997,0.8888164619007097,0.7536572390743584,0.28345406244961885,0.5062297876033531,0.3303632806477733,1.0,0.18900436189687084,0.18900436189687084,-0.8359378975730521,0.16277816161831532,-0.8400632713244285,0.2067359502087657,0.9493626615670715,0.5062297876033532,0.3541708431608311,0.2767731040584053,,
precip (mm),0.4545021616294595,0.35573374512340256,0.2193155019337307,0.21396677106551107,0.2301406810132086,0.1993385251747935,0.10390912459636148,0.2254835524565233,-0.17692009863606298,-0.3076859476391834,0.1338732299817915,0.24930406795682597,0.18900436189687084,1.0,1.0,-0.3918801954533275,0.46447220870677813,-0.39407391233260064,-0.4521792757983483,0.03875208825975633,0.1338732299817915,0.22513981147643777,0.25637535178025894,,
precip_gpm (mm/hr),0.4545021616294595,0.35573374512340256,0.2193155019337307,0.21396677106551107,0.2301406810132086,0.1993385251747935,0.10390912459636148,0.2254835524565233,-0.17692009863606298,-0.3076859476391834,0.1338732299817915,0.24930406795682597,0.18900436189687084,1.0,1.0,-0.3918801954533275,0.46447220870677813,-0.39407391233260064,-0.4521792757983483,0.03875208825975633,0.1338732299817915,0.22513981147643777,0.25637535178025894,,
pres (hPa),-0.5709118774538532,-0.7938289225945402,-0.8357932867041657,-0.8356893600883757,-0.8409810156996286,-0.7111093023723696,-0.4571154552779128,-0.7997944222810138,-0.47437706136436314,-0.00669300460231345,-0.43549717721203357,-0.46638104497286004,-0.8359378975730521,-0.3918801954533275,-0.3918801954533275,1.0,-0.385008864684737,0.9967868730375603,0.09382977976595107,-0.7200360093008419,-0.43549717721203324,-0.46278415628495706,-0.4437843148814509,,
rh (%),0.6078720973892504,0.7084078643992474,0.03495799670197872,0.0274371934375652,0.0691417909353404,-0.011837051596750026,-0.18936464195786276,0.05235869210187863,-0.43057827723840486,-0.6566565421118689,-0.06199878371805527,0.07628989335394164,0.16277816161831532,0.46447220870677813,0.46447220870677813,-0.385008864684737,1.0,-0.3799491038555656,-0.6531120143614845,-0.10558164319221058,-0.06199878371805525,0.12265352654448836,0.1006947815177423,,
slp (hPa),-0.5665832074466821,-0.7945423219812023,-0.8395652878959108,-0.8392981843024591,-0.844715558741717,-0.7174351688784268,-0.4656580315080789,-0.8047282392981787,-0.4834485189661915,-0.015605298902555857,-0.43828390246032295,-0.4637658703878324,-0.8400632713244285,-0.39407391233260064,-0.39407391233260064,0.9967868730375603,-0.3799491038555656,1.0,0.0858931788917277,-0.7272038367471643,-0.43828390246032284,-0.4580447108260902,-0.4367510911188312,,
solar_rad (W/m²),-0.6988283983044211,-0.19687641364627814,0.2066798289679411,0.2122422668237958,0.1882217544120093,0.23088708084825024,0.3150468199991364,0.20057838609907527,0.6433629479603905,0.9389348028014868,0.201995553164518,-0.03817933993472687,0.2067359502087657,-0.4521792757983483,-0.4521792757983483,0.09382977976595107,-0.6531120143614845,0.0858931788917277,1.0,0.42335326964938563,0.201995553164518,-0.07279039145385496,-0.08749171872946421,,
temp (°C),0.17370690951815915,0.62005506459899,0.8676696542444847,0.871299597685324,0.8667603256463309,0.8315931106123202,0.7050294417112696,0.863017770559002,0.9171204493107227,0.49823286088763075,0.5061656598618299,0.23158340962195303,0.9493626615670715,0.03875208825975633,0.03875208825975633,-0.7200360093008419,-0.10558164319221058,-0.7272038367471643,0.42335326964938563,1.0,0.5061656598618299,0.24272612110462136,0.16900257524459625,,
wind_dir (°),0.18573039547386025,0.28609262157279614,0.5639004275284532,0.5562020707994045,0.5682886877968274,0.5934154587734307,0.5656811673756331,0.5865386745394398,0.4118628691427173,0.26852961955404175,1.0,0.07099540725358028,0.5062297876033532,0.1338732299817915,0.1338732299817915,-0.43549717721203324,-0.06199878371805525,-0.43828390246032284,0.201995553164518,0.5061656598618299,1.0,0.06905763361159566,0.057024623989231187,,
wind_gust_spd (m/s),0.29233303824591444,0.26339604099298836,0.4053756463283397,0.4037885410093385,0.39570586182334183,0.29923294504518305,0.16346583184911867,0.3564972510613753,0.1000824429045443,-0.009890480606758414,0.06905763361159566,0.9035335658328669,0.3541708431608311,0.22513981147643777,0.22513981147643777,-0.46278415628495706,0.12265352654448836,-0.4580447108260902,-0.07279039145385496,0.24272612110462136,0.06905763361159566,1.0,0.9077293297641011,,
wind_spd (m/s),0.2556230610926616,0.1893715929782814,0.3628080166272186,0.35787450723304326,0.34763531030205125,0.24663120737566435,0.11505552935679411,0.30354258015972835,0.04274466687592753,-0.022950106645273718,0.057024623989231187,0.9140355562820578,0.2767731040584053,0.25637535178025894,0.25637535178025894,-0.4437843148814509,0.1006947815177423,-0.4367510911188312,-0.08749171872946421,0.16900257524459625,0.057024623989231187,0.9077293297641011,1.0,,
query_lat (°),,,,,,,,,,,,,,,,,,,,,,,,,
query_lon (°),,,,,,,,,,,,,,,,,,,,,,,,,
