Column,IQR Outliers,IQR %,Z-Score Outliers (>3),Lower Bound,Upper Bound
clouds (%),0,0.00%,0,-1.0862500000000002,1.8637500000000002
dewpt (°C),0,0.00%,0,-4.099999999999998,42.3
dhi (W/m²),0,0.00%,0,27.5,71.5
dni (W/m²),0,0.00%,0,241.625,544.625
ghi (W/m²),0,0.00%,0,70.375,525.375
max_dhi (W/m²),0,0.00%,0,108.5,136.5
max_dni (W/m²),0,0.00%,0,892.5,968.5
max_ghi (W/m²),0,0.00%,0,492.0,1380.0
max_temp (°C),0,0.00%,0,19.550000000000008,46.349999999999994
max_uv (Index),0,0.00%,0,-1.0499999999999998,15.349999999999998
max_wind_dir (°),0,0.00%,0,-50.25,453.75
max_wind_spd (m/s),4,1.09%,4,0.399999999999999,6.800000000000001
min_temp (°C),0,0.00%,0,4.150000000000006,41.349999999999994
precip (mm),80,21.86%,11,-0.44999999999999996,0.75
precip_gpm (mm/hr),80,21.86%,11,-0.44999999999999996,0.75
pres (hPa),0,0.00%,0,986.5,1022.5
rh (%),0,0.00%,0,0.05999999999999994,1.1800000000000002
slp (hPa),0,0.00%,0,990.5,1026.5
solar_rad (W/m²),0,0.00%,0,14.625,475.625
temp (°C),0,0.00%,0,13.049999999999997,41.45
wind_dir (°),0,0.00%,0,-50.25,453.75
wind_gust_spd (m/s),5,1.37%,4,2.8,12.400000000000002
wind_spd (m/s),6,1.64%,4,0.6000000000000001,4.6
query_lat (°),0,0.00%,0,22.9976096958215,22.9976096958215
query_lon (°),0,0.00%,0,72.3816342739519,72.3816342739519
