Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,91,"[0.0, 0.0, 0.0]"
Date ,object,366,0,366,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,366,0,166,"[11.9, 12.6, 10.8]"
dhi (W/m²),int64,366,0,15,"[41, 41, 41]"
dni (W/m²),int64,366,0,102,"[336, 336, 336]"
ghi (W/m²),int64,366,0,142,"[213, 213, 214]"
max_dhi (W/m²),int64,366,0,14,"[115, 115, 115]"
max_dni (W/m²),int64,366,0,50,"[909, 909, 909]"
max_ghi (W/m²),int64,366,0,193,"[752, 753, 754]"
max_temp (°C),float64,366,0,46,"[29.3, 28.5, 27.4]"
max_uv (Index),float64,366,0,94,"[6.1, 6.2, 6.2]"
max_wind_dir (°),int64,366,0,187,"[290, 261, 103]"
max_wind_spd (m/s),float64,366,0,19,"[2.8, 3.2, 4.0]"
min_temp (°C),float64,366,0,48,"[16.7, 16.3, 15.2]"
precip (mm),float64,366,0,69,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,69,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,22,"[998, 998, 997]"
rh (%),float64,366,0,74,"[0.54, 0.6, 0.56]"
slp (hPa),int64,366,0,22,"[1014, 1014, 1014]"
solar_rad (W/m²),int64,366,0,211,"[213, 213, 214]"
temp (°C),float64,366,0,139,"[22.3, 21.7, 20.9]"
wind_dir (°),int64,366,0,187,"[290, 261, 103]"
wind_gust_spd (m/s),float64,366,0,32,"[7.2, 7.2, 8.4]"
wind_spd (m/s),float64,366,0,56,"[2.5, 2.7, 2.9]"
market_name (Text),object,366,0,1,"['Savarkundla', 'Savarkundla', 'Savarkundla']"
query_lat (°),float64,366,0,1,"[21.332621199094, 21.332621199094, 21.332621199094]"
query_lon (°),float64,366,0,1,"[71.3138304600404, 71.3138304600404, 71.3138304600404]"
