,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.6210758887594605,0.41212582196388753,0.39538937182206707,0.43743353871516144,0.33485468457478057,0.13863002331025684,0.4208799711775091,-0.25490467458694605,-0.6710679191831785,0.1643521086255741,0.36950147774045167,0.42017401521457426,0.4696702520421304,0.4696702520421304,-0.6294986984705436,0.6868218191929537,-0.6210340865766133,-0.739513885438698,0.10906325654359485,0.1643521086255741,0.30772984353585253,0.34388272113232904,,
dewpt (°C),0.6210758887594605,1.0,0.5808367221749308,0.5786425723957791,0.6084904264151866,0.4727079280609336,0.186418130393551,0.584644039094785,0.10455061090076552,-0.23903203802618475,0.2378886529960711,0.3147140269585324,0.739499092200332,0.35681080881601346,0.35681080881601346,-0.7741871745553137,0.8507714812205366,-0.7745892959945869,-0.2708173007195215,0.4730394153489808,0.2378886529960711,0.2240674398125595,0.27489753733860056,,
dhi (W/m²),0.41212582196388753,0.5808367221749308,1.0,0.9978686048460245,0.9965684745362534,0.9362429902437459,0.7412647926176529,0.9839919059377225,0.6076831693322646,0.30650438736390856,0.5821015504455117,0.5156006201795305,0.8991770877430172,0.1967755641392758,0.1967755641392758,-0.7946602555603478,0.2019967995152303,-0.80841484655718,0.17194500839822982,0.8449729937518103,0.5821015504455117,0.4709192376022699,0.4479408546412284,,
dni (W/m²),0.39538937182206707,0.5786425723957791,0.9978686048460245,1.0,0.99583962992086,0.9327766045734279,0.7360489796590828,0.9816397843802692,0.6241045450916199,0.32304742899940925,0.5732272601826924,0.5190584940851267,0.9052813942910036,0.19199736933025344,0.19199736933025344,-0.7955398309251998,0.1910189553905515,-0.8102775070436281,0.18869099087735222,0.8563940956766942,0.5732272601826924,0.4759501034779106,0.4504295990540313,,
ghi (W/m²),0.43743353871516144,0.6084904264151866,0.9965684745362534,0.99583962992086,1.0,0.9430910386246664,0.7456589018822409,0.9905163690812598,0.5889453566535102,0.2814979460523996,0.5879320874290661,0.5124953327103213,0.9097856313602138,0.2169409908707445,0.2169409908707445,-0.8049489198784413,0.2374284051985978,-0.8184751759994301,0.14999054858076627,0.8415278665695585,0.5879320874290661,0.4636922146417874,0.4466568970311017,,
max_dhi (W/m²),0.33485468457478057,0.4727079280609336,0.9362429902437459,0.9327766045734279,0.9430910386246664,1.0,0.9158018116953104,0.9767067794595182,0.6330874516984026,0.3648455894533827,0.6250115456042185,0.3659484033871348,0.849359935240136,0.16145319801576374,0.16145319801576374,-0.6276376258134004,0.09970483289660498,-0.6459286848505936,0.23319206182184518,0.8354533303294961,0.6250115456042185,0.3270962206723997,0.29796434500743,,
max_dni (W/m²),0.13863002331025684,0.186418130393551,0.7412647926176529,0.7360489796590828,0.7456589018822409,0.9158018116953104,1.0,0.8195609020788899,0.6370353084967624,0.4529884942095294,0.5864704795351456,0.16057735105765625,0.6441503697321664,0.06217949265209274,0.06217949265209274,-0.31620064577145013,-0.1524413762567884,-0.3378492460637283,0.3325567832511945,0.723804617451969,0.5864704795351456,0.15248522610126503,0.09614216744468601,,
max_ghi (W/m²),0.4208799711775091,0.584644039094785,0.9839919059377225,0.9816397843802692,0.9905163690812598,0.9767067794595182,0.8195609020788899,1.0,0.6012082649741998,0.297560773579394,0.6067258762232001,0.4561567251774292,0.9053504715256824,0.21133267326687388,0.21133267326687388,-0.757172501873701,0.2132849305135309,-0.7723848522158187,0.165907484753698,0.84799771929234,0.6067258762232001,0.4081352978316139,0.38976562572911366,,
max_temp (°C),-0.25490467458694605,0.10455061090076552,0.6076831693322646,0.6241045450916199,0.5889453566535102,0.6330874516984026,0.6370353084967624,0.6012082649741998,1.0,0.7578852564635036,0.3979592176669327,0.045395722470219654,0.6427516283603608,-0.2353081195289015,-0.2353081195289015,-0.22263146286535013,-0.41952740704807157,-0.2539692367421662,0.7029549730914985,0.8936019102487854,0.3979592176669327,0.053552518439294185,0.0003640193301617116,,
max_uv (Index),-0.6710679191831785,-0.23903203802618475,0.30650438736390856,0.32304742899940925,0.2814979460523996,0.3648455894533827,0.4529884942095294,0.297560773579394,0.7578852564635036,1.0,0.2848710405167766,-0.015186862454485025,0.24149572836168565,-0.3339822631843652,-0.3339822631843652,0.10735592473758024,-0.6043240396041202,0.08551105013313479,0.9346555281514501,0.5404594611836486,0.2848710405167766,0.015325099485725621,-0.04055375093310009,,
