,count,mean,std,min,25%,50%,75%,max,range,cv
clouds (%),366.0,0.3835245901639344,0.37427318891634814,0.0,0.02,0.245,0.765,1.0,1.0,97.58779450265969
dewpt (°C),366.0,17.733606557377048,6.74653368924526,-0.5,12.5,17.95,24.4,26.6,27.1,38.043776754699415
dhi (W/m²),366.0,49.166666666666664,5.0906396329092205,41.0,44.0,50.0,54.0,55.0,14.0,10.353843321171297
dni (W/m²),366.0,393.7049180327869,35.16217344676111,336.0,360.25,402.0,427.0,437.0,101.0,8.931098352150348
ghi (W/m²),366.0,301.0218579234973,54.33129790352085,211.0,248.25,315.5,354.0,362.0,151.0,18.04895441092148
max_dhi (W/m²),366.0,122.85792349726776,4.21107867672032,115.0,119.0,125.0,126.0,128.0,13.0,3.4276003995899953
max_dni (W/m²),366.0,934.1693989071039,13.703064077685308,906.0,927.0,936.0,942.0,955.0,49.0,1.4668714361353186
max_ghi (W/m²),366.0,948.1912568306011,112.08989313281388,747.0,842.75,1000.0,1046.0,1060.0,313.0,11.821443440375372
max_temp (°C),366.0,32.84043715846994,4.09009546395427,25.2,29.6,31.9,36.7,41.9,16.7,12.454448898526268
max_uv (Index),366.0,7.143989071038252,2.7648586260056844,2.0,4.9,6.8,9.4,12.1,10.1,38.70188767805409
max_wind_dir (°),366.0,213.34699453551912,87.89702773184723,12.0,159.75,242.5,275.0,332.0,320.0,41.19909348768149
max_wind_spd (m/s),366.0,4.523497267759563,1.3824912231852668,2.0,3.6,4.4,5.2,9.2,7.199999999999999,30.562441875199788
min_temp (°C),366.0,22.890163934426226,4.511277980145733,13.0,19.3,24.4,26.3,30.4,17.4,19.708369031647194
precip (mm),366.0,3.427049180327869,10.303030836578742,0.0,0.0,0.0,1.8,119.0,119.0,300.63854629576815
precip_gpm (mm/hr),366.0,3.427049180327869,10.303030836578742,0.0,0.0,0.0,1.8,119.0,119.0,300.63854629576815
pres (hPa),366.0,993.1912568306011,5.022309685835061,981.0,990.0,994.0,997.0,1002.0,21.0,0.5056739727916943
rh (%),366.0,0.6029781420765027,0.19729023071951785,0.22,0.44,0.59,0.8,0.96,0.74,32.71930057698289
slp (hPa),366.0,1009.0,5.205371303851331,997.0,1005.0,1009.0,1013.0,1018.0,21.0,0.5158940836324412
solar_rad (W/m²),366.0,230.15027322404373,91.32367147967652,31.0,178.25,232.0,305.0,361.0,330.0,39.680018711416395
temp (°C),366.0,27.475409836065573,3.983107717831416,18.9,24.725,27.6,30.3,35.8,16.9,14.496991097119116
wind_dir (°),366.0,213.34699453551912,87.89702773184723,12.0,159.75,242.5,275.0,332.0,320.0,41.19909348768149
wind_gust_spd (m/s),366.0,9.161748633879782,2.339104430469483,4.4,7.6,8.8,10.4,17.6,13.200000000000001,25.5312006904399
wind_spd (m/s),366.0,3.2734972677595633,1.1634065750616265,1.3,2.425,3.1,3.9,7.8,6.5,35.540172479138235
query_lat (°),366.0,21.332621199094,0.0,21.332621199094,21.332621199094,21.332621199094,21.332621199094,21.332621199094,0.0,0.0
query_lon (°),366.0,71.31383046004044,2.8460616648386994e-14,71.3138304600404,71.3138304600404,71.3138304600404,71.3138304600404,71.3138304600404,0.0,3.9908972025187236e-14
