Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,94,"[0.0, 0.02, 0.12]"
Date ,object,366,0,366,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,366,0,131,"[18.7, 18.7, 18.5]"
dhi (W/m²),int64,366,0,15,"[41, 41, 41]"
dni (W/m²),int64,366,0,99,"[342, 342, 343]"
ghi (W/m²),int64,366,0,144,"[215, 215, 216]"
max_dhi (W/m²),int64,366,0,13,"[115, 115, 115]"
max_dni (W/m²),int64,366,0,48,"[912, 913, 913]"
max_ghi (W/m²),int64,366,0,193,"[760, 761, 762]"
max_temp (°C),float64,366,0,43,"[29.6, 28.1, 27.4]"
max_uv (Index),float64,366,0,96,"[6.2, 6.3, 6.1]"
max_wind_dir (°),int64,366,0,163,"[190, 221, 231]"
max_wind_spd (m/s),float64,366,0,18,"[2.8, 2.8, 2.8]"
min_temp (°C),float64,366,0,42,"[19.3, 18.5, 17.4]"
precip (mm),float64,366,0,78,"[0.0, 0.8, 0.0]"
precip_gpm (mm/hr),float64,366,0,78,"[0.0, 0.8, 0.0]"
pres (hPa),int64,366,0,21,"[1000, 1000, 999]"
rh (%),float64,366,0,61,"[0.74, 0.78, 0.82]"
slp (hPa),int64,366,0,21,"[1013, 1013, 1013]"
solar_rad (W/m²),int64,366,0,210,"[215, 215, 206]"
temp (°C),float64,366,0,121,"[23.9, 22.8, 22.0]"
wind_dir (°),int64,366,0,163,"[190, 221, 231]"
wind_gust_spd (m/s),float64,366,0,34,"[4.8, 5.6, 5.6]"
wind_spd (m/s),float64,366,0,54,"[1.7, 1.8, 2.0]"
market_name (Text),object,366,0,1,"['Songadh', 'Songadh', 'Songadh']"
query_lat (°),float64,366,0,1,"[21.1758685770829, 21.1758685770829, 21.1758685770829]"
query_lon (°),float64,366,0,1,"[73.5640330081922, 73.5640330081922, 73.5640330081922]"
