,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.6614988958706747,0.4467693482015887,0.4403636136679865,0.45712858996008854,0.31991492356453743,0.0706518658314414,0.4275361424670523,-0.331323402597678,-0.6956625827163504,0.2857876652564681,0.4523899564638452,0.4536574525705242,0.5167994597892299,0.5167994597892299,-0.656787885043083,0.7543707002783941,-0.6529812407098005,-0.7703750868847479,0.07952967653035593,0.2857876652564681,0.4724636793620382,0.47590335616602597,,
dewpt (°C),0.6614988958706747,1.0,0.6348176895374097,0.6305976688215615,0.6491795547217366,0.5038660738772136,0.2043377007301654,0.6192604582264296,0.13620079985287517,-0.23701711718156587,0.32175297165805417,0.3795397162688477,0.8446609907019657,0.3859326133491118,0.3859326133491118,-0.773842412572383,0.7815835967676467,-0.7804526506599804,-0.31502534330602283,0.5595894591014492,0.32175297165805417,0.38916404845039115,0.42224239363763766,,
dhi (W/m²),0.4467693482015887,0.6348176895374097,1.0,0.9975177947464817,0.9968912522346317,0.924066033159717,0.6969300388959576,0.9805158353900335,0.4713269953045028,0.21683098777012982,0.6462029910842733,0.49395511057771385,0.8156310400831078,0.2539082880919037,0.2539082880919037,-0.8108665060605753,0.23107015998547403,-0.8227361674575456,0.03357758176446794,0.7567257966430291,0.6462029910842733,0.4332014063800938,0.46420478890775213,,
dni (W/m²),0.4403636136679865,0.6305976688215615,0.9975177947464817,1.0,0.9950044662793798,0.9115435636587259,0.6764031348828364,0.9730726550020966,0.47949813746429953,0.2205536138073234,0.6438764576609272,0.5014185447651364,0.8168906500232052,0.2457996580279279,0.2457996580279279,-0.8140114609859219,0.22113401916107198,-0.8256529696402473,0.041456548608623765,0.7612957733561019,0.6438764576609272,0.4389372953968715,0.4716137612659765,,
ghi (W/m²),0.45712858996008854,0.6491795547217366,0.9968912522346317,0.9950044662793798,1.0,0.938275238502777,0.7180490038796591,0.9897638971380549,0.47173000420519196,0.2076302931429576,0.6564802445043241,0.4764158015907409,0.82348092677359,0.26293888487056205,0.26293888487056205,-0.8106438697896048,0.24550348277852016,-0.8227619936031139,0.02718710847292901,0.7617718631270196,0.6564802445043241,0.41879346912859505,0.44788391264382976,,
max_dhi (W/m²),0.31991492356453743,0.5038660738772136,0.924066033159717,0.9115435636587259,0.938275238502777,1.0,0.9068286382729738,0.9749444265088254,0.5335882428111702,0.3144805778569873,0.6763901130833603,0.29554175485244,0.7121520795798595,0.19944863424474146,0.19944863424474146,-0.6291502898470828,0.09440727831496687,-0.6436906177761056,0.13849572447938704,0.7372312679511354,0.6763901130833603,0.24172768635641595,0.25232361993272956,,
max_dni (W/m²),0.0706518658314414,0.2043377007301654,0.6969300388959576,0.6764031348828364,0.7180490038796591,0.9068286382729738,1.0,0.8004442966981021,0.5560978317790167,0.4359360752600383,0.5970135040005046,0.03786495236270725,0.44968497040774463,0.06567860994924701,0.06567860994924701,-0.2930142051980875,-0.16256399337771055,-0.308713426277852,0.2896400932373043,0.6000146809135101,0.5970135040005046,-0.019349649720606994,-0.02819624963167545,,
max_ghi (W/m²),0.4275361424670523,0.6192604582264296,0.9805158353900335,0.9730726550020966,0.9897638971380549,0.9749444265088254,0.8004442966981021,1.0,0.49102574902637924,0.23420875254493584,0.6700869949569298,0.4106543665788985,0.8005145291512963,0.25562329572116554,0.25562329572116554,-0.7592616223405096,0.21340316227470493,-0.7724986986072875,0.05208496970542211,0.7616611217261672,0.6700869949569298,0.3561957891141618,0.3783078749856026,,
max_temp (°C),-0.331323402597678,0.13620079985287517,0.4713269953045028,0.47949813746429953,0.47173000420519196,0.5335882428111702,0.5560978317790167,0.49102574902637924,1.0,0.7029613578440167,0.2581111492598538,-0.1532462741040473,0.5275211020574653,-0.28702240135517393,-0.28702240135517393,-0.1661620975442311,-0.48910847093067344,-0.18544770686418421,0.6950034936425088,0.8653273421198286,0.2581111492598538,-0.2071083793911701,-0.20925090172419172,,
max_uv (Index),-0.6956625827163504,-0.23701711718156587,0.21683098777012982,0.2205536138073234,0.2076302931429576,0.3144805778569873,0.4359360752600383,0.23420875254493584,0.7029613578440167,1.0,0.1847873158846218,-0.1545732953476418,0.1124109573066809,-0.4123680305903428,-0.4123680305903428,0.14883681378875185,-0.6399005143724502,0.13651243593788817,0.925082197151169,0.4682120526146387,0.1847873158846218,-0.2056656535910874,-0.20524734713531678,,
max_wind_dir (°),0.2857876652564681,0.32175297165805417,0.6462029910842733,0.6438764576609272,0.6564802445043241,0.6763901130833603,0.5970135040005046,0.6700869949569298,0.2581111492598538,0.1847873158846218,1.0,0.16229502948653646,0.43445801030169656,0.13749124578160996,0.13749124578160996,-0.466450700424568,0.10517719370408303,-0.4730140411968701,0.06802964355132565,0.4181815000552501,1.0,0.09655357797150484,0.14849393659052101,,
max_wind_spd (m/s),0.4523899564638452,0.3795397162688477,0.49395511057771385,0.5014185447651364,0.4764158015907409,0.29554175485244,0.03786495236270725,0.4106543665788985,-0.1532462741040473,-0.1545732953476418,0.16229502948653646,1.0,0.36638905228922536,0.23925293592683944,0.23925293592683944,-0.5877972792319848,0.3757279821501794,-0.586038378139518,-0.2880203351898161,0.12706121207770946,0.16229502948653646,0.9478232324749493,0.9512116546970409,,
min_temp (°C),0.4536574525705242,0.8446609907019657,0.8156310400831078,0.8168906500232052,0.82348092677359,0.7121520795798595,0.44968497040774463,0.8005145291512963,0.5275211020574653,0.1124109573066809,0.43445801030169656,0.36638905228922536,1.0,0.22734223462292724,0.22734223462292724,-0.7886568175243022,0.36874660327122066,-0.8025637209249479,0.019290058429856115,0.8745110189046358,0.43445801030169656,0.3511803630312579,0.36723268611299187,,
precip (mm),0.5167994597892299,0.3859326133491118,0.2539082880919037,0.2457996580279279,0.26293888487056205,0.19944863424474146,0.06567860994924701,0.25562329572116554,-0.28702240135517393,-0.4123680305903428,0.13749124578160996,0.23925293592683944,0.22734223462292724,1.0,1.0,-0.449754739302423,0.5232998280038356,-0.44209478397819246,-0.5493576038008914,-0.021069526008279275,0.13749124578161,0.26573704450835706,0.25237113227377345,,
precip_gpm (mm/hr),0.5167994597892299,0.3859326133491118,0.2539082880919037,0.2457996580279279,0.26293888487056205,0.19944863424474146,0.06567860994924701,0.25562329572116554,-0.28702240135517393,-0.4123680305903428,0.13749124578160996,0.23925293592683944,0.22734223462292724,1.0,1.0,-0.449754739302423,0.5232998280038356,-0.44209478397819246,-0.5493576038008914,-0.021069526008279275,0.13749124578161,0.26573704450835706,0.25237113227377345,,
pres (hPa),-0.656787885043083,-0.773842412572383,-0.8108665060605753,-0.8140114609859219,-0.8106438697896048,-0.6291502898470828,-0.2930142051980875,-0.7592616223405096,-0.1661620975442311,0.14883681378875185,-0.466450700424568,-0.5877972792319848,-0.7886568175243022,-0.449754739302423,-0.449754739302423,1.0,-0.5422585609381853,0.9960664037404261,0.3029570832135916,-0.5598612697528005,-0.4664507004245679,-0.5666839334800646,-0.601627153171569,,
rh (%),0.7543707002783941,0.7815835967676467,0.23107015998547403,0.22113401916107198,0.24550348277852016,0.09440727831496687,-0.16256399337771055,0.21340316227470493,-0.48910847093067344,-0.6399005143724502,0.10517719370408303,0.3757279821501794,0.36874660327122066,0.5232998280038356,0.5232998280038356,-0.5422585609381853,1.0,-0.5356852580400528,-0.7045676506615519,-0.07078419186740993,0.105177193704083,0.41113939419883044,0.447155941891982,,
slp (hPa),-0.6529812407098005,-0.7804526506599804,-0.8227361674575456,-0.8256529696402473,-0.8227619936031139,-0.6436906177761056,-0.308713426277852,-0.7724986986072875,-0.18544770686418421,0.13651243593788817,-0.4730140411968701,-0.586038378139518,-0.8025637209249479,-0.44209478397819246,-0.44209478397819246,0.9960664037404261,-0.5356852580400528,1.0,0.2922839242655933,-0.5785318605241718,-0.4730140411968701,-0.5646323420484382,-0.5996909079757314,,
solar_rad (W/m²),-0.7703750868847479,-0.31502534330602283,0.03357758176446794,0.041456548608623765,0.02718710847292901,0.13849572447938704,0.2896400932373043,0.05208496970542211,0.6950034936425088,0.925082197151169,0.06802964355132565,-0.2880203351898161,0.019290058429856115,-0.5493576038008914,-0.5493576038008914,0.3029570832135916,-0.7045676506615519,0.2922839242655933,1.0,0.4010519897305761,0.06802964355132561,-0.31811307971152775,-0.3288616867842835,,
temp (°C),0.07952967653035593,0.5595894591014492,0.7567257966430291,0.7612957733561019,0.7617718631270196,0.7372312679511354,0.6000146809135101,0.7616611217261672,0.8653273421198286,0.4682120526146387,0.4181815000552501,0.12706121207770946,0.8745110189046358,-0.021069526008279275,-0.021069526008279275,-0.5598612697528005,-0.07078419186740993,-0.5785318605241718,0.4010519897305761,1.0,0.41818150005524996,0.09048162832366052,0.09767216260173345,,
wind_dir (°),0.2857876652564681,0.32175297165805417,0.6462029910842733,0.6438764576609272,0.6564802445043241,0.6763901130833603,0.5970135040005046,0.6700869949569298,0.2581111492598538,0.1847873158846218,1.0,0.16229502948653646,0.43445801030169656,0.13749124578161,0.13749124578161,-0.4664507004245679,0.105177193704083,-0.4730140411968701,0.06802964355132561,0.41818150005524996,1.0,0.09655357797150484,0.14849393659052101,,
wind_gust_spd (m/s),0.4724636793620382,0.38916404845039115,0.4332014063800938,0.4389372953968715,0.41879346912859505,0.24172768635641595,-0.019349649720606994,0.3561957891141618,-0.2071083793911701,-0.2056656535910874,0.09655357797150484,0.9478232324749493,0.3511803630312579,0.26573704450835706,0.26573704450835706,-0.5666839334800646,0.41113939419883044,-0.5646323420484382,-0.31811307971152775,0.09048162832366052,0.09655357797150484,1.0,0.9453290071357157,,
wind_spd (m/s),0.47590335616602597,0.42224239363763766,0.46420478890775213,0.4716137612659765,0.44788391264382976,0.25232361993272956,-0.02819624963167545,0.3783078749856026,-0.20925090172419172,-0.20524734713531678,0.14849393659052101,0.9512116546970409,0.36723268611299187,0.25237113227377345,0.25237113227377345,-0.601627153171569,0.447155941891982,-0.5996909079757314,-0.3288616867842835,0.09767216260173345,0.14849393659052101,0.9453290071357157,1.0,,
query_lat (°),,,,,,,,,,,,,,,,,,,,,,,,,
query_lon (°),,,,,,,,,,,,,,,,,,,,,,,,,
