Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,94,"[0.0, 0.0, 0.0]"
Date ,object,366,0,366,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,366,0,140,"[17.1, 18.1, 17.7]"
dhi (W/m²),int64,366,0,15,"[41, 41, 42]"
dni (W/m²),int64,366,0,99,"[340, 340, 340]"
ghi (W/m²),int64,366,0,142,"[215, 216, 216]"
max_dhi (W/m²),int64,366,0,14,"[116, 116, 116]"
max_dni (W/m²),int64,366,0,49,"[910, 910, 911]"
max_ghi (W/m²),int64,366,0,193,"[759, 760, 762]"
max_temp (°C),float64,366,0,82,"[29.6, 28.6, 25.6]"
max_uv (Index),float64,366,0,91,"[6.3, 6.3, 6.3]"
max_wind_dir (°),int64,366,0,177,"[216, 211, 69]"
max_wind_spd (m/s),float64,366,0,33,"[4.0, 2.1, 2.1]"
min_temp (°C),float64,366,0,98,"[19.8, 18.0, 17.0]"
precip (mm),float64,366,0,73,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,73,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,21,"[1012, 1011, 1011]"
rh (%),float64,366,0,63,"[0.66, 0.77, 0.82]"
slp (hPa),int64,366,0,22,"[1013, 1013, 1012]"
solar_rad (W/m²),int64,366,0,201,"[215, 216, 216]"
temp (°C),float64,366,0,115,"[24.0, 22.6, 21.1]"
wind_dir (°),int64,366,0,177,"[216, 211, 69]"
wind_gust_spd (m/s),float64,366,0,106,"[7.2, 5.7, 8.0]"
wind_spd (m/s),float64,366,0,35,"[1.5, 1.4, 1.4]"
market_name (Text),object,366,0,1,"['Surat', 'Surat', 'Surat']"
query_lat (°),float64,366,0,1,"[21.1934170129143, 21.1934170129143, 21.1934170129143]"
query_lon (°),float64,366,0,1,"[72.8529827687544, 72.8529827687544, 72.8529827687544]"
