,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.5628867776793818,0.4228456830417042,0.4111890010042125,0.44215964010068026,0.31552282994524267,0.08246829641157448,0.41531396757382905,-0.377526403421984,-0.6171483780865152,0.24254779334803686,0.16927199324962983,0.3580338979725516,0.5878610935969463,0.5878610935969463,-0.6565842431158917,0.7148264695034727,-0.6492010187994013,-0.6951813359614708,0.09744291156955459,0.24254779334803686,0.439463859129981,0.08882798008839701,,
dewpt (°C),0.5628867776793818,1.0,0.6858284035724406,0.687148706803008,0.7113865221687333,0.5940608729758784,0.315903906168706,0.6918941258041904,0.16735442721799948,-0.062181902974641635,0.44995255476341756,0.12161962803192546,0.8451668160800745,0.3279811553321813,0.3279811553321813,-0.8007436023926481,0.8321529230460253,-0.7996032646199073,-0.14079844212260387,0.6679456367105082,0.44995255476341756,0.3199820357876698,0.10701443840796296,,
dhi (W/m²),0.4228456830417042,0.6858284035724406,1.0,0.9968389468978075,0.99662059131261,0.9329400924428588,0.7125733700410524,0.9825315237504656,0.3654306186812363,0.26448011942248384,0.46360844368365617,0.2194115393157704,0.8254849193755086,0.23656001438359509,0.23656001438359509,-0.8007036067679403,0.38225647773300364,-0.7963352596283719,0.10961823633285432,0.7680076281449447,0.46360844368365617,0.5324855792052486,0.1433538154264662,,
dni (W/m²),0.4111890010042125,0.687148706803008,0.9968389468978075,1.0,0.9949111694058032,0.919811816624858,0.6901257936552033,0.9750428201433835,0.38062730247269444,0.2711505373594613,0.462531962742595,0.2158268447166314,0.8318957289884076,0.2246971993065882,0.2246971993065882,-0.8038443670232309,0.37394631986761023,-0.8002386450097982,0.1211714655438321,0.7784795549168909,0.462531962742595,0.5317433790503795,0.13883919740086575,,
ghi (W/m²),0.44215964010068026,0.7113865221687333,0.99662059131261,0.9949111694058032,1.0,0.9407173028956405,0.7214254208800472,0.9899442730404213,0.36190671495773175,0.2496123668689843,0.4789874372247095,0.2186002832472255,0.8397235129649216,0.24485154469370174,0.24485154469370174,-0.807495043588338,0.41009417961850203,-0.8030173640433566,0.09701724183955755,0.7760944880683089,0.4789874372247095,0.5136128153907997,0.13355167782342267,,
max_dhi (W/m²),0.31552282994524267,0.5940608729758784,0.9329400924428588,0.919811816624858,0.9407173028956405,1.0,0.9075297578213464,0.9754653108336274,0.4439339275833943,0.3558833661403817,0.4521386034014219,0.1993218669101338,0.756454734504888,0.1811409046147672,0.1811409046147672,-0.6336131698950487,0.2744350186430003,-0.6266924207732518,0.19749131444192203,0.7569221578643032,0.4521386034014219,0.3738062998063536,0.09022574988249124,,
max_dni (W/m²),0.08246829641157448,0.315903906168706,0.7125733700410524,0.6901257936552033,0.7214254208800472,0.9075297578213464,1.0,0.8019439552285594,0.4876179579946343,0.46372834785574635,0.34405917368413436,0.13325788244564865,0.5091090212768866,0.051413296689968746,0.051413296689968746,-0.2914994570191693,0.016929685783989894,-0.28338773901516384,0.3216360167943798,0.6016228531693525,0.34405917368413436,0.1562030548240468,0.019623950528749406,,
max_ghi (W/m²),0.41531396757382905,0.6918941258041904,0.9825315237504656,0.9750428201433835,0.9899442730404213,0.9754653108336274,0.8019439552285594,1.0,0.38930283196154897,0.2788929460256593,0.48504639457661375,0.21705744613985722,0.8275532791656325,0.23444905603722002,0.23444905603722002,-0.7584797164177224,0.38375352879648916,-0.7530296079589771,0.12160470616510921,0.780875461232418,0.48504639457661375,0.45755667692477786,0.12381902391873867,,
max_temp (°C),-0.377526403421984,0.16735442721799948,0.3654306186812363,0.38062730247269444,0.36190671495773175,0.4439339275833943,0.4876179579946343,0.38930283196154897,1.0,0.6288895942510828,0.13191861820617098,-0.034350474646673894,0.48302784587091896,-0.339969960962072,-0.339969960962072,-0.07432462856508086,-0.3579800371360239,-0.079251939841593,0.6282859555676897,0.7752837433908467,0.13191861820617098,-0.1689321186852893,-0.09811072520302913,,
max_uv (Index),-0.6171483780865152,-0.062181902974641635,0.26448011942248384,0.2711505373594613,0.2496123668689843,0.3558833661403817,0.46372834785574635,0.2788929460256593,0.6288895942510828,1.0,0.06975444250308858,-0.044586097515658146,0.23695992196886256,-0.40245464547910215,-0.40245464547910215,0.13311179453191668,-0.43269964595750765,0.12876119799823388,0.9335465503991953,0.45226073676578227,0.06975444250308858,-0.05716974574511149,0.015354560581594212,,
