,count,mean,std,min,25%,50%,75%,max,range,cv
clouds (%),366.0,0.34319672131147544,0.2996397829909516,0.0,0.06,0.295,0.55,1.0,1.0,87.30846315953211
dewpt (°C),366.0,20.872677595628417,5.44817344682872,3.4,17.1,22.1,25.7,27.5,24.1,26.101938392273105
dhi (W/m²),366.0,49.40710382513661,5.003106303595919,41.0,45.0,50.5,54.0,55.0,14.0,10.126289371874725
dni (W/m²),366.0,394.1885245901639,34.408504515928634,339.0,361.0,400.0,428.0,437.0,98.0,8.728946270494049
ghi (W/m²),366.0,301.69945355191254,53.29383371488059,213.0,250.25,316.5,354.0,361.0,148.0,17.664544329613936
max_dhi (W/m²),366.0,123.44808743169399,4.165255393903757,115.0,120.0,126.0,126.0,128.0,13.0,3.3740947150829426
max_dni (W/m²),366.0,934.24043715847,13.3587836303438,907.0,928.0,936.0,941.0,955.0,48.0,1.4299085223687256
max_ghi (W/m²),366.0,952.1612021857924,110.08874986468857,753.0,849.5,1003.5,1048.0,1061.0,308.0,11.561986522026684
max_temp (°C),366.0,32.485245901639345,3.0966886104879228,25.6,30.0,32.349999999999994,34.75,41.4,15.799999999999997,9.532600183678001
max_uv (Index),366.0,7.302185792349728,2.7559839012622636,2.1,5.1,7.0,9.575,12.1,10.0,37.7419033099599
max_wind_dir (°),366.0,202.36338797814207,62.333057466706144,36.0,161.0,218.0,243.0,352.0,316.0,30.80253700508263
max_wind_spd (m/s),366.0,3.434426229508196,1.2670386458823752,1.4,2.5,3.2,4.325,9.6,8.2,36.89229470110974
min_temp (°C),366.0,24.48661202185792,3.977121006941463,15.0,21.325,25.8,27.4,30.9,15.899999999999999,16.242022389178604
precip (mm),366.0,5.808743169398907,17.039962057152586,0.0,0.0,0.0,1.95,157.5,157.5,293.3502404947247
precip_gpm (mm/hr),366.0,5.808743169398907,17.039962057152586,0.0,0.0,0.0,1.95,157.5,157.5,293.3502404947247
pres (hPa),366.0,1006.6912568306011,4.924112331341106,995.0,1003.0,1007.0,1011.0,1015.0,20.0,0.4891382832551709
rh (%),366.0,0.683551912568306,0.1516374778706181,0.29,0.56,0.69,0.81,0.98,0.69,22.183754457049414
slp (hPa),366.0,1008.2158469945355,4.931294555485764,996.0,1005.0,1008.0,1012.0,1017.0,21.0,0.4891109944547908
solar_rad (W/m²),366.0,232.68032786885246,91.01235198964329,38.0,185.0,239.0,308.75,361.0,323.0,39.11476007586741
temp (°C),366.0,28.03524590163935,3.1388922781591706,21.1,26.05,28.45,30.1,34.8,13.699999999999996,11.196235942327244
wind_dir (°),366.0,202.36338797814207,62.333057466706144,36.0,161.0,218.0,243.0,352.0,316.0,30.80253700508263
wind_gust_spd (m/s),366.0,9.332240437158468,2.8067919399354104,4.1,7.3,9.1,11.0,17.6,13.500000000000002,30.07629259914394
wind_spd (m/s),366.0,1.701639344262295,0.645403168874304,0.8,1.3,1.6,1.9,5.6,4.8,37.92831724598511
query_lat (°),366.0,21.1934170129143,0.0,21.1934170129143,21.1934170129143,21.1934170129143,21.1934170129143,21.1934170129143,0.0,0.0
query_lon (°),366.0,72.85298276875439,1.4230308324193497e-14,72.8529827687544,72.8529827687544,72.8529827687544,72.8529827687544,72.8529827687544,0.0,1.9532911053707297e-14
