Column,IQR Outliers,IQR %,Z-Score Outliers (>3),Lower Bound,Upper Bound
clouds (%),0,0.00%,0,-0.675,1.2850000000000001
dewpt (°C),1,0.27%,1,4.200000000000005,38.599999999999994
dhi (W/m²),0,0.00%,0,31.5,67.5
dni (W/m²),0,0.00%,0,260.5,528.5
ghi (W/m²),0,0.00%,0,94.625,509.625
max_dhi (W/m²),0,0.00%,0,111.0,135.0
max_dni (W/m²),18,4.92%,0,908.5,960.5
max_ghi (W/m²),0,0.00%,0,551.75,1345.75
max_temp (°C),0,0.00%,0,22.875,41.875
max_uv (Index),0,0.00%,0,-1.6124999999999998,16.287499999999998
max_wind_dir (°),1,0.27%,0,38.0,366.0
max_wind_spd (m/s),5,1.37%,1,-0.23750000000000027,7.0625
min_temp (°C),0,0.00%,0,12.2125,36.512499999999996
precip (mm),63,17.21%,13,-2.925,4.875
precip_gpm (mm/hr),63,17.21%,13,-2.925,4.875
pres (hPa),0,0.00%,0,991.0,1023.0
rh (%),0,0.00%,0,0.18500000000000005,1.185
slp (hPa),0,0.00%,0,994.5,1022.5
solar_rad (W/m²),0,0.00%,0,-0.625,494.375
temp (°C),0,0.00%,0,19.975,36.175000000000004
wind_dir (°),1,0.27%,0,38.0,366.0
wind_gust_spd (m/s),4,1.09%,0,1.7499999999999991,16.55
wind_spd (m/s),25,6.83%,6,0.40000000000000024,2.8
query_lat (°),0,0.00%,0,21.1934170129143,21.1934170129143
query_lon (°),0,0.00%,0,72.8529827687544,72.8529827687544
