Column,Missing Count,Missing %
clouds (%),0,0.0
precip (mm),0,0.0
query_lat (°),0,0.0
market_name (Text),0,0.0
wind_spd (m/s),0,0.0
wind_gust_spd (m/s),0,0.0
wind_dir (°),0,0.0
temp (°C),0,0.0
solar_rad (W/m²),0,0.0
slp (hPa),0,0.0
rh (%),0,0.0
pres (hPa),0,0.0
precip_gpm (mm/hr),0,0.0
min_temp (°C),0,0.0
Date ,0,0.0
max_wind_spd (m/s),0,0.0
max_wind_dir (°),0,0.0
max_uv (Index),0,0.0
max_temp (°C),0,0.0
max_ghi (W/m²),0,0.0
max_dni (W/m²),0,0.0
max_dhi (W/m²),0,0.0
ghi (W/m²),0,0.0
dni (W/m²),0,0.0
dhi (W/m²),0,0.0
dewpt (°C),0,0.0
query_lon (°),0,0.0
