clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.0,2024-01-01,19.7,41,342,215,115,912,760,29.3,6.2,194,2.8,20.0,0.0,0.0,1000,0.78,1014,215,24.0,194,5.2,1.6,Uchhal,21.17,73.74
0.14,2024-01-02,20.1,41,342,215,115,913,761,27.8,6.3,217,2.8,20.0,0.8,0.8,999,0.82,1013,215,23.5,217,6.0,1.5,Uchhal,21.17,73.74
0.3,2024-01-03,19.9,41,343,216,115,913,762,26.7,5.9,219,2.8,18.5,0.0,0.0,999,0.84,1013,191,22.9,219,5.2,1.5,Uchhal,21.17,73.74
0.15,2024-01-04,18.9,41,343,216,115,913,763,27.0,5.2,90,2.4,18.1,0.0,0.0,999,0.8,1013,214,22.9,90,6.4,1.7,Uchhal,21.17,73.74
0.09,2024-01-05,18.2,41,343,217,115,914,765,26.7,5.6,143,2.8,17.4,0.0,0.0,999,0.81,1013,215,21.9,143,6.0,2.2,Uchhal,21.17,73.74
0.24,2024-01-06,17.6,42,344,218,115,914,767,26.7,5.7,73,4.4,17.8,0.0,0.0,1000,0.79,1014,216,21.6,73,8.4,2.9,Uchhal,21.17,73.74
0.41,2024-01-07,18.1,42,344,218,115,915,768,26.7,5.4,81,4.8,19.3,1.0,1.0,1000,0.78,1014,215,22.4,81,10.0,3.7,Uchhal,21.17,73.74
0.18,2024-01-08,18.6,42,345,219,116,915,770,29.6,6.4,79,4.8,19.3,0.0,0.0,1000,0.76,1014,219,23.4,79,9.6,3.4,Uchhal,21.17,73.74
0.4,2024-01-09,18.2,42,345,220,116,916,772,28.1,5.2,73,3.2,19.3,0.5,0.5,1000,0.74,1014,166,23.3,73,6.0,2.3,Uchhal,21.17,73.74
0.13,2024-01-10,19.4,42,345,220,116,916,774,28.1,6.2,61,2.4,19.6,0.0,0.0,1000,0.8,1014,220,23.2,61,5.6,2.0,Uchhal,21.17,73.74
0.05,2024-01-11,20.1,42,346,221,116,917,776,28.9,6.3,64,2.8,20.0,0.0,0.0,1001,0.82,1015,221,23.6,64,6.0,2.3,Uchhal,21.17,73.74
0.11,2024-01-12,20.0,42,346,222,116,918,778,31.5,6.4,76,4.0,20.4,0.0,0.0,1000,0.76,1014,222,24.7,76,8.0,2.4,Uchhal,21.17,73.74
0.0,2024-01-13,19.6,42,347,223,116,918,781,31.9,6.5,206,3.2,19.6,0.0,0.0,1000,0.73,1014,223,25.4,206,6.0,2.0,Uchhal,21.17,73.74
0.0,2024-01-14,17.0,42,348,224,116,919,783,28.5,6.6,265,2.8,20.0,0.0,0.0,1002,0.66,1015,224,24.5,265,6.0,1.5,Uchhal,21.17,73.74
0.0,2024-01-15,14.8,42,348,225,116,919,785,28.5,6.6,220,2.4,18.5,0.0,0.0,1001,0.61,1015,225,23.3,220,4.0,1.0,Uchhal,21.17,73.74
0.18,2024-01-16,15.7,42,349,226,117,920,788,28.1,6.6,238,2.4,17.8,0.0,0.0,999,0.66,1012,224,23.2,238,4.4,1.3,Uchhal,21.17,73.74
0.51,2024-01-17,14.5,42,349,227,117,921,791,28.5,3.8,220,2.4,18.1,0.8,0.8,998,0.61,1012,169,22.9,220,4.8,1.3,Uchhal,21.17,73.74
0.04,2024-01-18,16.0,42,350,228,117,921,793,27.0,6.7,196,2.8,17.8,0.0,0.0,999,0.67,1013,228,22.8,196,4.4,1.1,Uchhal,21.17,73.74
0.02,2024-01-19,16.4,43,351,229,117,922,796,27.8,6.8,108,4.0,15.6,0.0,0.0,999,0.72,1013,228,22.2,108,8.4,2.4,Uchhal,21.17,73.74
0.3,2024-01-20,15.9,43,351,230,117,923,799,27.8,6.8,177,2.8,15.9,0.0,0.0,1000,0.73,1014,223,21.4,177,5.6,1.9,Uchhal,21.17,73.74
0.57,2024-01-21,13.0,43,352,231,117,924,802,26.7,2.4,64,4.0,16.3,0.0,0.0,1001,0.62,1015,76,21.1,64,8.4,2.9,Uchhal,21.17,73.74
0.52,2024-01-22,12.7,43,353,232,117,924,805,27.8,5.5,166,4.0,14.8,0.0,0.0,1001,0.61,1015,210,20.9,166,8.0,2.8,Uchhal,21.17,73.74
0.0,2024-01-23,11.1,43,353,233,118,925,808,27.4,6.9,92,3.2,16.7,0.0,0.0,1002,0.52,1016,233,22.0,92,7.2,1.8,Uchhal,21.17,73.74
0.06,2024-01-24,11.8,43,354,235,118,926,811,26.7,7.0,76,3.6,13.7,0.0,0.0,1002,0.61,1016,235,20.4,76,7.6,2.5,Uchhal,21.17,73.74
0.05,2024-01-25,11.4,43,355,236,118,926,814,27.4,7.0,81,4.4,13.0,0.0,0.0,1003,0.62,1017,235,19.9,81,8.8,2.9,Uchhal,21.17,73.74
0.27,2024-01-26,12.8,43,356,237,118,927,817,28.9,6.4,80,4.0,14.8,0.0,0.0,1003,0.62,1017,206,20.9,80,7.2,2.8,Uchhal,21.17,73.74
0.73,2024-01-27,14.9,43,356,238,118,928,821,30.4,3.9,84,4.8,15.6,0.0,0.0,1003,0.67,1017,160,22.0,84,8.0,2.7,Uchhal,21.17,73.74
0.72,2024-01-28,15.6,43,357,240,118,929,824,31.1,3.5,183,3.2,15.6,0.0,0.0,1002,0.69,1016,196,22.5,183,5.6,1.9,Uchhal,21.17,73.74
0.46,2024-01-29,15.0,44,358,241,119,929,827,28.9,6.5,207,2.8,17.8,0.0,0.0,1002,0.63,1016,238,23.2,207,4.8,1.5,Uchhal,21.17,73.74
