,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.6562906686612543,0.45258282091810625,0.4465499591213791,0.4624100302970435,0.3206323365739791,0.06804065013474064,0.43127290589530504,-0.33054007378420464,-0.6799568971103712,0.2883738670749114,0.5015283353758062,0.458179548814448,0.5178908411138061,0.5178908411138061,-0.6706281662203135,0.7471415563608677,-0.6579965484925455,-0.7615292787430461,0.0872056200757392,0.2883738670749114,0.5050981645657521,0.5187871724710453,,
dewpt (°C),0.6562906686612543,1.0,0.6626043267187101,0.6585796358543663,0.6775731728415556,0.5397053377075679,0.24847302911681293,0.6506068820768517,0.1781310892473255,-0.18643934284359498,0.36007981862545607,0.3650673478824493,0.8598025548939703,0.38372402599045685,0.38372402599045685,-0.7810348848695564,0.7147475298709356,-0.7846851363547322,-0.2808077280002596,0.5958217581827814,0.36007981862545607,0.3913399726403878,0.44566088699914963,,
dhi (W/m²),0.45258282091810625,0.6626043267187101,1.0,0.9975177947464817,0.9968912522346317,0.924066033159717,0.6969300388959576,0.9805158353900335,0.46971824893573644,0.2264630538849818,0.6623762098121975,0.46336394999285635,0.8314822909279747,0.2547447182778782,0.2547447182778782,-0.8132211850026271,0.17802743591182277,-0.8212159729766509,0.03921324039667777,0.7667049483916127,0.6623762098121975,0.41297763249934843,0.48952997707613893,,
dni (W/m²),0.4465499591213791,0.6585796358543663,0.9975177947464817,1.0,0.9950044662793798,0.9115435636587259,0.6764031348828364,0.9730726550020966,0.4778796996535829,0.22931771195904094,0.6592868199032295,0.46899079012635736,0.8317381267957721,0.24594583233828213,0.24594583233828213,-0.8160992391725141,0.16779546379017382,-0.8242776657317822,0.04658305283409973,0.7712826376789312,0.6592868199032295,0.41643742823527696,0.49347973995505007,,
ghi (W/m²),0.4624100302970435,0.6775731728415556,0.9968912522346317,0.9950044662793798,1.0,0.938275238502777,0.7180490038796591,0.9897638971380549,0.47065018848787343,0.2185419352159721,0.6722915635261077,0.4495716205794608,0.8415567810572733,0.26347854786778624,0.26347854786778624,-0.8129258205896976,0.19132163182998338,-0.8210157762788483,0.03344805017337551,0.7737286924467112,0.6722915635261077,0.4014795368630079,0.4770420426113635,,
max_dhi (W/m²),0.3206323365739791,0.5397053377075679,0.924066033159717,0.9115435636587259,0.938275238502777,1.0,0.9068286382729738,0.9749444265088254,0.5368840993105737,0.3257796957738039,0.6886881307527476,0.2778898222077343,0.7506586406683319,0.2008298778086526,0.2008298778086526,-0.6314294205616849,0.03688269579936253,-0.6416738259360281,0.14555287260556637,0.76176830510046,0.6886881307527476,0.23315485596117802,0.29329279222254795,,
max_dni (W/m²),0.06804065013474064,0.24847302911681293,0.6969300388959576,0.6764031348828364,0.7180490038796591,0.9068286382729738,1.0,0.8004442966981021,0.5620656763624348,0.44425336393019,0.6036792684917672,0.02640230270650064,0.5083123289103336,0.0677084674904077,0.0677084674904077,-0.29576383207698453,-0.2116737724867787,-0.3077352385591366,0.29555059276766976,0.6363766183240332,0.6036792684917672,-0.022707912172880707,0.01700792961310946,,
max_ghi (W/m²),0.43127290589530504,0.6506068820768517,0.9805158353900335,0.9730726550020966,0.9897638971380549,0.9749444265088254,0.8004442966981021,1.0,0.49075983235750686,0.24580699292903335,0.6845220110564626,0.38936617477063235,0.8257670489629464,0.2563805135884554,0.2563805135884554,-0.7617208127738195,0.15817754619033783,-0.7703185423594416,0.05890097904821459,0.7776827475761364,0.6845220110564626,0.34439616595382766,0.41541150709743685,,
max_temp (°C),-0.33054007378420464,0.1781310892473255,0.46971824893573644,0.4778796996535829,0.47065018848787343,0.5368840993105737,0.5620656763624348,0.49075983235750686,1.0,0.7100282122730037,0.24923434607136638,-0.21887857042689426,0.5218554155246145,-0.2843766068272948,-0.2843766068272948,-0.16294936268345467,-0.5274582837230252,-0.1842892069198658,0.701272195817624,0.8555230448871711,0.24923434607136638,-0.25621239962068715,-0.20242131684715245,,
max_uv (Index),-0.6799568971103712,-0.18643934284359498,0.2264630538849818,0.22931771195904094,0.2185419352159721,0.3257796957738039,0.44425336393019,0.24580699292903335,0.7100282122730037,1.0,0.20146217030034363,-0.21486076422801487,0.1472356590314049,-0.39729446080105385,-0.39729446080105385,0.13572195197354725,-0.656126064449045,0.11389795027170213,0.9230266362162195,0.4851277277539717,0.20146217030034363,-0.24721215258389215,-0.21089233641452676,,
