Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,89,"[0.0, 0.01, 0.17]"
Date ,object,366,0,366,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,366,0,138,"[18.2, 18.1, 18.1]"
dhi (W/m²),int64,366,0,14,"[42, 42, 42]"
dni (W/m²),int64,366,0,95,"[343, 343, 343]"
ghi (W/m²),int64,366,0,140,"[218, 219, 219]"
max_dhi (W/m²),int64,366,0,13,"[116, 116, 116]"
max_dni (W/m²),int64,366,0,47,"[913, 913, 913]"
max_ghi (W/m²),int64,366,0,188,"[768, 769, 771]"
max_temp (°C),float64,366,0,41,"[30.7, 28.9, 28.1]"
max_uv (Index),float64,366,0,92,"[6.4, 6.4, 6.4]"
max_wind_dir (°),int64,366,0,167,"[154, 174, 142]"
max_wind_spd (m/s),float64,366,0,18,"[3.2, 3.2, 2.8]"
min_temp (°C),float64,366,0,45,"[19.6, 18.5, 17.4]"
precip (mm),float64,366,0,82,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,82,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,21,"[1005, 1005, 1004]"
rh (%),float64,366,0,64,"[0.71, 0.76, 0.8]"
slp (hPa),int64,366,0,21,"[1013, 1013, 1013]"
solar_rad (W/m²),int64,366,0,206,"[218, 219, 213]"
temp (°C),float64,366,0,121,"[24.2, 22.8, 21.9]"
wind_dir (°),int64,366,0,167,"[154, 174, 142]"
wind_gust_spd (m/s),float64,366,0,31,"[6.0, 6.8, 6.0]"
wind_spd (m/s),float64,366,0,55,"[1.9, 2.0, 2.3]"
market_name (Text),object,366,0,1,"['Valod_Buhari', 'Valod_Buhari', 'Valod_Buhari']"
query_lat (°),float64,366,0,1,"[20.97, 20.97, 20.97]"
query_lon (°),float64,366,0,1,"[73.31, 73.31, 73.31]"
