,count,unique,top,freq,mean,std,min,25%,50%,75%,max
clouds (%),366.0,,,,0.4287704918032787,0.3796983183200841,0.0,0.06,0.33,0.8474999999999999,1.0
Date ,366,366,2024-01-01,1,,,,,,,
dewpt (°C),366.0,,,,20.25737704918033,5.382323957499383,5.9,15.9,20.7,25.3,26.9
dhi (W/m²),366.0,,,,49.54371584699454,4.829362403376397,42.0,45.0,51.0,54.0,55.0
dni (W/m²),366.0,,,,394.78688524590166,33.11711791151032,342.0,363.0,400.0,428.0,436.0
ghi (W/m²),366.0,,,,302.90437158469945,51.784793161262094,216.0,253.0,317.5,353.0,360.0
max_dhi (W/m²),366.0,,,,123.68306010928961,3.9577338793039973,116.0,121.0,126.0,126.0,128.0
max_dni (W/m²),366.0,,,,935.3688524590164,12.725683760517255,910.0,929.25,937.0,942.0,956.0
max_ghi (W/m²),366.0,,,,956.5245901639345,106.95400725377145,762.0,857.25,1008.0,1048.75,1062.0
max_temp (°C),366.0,,,,32.98087431693989,3.427290203292559,26.7,30.0,32.6,35.6,41.9
max_uv (Index),366.0,,,,7.0101092896174855,2.691413335303166,2.3,4.4,6.8,8.975,12.2
max_wind_dir (°),366.0,,,,184.71584699453553,65.51771585342775,27.0,147.5,210.5,231.0,325.0
max_wind_spd (m/s),366.0,,,,3.9322404371584696,1.3661259722911996,1.6,2.8,3.6,4.8,8.8
min_temp (°C),366.0,,,,23.225409836065573,4.218703848380607,13.3,19.6,24.8,26.3,30.0
precip (mm),366.0,,,,6.220765027322405,16.602087852344514,0.0,0.0,0.0,2.3,106.8
precip_gpm (mm/hr),366.0,,,,6.220765027322405,16.602087852344514,0.0,0.0,0.0,2.3,106.8
pres (hPa),366.0,,,,1000.7650273224044,4.6114189269463886,989.0,998.0,1001.0,1005.0,1009.0
rh (%),366.0,,,,0.67775956284153,0.15943361087977823,0.31,0.55,0.67,0.83,0.97
slp (hPa),366.0,,,,1008.6147540983607,4.716244247532185,997.0,1005.0,1009.0,1013.0,1017.0
solar_rad (W/m²),366.0,,,,223.03551912568307,95.68553716527113,31.0,146.0,234.5,301.0,359.0
temp (°C),366.0,,,,27.723770491803283,3.2242587325738823,20.9,25.7,27.9,29.675,35.2
wind_dir (°),366.0,,,,184.71584699453553,65.51771585342775,27.0,147.5,210.5,231.0,325.0
wind_gust_spd (m/s),366.0,,,,8.201092896174865,2.557695646765589,4.4,6.4,7.6,9.6,16.8
wind_spd (m/s),366.0,,,,2.778142076502732,1.23750205380986,0.9,1.9,2.4,3.4,7.2
market_name (Text),366,1,Valod_Buhari,366,,,,,,,
query_lat (°),366.0,,,,20.969999999999995,3.557577081048374e-15,20.97,20.97,20.97,20.97,20.97
query_lon (°),366.0,,,,73.31,0.0,73.31,73.31,73.31,73.31,73.31
