clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.0,2024-01-01,18.2,42,343,218,116,913,768,30.7,6.4,154,3.2,19.6,0.0,0.0,1005,0.71,1013,218,24.2,154,6.0,1.9,Valod_Buhari,20.97,73.31
0.01,2024-01-02,18.1,42,343,219,116,913,769,28.9,6.4,174,3.2,18.5,0.0,0.0,1005,0.76,1013,219,22.8,174,6.8,2.0,Valod_Buhari,20.97,73.31
0.17,2024-01-03,18.1,42,343,219,116,913,771,28.1,6.4,142,2.8,17.4,0.0,0.0,1004,0.8,1013,213,21.9,142,6.0,2.3,Valod_Buhari,20.97,73.31
0.04,2024-01-04,16.9,42,343,220,116,914,772,28.5,6.3,141,3.2,16.7,0.0,0.0,1005,0.76,1013,219,21.9,141,5.2,2.0,Valod_Buhari,20.97,73.31
0.02,2024-01-05,16.6,42,343,220,117,914,773,28.1,6.4,106,3.6,16.7,0.0,0.0,1005,0.74,1013,220,21.9,106,6.8,2.7,Valod_Buhari,20.97,73.31
0.27,2024-01-06,16.2,42,344,221,117,915,775,28.9,5.7,39,3.6,17.0,0.0,0.0,1005,0.7,1014,218,22.3,39,8.0,3.0,Valod_Buhari,20.97,73.31
0.36,2024-01-07,17.6,42,344,222,117,915,776,29.6,5.9,56,4.4,19.6,0.0,0.0,1005,0.7,1013,221,23.8,56,7.6,3.1,Valod_Buhari,20.97,73.31
0.16,2024-01-08,17.9,42,344,222,117,916,778,31.9,6.5,127,3.6,20.4,0.0,0.0,1005,0.66,1013,222,25.1,127,6.8,2.7,Valod_Buhari,20.97,73.31
0.35,2024-01-09,18.3,42,345,223,117,916,780,29.3,4.9,31,2.8,20.0,0.3,0.3,1006,0.7,1014,184,24.5,31,4.8,2.1,Valod_Buhari,20.97,73.31
0.1,2024-01-10,19.4,42,345,224,117,917,782,30.0,6.3,96,2.8,20.0,0.0,0.0,1006,0.74,1014,224,24.5,96,6.0,1.9,Valod_Buhari,20.97,73.31
0.03,2024-01-11,20.0,42,346,225,117,917,784,30.4,6.6,32,3.2,19.6,0.0,0.0,1006,0.77,1014,224,24.8,32,5.6,2.1,Valod_Buhari,20.97,73.31
0.04,2024-01-12,19.5,42,346,225,117,918,786,33.3,6.6,124,3.2,20.7,0.0,0.0,1006,0.69,1014,225,26.2,124,6.0,2.3,Valod_Buhari,20.97,73.31
0.0,2024-01-13,19.0,42,346,226,117,918,788,32.6,6.6,203,3.2,19.6,0.0,0.0,1006,0.7,1014,226,25.4,203,6.8,1.9,Valod_Buhari,20.97,73.31
0.0,2024-01-14,14.6,43,347,227,118,919,791,30.0,6.7,155,3.2,18.5,0.0,0.0,1007,0.61,1015,227,23.5,155,6.4,2.1,Valod_Buhari,20.97,73.31
0.0,2024-01-15,11.5,43,347,228,118,919,793,28.9,6.7,179,2.4,15.9,0.0,0.0,1006,0.55,1015,228,21.6,179,4.8,1.7,Valod_Buhari,20.97,73.31
0.26,2024-01-16,12.2,43,348,229,118,920,795,28.9,6.5,207,2.4,13.7,0.0,0.0,1004,0.6,1012,217,21.0,207,4.8,1.5,Valod_Buhari,20.97,73.31
0.44,2024-01-17,12.3,43,348,230,118,921,798,28.5,3.1,182,2.8,14.8,0.0,0.0,1004,0.61,1012,166,20.9,182,6.4,1.7,Valod_Buhari,20.97,73.31
0.01,2024-01-18,13.6,43,349,231,118,921,801,28.1,6.7,189,2.4,14.8,0.0,0.0,1005,0.64,1013,231,21.2,189,5.2,1.8,Valod_Buhari,20.97,73.31
0.02,2024-01-19,14.3,43,350,232,118,922,803,30.0,6.9,128,3.2,15.2,0.0,0.0,1005,0.63,1013,232,22.1,128,6.8,2.4,Valod_Buhari,20.97,73.31
0.29,2024-01-20,13.1,43,350,233,118,923,806,29.3,6.9,143,3.6,15.9,0.0,0.0,1006,0.59,1014,227,22.0,143,7.2,2.5,Valod_Buhari,20.97,73.31
0.6,2024-01-21,11.1,43,351,234,119,923,809,28.9,2.3,42,4.0,16.3,0.0,0.0,1007,0.51,1015,69,22.2,42,8.8,3.1,Valod_Buhari,20.97,73.31
0.52,2024-01-22,10.9,43,351,235,119,924,812,29.3,5.5,163,3.6,15.6,0.0,0.0,1007,0.52,1015,218,21.8,163,7.2,2.5,Valod_Buhari,20.97,73.31
0.0,2024-01-23,8.0,43,352,236,119,925,815,28.1,7.0,59,4.0,14.4,0.0,0.0,1008,0.46,1016,236,20.9,59,8.8,2.8,Valod_Buhari,20.97,73.31
0.04,2024-01-24,8.8,43,353,238,119,925,818,28.5,7.1,48,4.0,14.8,0.0,0.0,1007,0.48,1015,238,21.1,48,8.4,2.7,Valod_Buhari,20.97,73.31
0.01,2024-01-25,9.6,44,354,239,119,926,821,30.0,7.1,58,3.6,13.3,0.0,0.0,1008,0.51,1016,239,21.5,58,7.6,2.6,Valod_Buhari,20.97,73.31
0.28,2024-01-26,10.8,44,354,240,119,927,824,31.5,7.0,86,3.2,14.8,0.0,0.0,1009,0.49,1017,240,22.6,86,5.2,2.2,Valod_Buhari,20.97,73.31
0.79,2024-01-27,13.1,44,355,241,119,928,827,33.0,5.1,152,3.2,15.6,0.0,0.0,1009,0.57,1017,125,23.4,152,5.6,2.1,Valod_Buhari,20.97,73.31
0.7,2024-01-28,13.9,44,356,243,120,928,831,32.6,4.1,186,3.2,14.8,0.0,0.0,1008,0.61,1016,208,23.0,186,6.8,1.7,Valod_Buhari,20.97,73.31
0.52,2024-01-29,13.4,44,356,244,120,929,834,30.4,6.3,165,2.8,14.8,0.0,0.0,1008,0.61,1016,239,22.2,165,6.4,1.8,Valod_Buhari,20.97,73.31
0.22,2024-01-30,14.2,44,357,245,120,930,837,30.0,7.2,186,2.4,15.9,0.0,0.0,1007,0.63,1015,243,22.3,186,5.6,1.9,Valod_Buhari,20.97,73.31
0.76,2024-01-31,14.6,44,358,246,120,931,841,30.0,4.3,195,2.8,16.3,0.0,0.0,1006,0.63,1014,162,22.8,195,6.0,1.4,Valod_Buhari,20.97,73.31
0.23,2024-02-01,16.8,44,359,248,120,931,844,29.3,7.4,237,2.8,17.0,0.0,0.0,1007,0.72,1015,247,22.6,237,6.0,1.7,Valod_Buhari,20.97,73.31
0.31,2024-02-02,16.8,44,360,249,121,932,848,30.0,3.7,125,2.4,17.0,0.0,0.0,1008,0.71,1016,194,23.1,125,6.4,1.6,Valod_Buhari,20.97,73.31
0.01,2024-02-03,15.6,45,360,251,121,933,851,33.3,7.6,68,2.8,18.1,0.0,0.0,1007,0.59,1015,251,25.0,68,6.0,2.1,Valod_Buhari,20.97,73.31
0.0,2024-02-04,16.1,45,361,252,121,934,855,34.8,7.7,157,2.8,18.9,0.0,0.0,1007,0.59,1015,252,25.8,157,4.8,1.7,Valod_Buhari,20.97,73.31
0.0,2024-02-05,17.2,45,362,253,121,934,858,31.9,7.7,256,2.4,19.3,0.0,0.0,1008,0.64,1016,253,25.2,256,6.0,1.6,Valod_Buhari,20.97,73.31
0.05,2024-02-06,17.9,45,363,255,121,935,862,32.2,7.8,211,2.8,19.3,0.0,0.0,1008,0.65,1016,249,25.4,211,6.0,1.3,Valod_Buhari,20.97,73.31
0.21,2024-02-07,16.5,45,364,256,121,936,866,31.5,7.8,147,4.0,19.3,0.0,0.0,1009,0.62,1017,248,25.0,147,7.2,2.1,Valod_Buhari,20.97,73.31
0.51,2024-02-08,14.3,45,365,258,122,936,869,30.4,7.6,30,4.0,19.3,0.0,0.0,1009,0.56,1017,223,24.3,30,8.4,2.8,Valod_Buhari,20.97,73.31
0.27,2024-02-09,14.4,45,366,259,122,937,873,31.1,8.0,156,2.8,17.4,0.0,0.0,1007,0.59,1015,258,23.7,156,6.0,2.1,Valod_Buhari,20.97,73.31
0.01,2024-02-10,12.6,46,367,261,122,938,877,30.7,8.0,175,3.2,17.8,0.0,0.0,1008,0.54,1016,261,23.4,175,6.4,2.1,Valod_Buhari,20.97,73.31
0.05,2024-02-11,13.4,46,368,262,122,939,881,31.1,8.1,205,2.4,17.0,0.0,0.0,1008,0.57,1016,262,23.1,205,5.2,1.5,Valod_Buhari,20.97,73.31
0.96,2024-02-12,14.0,46,369,264,122,939,884,31.1,2.8,198,2.8,16.7,0.0,0.0,1008,0.58,1016,79,23.6,198,6.4,1.6,Valod_Buhari,20.97,73.31
0.98,2024-02-13,13.4,46,370,265,122,940,888,30.0,2.6,186,3.6,17.8,0.0,0.0,1008,0.56,1016,71,23.2,186,7.2,1.8,Valod_Buhari,20.97,73.31
0.37,2024-02-14,13.4,46,371,267,123,941,892,30.7,7.7,171,2.4,17.4,0.0,0.0,1008,0.56,1016,240,23.8,171,6.0,2.1,Valod_Buhari,20.97,73.31
0.02,2024-02-15,14.9,46,372,268,123,941,896,33.7,8.4,62,2.8,17.0,0.0,0.0,1006,0.57,1014,268,24.9,62,6.8,2.2,Valod_Buhari,20.97,73.31
0.15,2024-02-16,16.4,47,374,270,123,942,900,35.9,8.1,71,4.0,21.1,0.0,0.0,1006,0.53,1014,263,27.5,71,8.8,2.7,Valod_Buhari,20.97,73.31
0.22,2024-02-17,15.9,47,375,271,123,943,903,35.9,8.1,177,3.2,21.1,0.0,0.0,1004,0.52,1012,260,28.0,177,6.0,1.8,Valod_Buhari,20.97,73.31
0.01,2024-02-18,16.7,47,376,273,123,943,907,35.2,8.6,229,3.6,18.9,0.0,0.0,1004,0.6,1011,273,26.6,229,7.2,2.0,Valod_Buhari,20.97,73.31
0.32,2024-02-19,14.7,47,377,275,123,944,911,34.4,7.4,216,4.0,18.5,0.0,0.0,1004,0.55,1012,268,25.8,216,9.2,2.1,Valod_Buhari,20.97,73.31
0.16,2024-02-20,15.8,47,378,276,124,944,915,32.6,8.7,221,4.0,17.8,0.0,0.0,1005,0.6,1013,276,25.1,221,9.2,2.1,Valod_Buhari,20.97,73.31
0.29,2024-02-21,19.0,47,379,278,124,945,919,29.6,7.2,238,4.0,20.4,0.0,0.0,1005,0.73,1013,275,24.7,238,8.4,2.8,Valod_Buhari,20.97,73.31
0.17,2024-02-22,17.7,48,380,279,124,946,922,30.0,8.8,248,3.6,21.5,0.0,0.0,1005,0.67,1013,279,25.1,248,8.4,2.5,Valod_Buhari,20.97,73.31
0.17,2024-02-23,13.9,48,382,281,124,946,926,30.4,8.9,172,2.8,18.5,0.0,0.0,1006,0.59,1014,280,24.2,172,6.8,1.8,Valod_Buhari,20.97,73.31
0.0,2024-02-24,6.8,48,383,282,124,947,930,30.7,9.0,136,3.6,17.0,0.0,0.0,1005,0.38,1013,282,23.5,136,7.6,2.5,Valod_Buhari,20.97,73.31
0.0,2024-02-25,5.9,48,384,284,124,947,934,31.5,9.1,36,4.8,15.9,0.0,0.0,1004,0.34,1012,284,23.9,36,10.0,3.1,Valod_Buhari,20.97,73.31
0.82,2024-02-26,11.9,48,385,285,125,948,937,35.2,3.9,157,3.2,17.8,0.0,0.0,1003,0.44,1010,146,25.9,157,6.8,2.3,Valod_Buhari,20.97,73.31
0.07,2024-02-27,14.9,48,386,287,125,948,941,34.4,8.5,230,2.8,20.0,0.0,0.0,1004,0.51,1012,287,26.7,230,6.8,1.8,Valod_Buhari,20.97,73.31
0.01,2024-02-28,15.6,48,387,289,125,949,945,35.6,9.3,166,2.8,21.1,0.0,0.0,1004,0.49,1012,289,28.0,166,5.2,2.0,Valod_Buhari,20.97,73.31
0.19,2024-02-29,16.4,49,388,290,125,949,948,38.1,8.5,159,2.8,21.5,0.0,0.0,1003,0.49,1011,286,29.3,159,5.6,1.9,Valod_Buhari,20.97,73.31
0.06,2024-03-01,16.9,49,389,292,125,950,952,35.2,9.4,207,4.0,22.6,0.0,0.0,1004,0.53,1012,292,28.1,207,8.4,2.6,Valod_Buhari,20.97,73.31
0.05,2024-03-02,19.7,49,390,293,125,950,955,31.1,9.5,218,5.6,22.2,0.3,0.3,1004,0.68,1012,293,26.3,218,11.2,3.6,Valod_Buhari,20.97,73.31
0.18,2024-03-03,15.0,49,391,295,125,951,959,27.8,9.6,269,4.0,18.5,0.0,0.0,1005,0.59,1013,295,24.1,269,8.8,3.0,Valod_Buhari,20.97,73.31
0.0,2024-03-04,10.3,49,392,296,126,951,962,29.6,9.6,160,3.2,15.9,0.0,0.0,1006,0.51,1014,296,22.7,160,7.2,1.9,Valod_Buhari,20.97,73.31
0.0,2024-03-05,8.1,49,393,298,126,951,966,32.2,9.7,193,4.0,15.2,0.0,0.0,1006,0.4,1014,298,23.5,193,8.0,2.4,Valod_Buhari,20.97,73.31
0.01,2024-03-06,8.2,49,394,299,126,952,969,32.6,9.8,218,3.2,17.8,0.0,0.0,1005,0.38,1013,299,24.6,218,7.6,2.1,Valod_Buhari,20.97,73.31
0.03,2024-03-07,10.1,50,395,301,126,952,972,33.0,9.8,201,3.6,17.8,0.0,0.0,1005,0.4,1013,301,25.5,201,7.2,1.8,Valod_Buhari,20.97,73.31
0.0,2024-03-08,11.1,50,396,302,126,952,976,33.3,9.9,156,3.2,18.1,0.0,0.0,1005,0.42,1013,302,26.2,156,7.6,2.3,Valod_Buhari,20.97,73.31
0.07,2024-03-09,10.3,50,396,304,126,953,979,34.1,10.0,128,4.0,19.6,0.0,0.0,1005,0.39,1013,303,26.2,128,7.6,2.5,Valod_Buhari,20.97,73.31
