,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.6506805380776668,0.42633249230911796,0.4169499309598695,0.447650096937823,0.29910084298913364,0.025779466547614965,0.4158404269434889,-0.43107133308172474,-0.7334275982998432,0.3115598263858868,0.4406959298807161,0.4623062231626903,0.5233348010740432,0.5233348010740432,-0.6572028643127836,0.7645401417187637,-0.6562083436570958,-0.7822416634638801,0.0830742435540801,0.3115598263858868,0.45444227047211366,0.4726511582104181,,
dewpt (°C),0.6506805380776668,1.0,0.6567770047039344,0.6558462968895518,0.6828464065462235,0.5345299897198281,0.21482427613066235,0.654816779552987,0.02262734265852368,-0.24176713558705065,0.464844268375242,0.410661964854696,0.8670317135343436,0.37089837349107074,0.37089837349107074,-0.7861559246944373,0.8256917209079332,-0.7864848635850812,-0.29058399240988997,0.5808316672630607,0.464844268375242,0.41830361020326884,0.4268253671027191,,
dhi (W/m²),0.42633249230911796,0.6567770047039344,1.0,0.9970243638862624,0.9960899219378146,0.9219801744569496,0.6670267186495936,0.9791647131001605,0.3437655808673042,0.1813557836439861,0.6728901050600085,0.5755108550146367,0.8180918235312744,0.2598880263421889,0.2598880263421889,-0.8012718241412625,0.32592167192578486,-0.8064488484735831,0.031102383419942616,0.7467585292049058,0.6728901050600085,0.5720718134140804,0.518046763733423,,
dni (W/m²),0.4169499309598695,0.6558462968895518,0.9970243638862624,1.0,0.994087510580936,0.9118561179409301,0.6495359150874939,0.9722499574658684,0.3617053313266926,0.19071909888201793,0.6579963080640895,0.5799122263885035,0.8237922827395271,0.25005010895184326,0.25005010895184326,-0.8034981334499364,0.3126231502411539,-0.8090342493299859,0.04530066037769081,0.7600870695472561,0.6579963080640895,0.5759488839923754,0.5234907187010468,,
ghi (W/m²),0.447650096937823,0.6828464065462235,0.9960899219378146,0.994087510580936,1.0,0.9360486865053674,0.6870920528660519,0.9894640103669871,0.3372009383404474,0.16379771138733887,0.6731941655684754,0.5587391336301613,0.831984040133606,0.27016881573268037,0.27016881573268037,-0.804373697908589,0.3545552493274965,-0.8094386947495175,0.017042089147688476,0.752414696622624,0.6731941655684754,0.5587984356722255,0.5008953895055679,,
max_dhi (W/m²),0.29910084298913364,0.5345299897198281,0.9219801744569496,0.9118561179409301,0.9360486865053674,1.0,0.8927611627542005,0.9728483705006096,0.43158840279345045,0.2951619335615549,0.6671769435169551,0.37666670968070687,0.7135685773538427,0.1894184560024034,0.1894184560024034,-0.6195658391619139,0.19799150109046326,-0.6243526279876641,0.14456255493690792,0.7270700847790706,0.6671769435169551,0.39150576337799586,0.29735180030294794,,
max_dni (W/m²),0.025779466547614965,0.21482427613066235,0.6670267186495936,0.6495359150874939,0.6870920528660519,0.8927611627542005,1.0,0.7740932148441593,0.49182851499497676,0.44626121657842066,0.549485727630338,0.08565895979420587,0.41625536540388636,0.03586605075557962,0.03586605075557962,-0.24521057352749331,-0.07833044292450635,-0.24942487291928386,0.3113151978764832,0.561701066132088,0.549485727630338,0.1118546154402687,-0.017023045993119514,,
max_ghi (W/m²),0.4158404269434889,0.654816779552987,0.9791647131001605,0.9722499574658684,0.9894640103669871,0.9728483705006096,0.7740932148441593,1.0,0.3628773060325493,0.19635631849517182,0.6798663958039752,0.4928419223909027,0.809051484679542,0.25757573546057794,0.25757573546057794,-0.7524537102989293,0.3252713884215925,-0.7574015299929635,0.04544560906886303,0.7522742840800529,0.6798663958039752,0.5003511030528254,0.42692512803108723,,
max_temp (°C),-0.43107133308172474,0.02262734265852368,0.3437655808673042,0.3617053313266926,0.3372009383404474,0.43158840279345045,0.49182851499497676,0.3628773060325493,1.0,0.7054869417123126,0.15207534602437567,-0.1675829780138074,0.3808191625678917,-0.36391995851262016,-0.36391995851262016,-0.032198701878303884,-0.5170576888236179,-0.04286503339883795,0.713271980402565,0.781794377210218,0.15207534602437567,-0.17998388346738356,-0.25889905268001157,,
max_uv (Index),-0.7334275982998432,-0.24176713558705065,0.1813557836439861,0.19071909888201793,0.16379771138733887,0.2951619335615549,0.44626121657842066,0.19635631849517182,0.7054869417123126,1.0,0.128049225852077,-0.1281555415786773,0.05937440589803208,-0.4270082957148314,-0.4270082957148314,0.21257130772662128,-0.595284369789919,0.2072543436982971,0.9245428454666667,0.42007050701783805,0.128049225852077,-0.13709504765660968,-0.21652011519977699,,
max_wind_dir (°),0.3115598263858868,0.464844268375242,0.6728901050600085,0.6579963080640895,0.6731941655684754,0.6671769435169551,0.549485727630338,0.6798663958039752,0.15207534602437567,0.128049225852077,1.0,0.27179343432224645,0.5002167975155907,0.16930018648742565,0.16930018648742565,-0.4936594284473976,0.3015789366269889,-0.4943787523235308,0.0452328280844365,0.42133000756378264,1.0,0.2707922688494082,0.20579552332712653,,
max_wind_spd (m/s),0.4406959298807161,0.410661964854696,0.5755108550146367,0.5799122263885035,0.5587391336301613,0.37666670968070687,0.08565895979420587,0.4928419223909027,-0.1675829780138074,-0.1281555415786773,0.27179343432224645,1.0,0.4440536518119049,0.28353733113869656,0.28353733113869656,-0.6362594511432675,0.371128101099282,-0.6379899946736299,-0.23618082884906122,0.21851256090419888,0.27179343432224645,0.9582455072524985,0.9496888919939178,,
min_temp (°C),0.4623062231626903,0.8670317135343436,0.8180918235312744,0.8237922827395271,0.831984040133606,0.7135685773538427,0.41625536540388636,0.809051484679542,0.3808191625678917,0.05937440589803208,0.5002167975155907,0.4440536518119049,1.0,0.23721036873682383,0.23721036873682383,-0.7998148385796493,0.47497253926172284,-0.8066587796448377,-0.003485362018738054,0.8677909756500221,0.5002167975155907,0.4547750198738961,0.4267523766384817,,
precip (mm),0.5233348010740432,0.37089837349107074,0.2598880263421889,0.25005010895184326,0.27016881573268037,0.1894184560024034,0.03586605075557962,0.25757573546057794,-0.36391995851262016,-0.4270082957148314,0.16930018648742565,0.28353733113869656,0.23721036873682383,1.0,1.0,-0.44820243064992266,0.5177814146962637,-0.44379897860056455,-0.5682513277015021,-0.0254255570839898,0.1693001864874256,0.2967742218333115,0.3270684872147742,,
precip_gpm (mm/hr),0.5233348010740432,0.37089837349107074,0.2598880263421889,0.25005010895184326,0.27016881573268037,0.1894184560024034,0.03586605075557962,0.25757573546057794,-0.36391995851262016,-0.4270082957148314,0.16930018648742565,0.28353733113869656,0.23721036873682383,1.0,1.0,-0.44820243064992266,0.5177814146962637,-0.44379897860056455,-0.5682513277015021,-0.0254255570839898,0.1693001864874256,0.2967742218333115,0.3270684872147742,,
pres (hPa),-0.6572028643127836,-0.7861559246944373,-0.8012718241412625,-0.8034981334499364,-0.804373697908589,-0.6195658391619139,-0.24521057352749331,-0.7524537102989293,-0.032198701878303884,0.21257130772662128,-0.4936594284473976,-0.6362594511432675,-0.7998148385796493,-0.44820243064992266,-0.44820243064992266,1.0,-0.608945494863495,0.9968050674048707,0.33014878316600904,-0.5595859925869381,-0.4936594284473985,-0.6343986521342092,-0.6424045938380661,,
