,count,mean,std,min,25%,50%,75%,max,range,cv
clouds (%),366.0,0.4287704918032787,0.3796983183200841,0.0,0.06,0.33,0.8474999999999999,1.0,1.0,88.55514210485616
dewpt (°C),366.0,20.25737704918033,5.382323957499383,5.9,15.9,20.7,25.3,26.9,21.0,26.569698260699386
dhi (W/m²),366.0,49.54371584699454,4.829362403376397,42.0,45.0,51.0,54.0,55.0,13.0,9.747679036208908
dni (W/m²),366.0,394.78688524590166,33.11711791151032,342.0,363.0,400.0,428.0,436.0,94.0,8.388606397318037
ghi (W/m²),366.0,302.90437158469945,51.784793161262094,216.0,253.0,317.5,353.0,360.0,144.0,17.09608642831416
max_dhi (W/m²),366.0,123.68306010928961,3.9577338793039973,116.0,121.0,126.0,126.0,128.0,12.0,3.1998997080172815
max_dni (W/m²),366.0,935.3688524590164,12.725683760517255,910.0,929.25,937.0,942.0,956.0,46.0,1.3604989867967445
max_ghi (W/m²),366.0,956.5245901639345,106.95400725377145,762.0,857.25,1008.0,1048.75,1062.0,300.0,11.181521975869025
max_temp (°C),366.0,32.98087431693989,3.427290203292559,26.7,30.0,32.6,35.6,41.9,15.2,10.391750595684506
max_uv (Index),366.0,7.0101092896174855,2.691413335303166,2.3,4.4,6.8,8.975,12.2,9.899999999999999,38.39331491292664
max_wind_dir (°),366.0,184.71584699453553,65.51771585342775,27.0,147.5,210.5,231.0,325.0,298.0,35.469461293900764
max_wind_spd (m/s),366.0,3.9322404371584696,1.3661259722911996,1.6,2.8,3.6,4.8,8.8,7.200000000000001,34.741669389840126
min_temp (°C),366.0,23.225409836065573,4.218703848380607,13.3,19.6,24.8,26.3,30.0,16.7,18.16417397220519
precip (mm),366.0,6.220765027322405,16.602087852344514,0.0,0.0,0.0,2.3,106.8,106.8,266.88177064116707
precip_gpm (mm/hr),366.0,6.220765027322405,16.602087852344514,0.0,0.0,0.0,2.3,106.8,106.8,266.88177064116707
pres (hPa),366.0,1000.7650273224044,4.6114189269463886,989.0,998.0,1001.0,1005.0,1009.0,20.0,0.46078937623194777
rh (%),366.0,0.67775956284153,0.15943361087977823,0.31,0.55,0.67,0.83,0.97,0.6599999999999999,23.52362395468791
slp (hPa),366.0,1008.6147540983607,4.716244247532185,997.0,1005.0,1009.0,1013.0,1017.0,20.0,0.4675961984859339
solar_rad (W/m²),366.0,223.03551912568307,95.68553716527113,31.0,146.0,234.5,301.0,359.0,328.0,42.901479343006
temp (°C),366.0,27.723770491803283,3.2242587325738823,20.9,25.7,27.9,29.675,35.2,14.300000000000004,11.629943097123661
wind_dir (°),366.0,184.71584699453553,65.51771585342775,27.0,147.5,210.5,231.0,325.0,298.0,35.469461293900764
wind_gust_spd (m/s),366.0,8.201092896174865,2.557695646765589,4.4,6.4,7.6,9.6,16.8,12.4,31.18725368857294
wind_spd (m/s),366.0,2.778142076502732,1.23750205380986,0.9,1.9,2.4,3.4,7.2,6.3,44.54423207065389
query_lat (°),366.0,20.969999999999995,3.557577081048374e-15,20.97,20.97,20.97,20.97,20.97,0.0,1.696507907033083e-14
query_lon (°),366.0,73.31,0.0,73.31,73.31,73.31,73.31,73.31,0.0,0.0
