,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.5617345642841952,0.42669024478103534,0.41921408661507925,0.4490783393388931,0.4092665984561764,0.27194591593024736,0.44359639878537055,-0.09557635981640318,-0.6186112138001629,0.2061691481449779,0.275805468263514,0.3881891889851079,0.5010486569146958,0.5010486569146958,-0.5606407747115723,0.5617827336700719,-0.5569076019645309,-0.6999771193009563,0.1945570302187986,0.2061691481449779,0.3217586005557468,0.2683469399335443,,
dewpt (°C),0.5617345642841952,1.0,0.6120441443903756,0.6096797333663858,0.6375340070327066,0.5426123228626463,0.309523298783212,0.6193370794426604,0.35187847546637624,-0.14437248691786989,0.29278531496932786,0.2901353853762316,0.7855269888185278,0.399390825185005,0.399390825185005,-0.8006029717858255,0.6941838825800764,-0.7997558344843871,-0.19592184452579045,0.628423176531362,0.29278531496932786,0.3408040108904692,0.27743432792212397,,
dhi (W/m²),0.42669024478103534,0.6120441443903756,1.0,0.9982019737464838,0.9969943694776594,0.9483577503749497,0.7969133398794351,0.9843944337920117,0.7273609112195473,0.34301379400483817,0.5691408448861404,0.5460995889349498,0.8942442737656023,0.2380239337807508,0.2380239337807508,-0.8367633830590653,-0.005805888959834117,-0.8402717493811326,0.21424794434608152,0.8789981591150786,0.5691408448861404,0.5419154193844417,0.48669268508102964,,
dni (W/m²),0.41921408661507925,0.6096797333663858,0.9982019737464838,1.0,0.9968409034176212,0.9445673867362593,0.7895586437583751,0.9820542452499441,0.7347386079859086,0.3486885923045922,0.5605448332735958,0.5412993982248271,0.8950340814228412,0.2332214974829279,0.2332214974829279,-0.8364602777855636,-0.012886490114695672,-0.83982725320958,0.22047924826347923,0.8826196997170735,0.5605448332735958,0.5400636759051516,0.4797405319803803,,
ghi (W/m²),0.4490783393388931,0.6375340070327066,0.9969943694776594,0.9968409034176212,1.0,0.9569436500770757,0.8062529519623303,0.9912690981908007,0.7157292961095083,0.3226186800443852,0.5746264927215842,0.5339945959947906,0.9033149005018798,0.25222508799540966,0.25222508799540966,-0.8418518112174062,0.02667098899719847,-0.8452341055776281,0.1958690855616326,0.8797158928874954,0.5746264927215842,0.5352116691162274,0.4732524515976409,,
max_dhi (W/m²),0.4092665984561764,0.5426123228626463,0.9483577503749497,0.9445673867362593,0.9569436500770757,1.0,0.9369607137875761,0.984295017074848,0.7002990661069554,0.3577223841073961,0.5879831235635365,0.45775522257150114,0.8529854799374008,0.21876297358477043,0.21876297358477043,-0.7134508369323358,-0.060296659394793936,-0.7178646576502058,0.23264808357320715,0.8468632813221364,0.5879831235635365,0.46278579313403606,0.38970277269369497,,
max_dni (W/m²),0.27194591593024736,0.309523298783212,0.7969133398794351,0.7895586437583751,0.8062529519623303,0.9369607137875761,1.0,0.8692235576371207,0.6342533791220863,0.42041487824430235,0.5514254365657697,0.34227482828729916,0.6845113504039885,0.11395436086332288,0.11395436086332288,-0.4608144137574597,-0.24049619636698993,-0.4657945889687078,0.3097396021116649,0.7191954107923563,0.5514254365657697,0.3368235346888539,0.26273719515632754,,
max_ghi (W/m²),0.44359639878537055,0.6193370794426604,0.9843944337920117,0.9820542452499441,0.9912690981908007,0.984295017074848,0.8692235576371207,1.0,0.7126977699351117,0.33253602785747477,0.5877436624325039,0.5033223794690079,0.8977320723748211,0.24733424658089412,0.24733424658089412,-0.8014759888337155,0.00875114454133814,-0.8051453223164641,0.20579979178539248,0.8765799128691141,0.5877436624325039,0.5076121318541279,0.4394258493719509,,
max_temp (°C),-0.09557635981640318,0.35187847546637624,0.7273609112195473,0.7347386079859086,0.7157292961095083,0.7002990661069554,0.6342533791220863,0.7126977699351117,1.0,0.682225491474075,0.3877621987957781,0.26044209936931473,0.7842401763040872,-0.1286281577773566,-0.1286281577773566,-0.516385710355497,-0.40552812431167023,-0.520448683223316,0.6244388075101923,0.925309292494618,0.3877621987957781,0.2528861093414547,0.19563280383449502,,
max_uv (Index),-0.6186112138001629,-0.14437248691786989,0.34301379400483817,0.3486885923045922,0.3226186800443852,0.3577223841073961,0.42041487824430235,0.33253602785747477,0.682225491474075,1.0,0.261398509991024,0.13397315882516783,0.2975267404357281,-0.3299108941589866,-0.3299108941589866,-0.02371000838660556,-0.6465718713432373,-0.032090616352745384,0.9512339745133402,0.49485728904512044,0.261398509991024,0.09292222885029255,0.08072885929143621,,
max_wind_dir (°),0.2061691481449779,0.29278531496932786,0.5691408448861404,0.5605448332735958,0.5746264927215842,0.5879831235635365,0.5514254365657697,0.5877436624325039,0.3877621987957781,0.261398509991024,1.0,0.3077695712576357,0.5108163346405338,0.13874518919117906,0.13874518919117906,-0.4396637985596015,-0.04991909583042325,-0.43943389623864715,0.19207821175481762,0.4961621171152906,1.0,0.2814411581358983,0.28671815279726287,,
max_wind_spd (m/s),0.275805468263514,0.2901353853762316,0.5460995889349498,0.5412993982248271,0.5339945959947906,0.45775522257150114,0.34227482828729916,0.5033223794690079,0.26044209936931473,0.13397315882516783,0.3077695712576357,1.0,0.43870967513594683,0.25414824627693355,0.25414824627693355,-0.54310087645232,0.037298201191001516,-0.5454261906189694,0.03891076999794571,0.3820063781073006,0.3077695712576357,0.9058367395669362,0.9193299589383948,,
min_temp (°C),0.3881891889851079,0.7855269888185278,0.8942442737656023,0.8950340814228412,0.9033149005018798,0.8529854799374008,0.6845113504039885,0.8977320723748211,0.7842401763040872,0.2975267404357281,0.5108163346405338,0.43870967513594683,1.0,0.22327555970146612,0.22327555970146612,-0.8298717810863849,0.1285684748656574,-0.8327731676783535,0.210252291439384,0.9574434443202371,0.5108163346405334,0.4685453232852573,0.3884744775707606,,
precip (mm),0.5010486569146958,0.399390825185005,0.2380239337807508,0.2332214974829279,0.25222508799540966,0.21876297358477043,0.11395436086332288,0.24733424658089412,-0.1286281577773566,-0.3299108941589866,0.13874518919117906,0.25414824627693355,0.22327555970146612,1.0,1.0,-0.43486443894158355,0.4907905905411299,-0.43172507295354234,-0.45795822228089916,0.07459676739657936,0.13874518919117906,0.27255146356680165,0.25744248027916355,,
precip_gpm (mm/hr),0.5010486569146958,0.399390825185005,0.2380239337807508,0.2332214974829279,0.25222508799540966,0.21876297358477043,0.11395436086332288,0.24733424658089412,-0.1286281577773566,-0.3299108941589866,0.13874518919117906,0.25414824627693355,0.22327555970146612,1.0,1.0,-0.43486443894158355,0.4907905905411299,-0.43172507295354234,-0.45795822228089916,0.07459676739657936,0.13874518919117906,0.27255146356680165,0.25744248027916355,,
pres (hPa),-0.5606407747115723,-0.8006029717858255,-0.8367633830590653,-0.8364602777855636,-0.8418518112174062,-0.7134508369323358,-0.4608144137574597,-0.8014759888337155,-0.516385710355497,-0.02371000838660556,-0.4396637985596015,-0.54310087645232,-0.8298717810863849,-0.43486443894158355,-0.43486443894158355,1.0,-0.37367785214551297,0.9979869984996317,0.08501976517668562,-0.7340423085559844,-0.43966379855960125,-0.5616555614360649,-0.527587170060772,,
rh (%),0.5617827336700719,0.6941838825800764,-0.005805888959834117,-0.012886490114695672,0.02667098899719847,-0.060296659394793936,-0.24049619636698993,0.00875114454133814,-0.40552812431167023,-0.6465718713432373,-0.04991909583042325,0.037298201191001516,0.1285684748656574,0.4907905905411299,0.4907905905411299,-0.37367785214551297,1.0,-0.3690318466552443,-0.6535022299814786,-0.1138490546745763,-0.049919095830423275,0.09189338143080857,0.08234155426995372,,
slp (hPa),-0.5569076019645309,-0.7997558344843871,-0.8402717493811326,-0.83982725320958,-0.8452341055776281,-0.7178646576502058,-0.4657945889687078,-0.8051453223164641,-0.520448683223316,-0.032090616352745384,-0.43943389623864715,-0.5454261906189694,-0.8327731676783535,-0.43172507295354234,-0.43172507295354234,0.9979869984996317,-0.3690318466552443,1.0,0.07705058205753451,-0.737808373652936,-0.4394338962386473,-0.5641005371788979,-0.5285698059173766,,
solar_rad (W/m²),-0.6999771193009563,-0.19592184452579045,0.21424794434608152,0.22047924826347923,0.1958690855616326,0.23264808357320715,0.3097396021116649,0.20579979178539248,0.6244388075101923,0.9512339745133402,0.19207821175481762,0.03891076999794571,0.210252291439384,-0.45795822228089916,-0.45795822228089916,0.08501976517668562,-0.6535022299814786,0.07705058205753451,1.0,0.41445063401553933,0.1920782117548177,-0.006089796620731568,-0.005805908553829873,,
temp (°C),0.1945570302187986,0.628423176531362,0.8789981591150786,0.8826196997170735,0.8797158928874954,0.8468632813221364,0.7191954107923563,0.8765799128691141,0.925309292494618,0.49485728904512044,0.4961621171152906,0.3820063781073006,0.9574434443202371,0.07459676739657936,0.07459676739657936,-0.7340423085559844,-0.1138490546745763,-0.737808373652936,0.41445063401553933,1.0,0.4961621171152906,0.3932492181527082,0.31932729305551316,,
wind_dir (°),0.2061691481449779,0.29278531496932786,0.5691408448861404,0.5605448332735958,0.5746264927215842,0.5879831235635365,0.5514254365657697,0.5877436624325039,0.3877621987957781,0.261398509991024,1.0,0.3077695712576357,0.5108163346405334,0.13874518919117906,0.13874518919117906,-0.43966379855960125,-0.049919095830423275,-0.4394338962386473,0.1920782117548177,0.4961621171152906,1.0,0.2814411581358983,0.28671815279726287,,
wind_gust_spd (m/s),0.3217586005557468,0.3408040108904692,0.5419154193844417,0.5400636759051516,0.5352116691162274,0.46278579313403606,0.3368235346888539,0.5076121318541279,0.2528861093414547,0.09292222885029255,0.2814411581358983,0.9058367395669362,0.4685453232852573,0.27255146356680165,0.27255146356680165,-0.5616555614360649,0.09189338143080857,-0.5641005371788979,-0.006089796620731568,0.3932492181527082,0.2814411581358983,1.0,0.9017724366757727,,
wind_spd (m/s),0.2683469399335443,0.27743432792212397,0.48669268508102964,0.4797405319803803,0.4732524515976409,0.38970277269369497,0.26273719515632754,0.4394258493719509,0.19563280383449502,0.08072885929143621,0.28671815279726287,0.9193299589383948,0.3884744775707606,0.25744248027916355,0.25744248027916355,-0.527587170060772,0.08234155426995372,-0.5285698059173766,-0.005805908553829873,0.31932729305551316,0.28671815279726287,0.9017724366757727,1.0,,
query_lat (°),,,,,,,,,,,,,,,,,,,,,,,,,
query_lon (°),,,,,,,,,,,,,,,,,,,,,,,,,
