,count,mean,std,min,25%,50%,75%,max,range,cv
clouds (%),366.0,0.36423497267759564,0.371027952985821,0.0,0.01,0.21,0.76,1.0,1.0,101.86499946951501
dewpt (°C),366.0,17.85928961748634,6.506579055142834,2.8,12.625,17.5,24.6,27.1,24.3,36.43246284987802
dhi (W/m²),366.0,49.06284153005465,5.618841747951004,40.0,44.0,50.0,55.0,56.0,16.0,11.452336580442541
dni (W/m²),366.0,392.3633879781421,38.61764340188063,330.0,355.25,398.5,431.0,440.0,110.0,9.84231571678445
ghi (W/m²),366.0,297.5273224043716,58.13572279708584,202.0,241.0,311.5,354.75,364.0,162.0,19.53962490815319
max_dhi (W/m²),366.0,122.54098360655738,4.755641277616969,113.0,119.0,125.0,126.0,128.0,15.0,3.880857765011841
max_dni (W/m²),366.0,930.8633879781421,15.662989217575376,899.0,921.0,935.0,940.0,953.0,54.0,1.6826302784983056
max_ghi (W/m²),366.0,937.74043715847,120.12794938468738,724.0,825.0,989.0,1047.0,1058.0,334.0,12.810362508062218
max_temp (°C),366.0,33.77349726775956,4.859672722363684,24.1,30.1,33.3,37.0,45.9,21.799999999999997,14.389012437283968
max_uv (Index),366.0,7.250546448087431,2.7434179714964717,2.3,5.425000000000001,6.85,9.3,12.1,9.8,37.83739599682363
max_wind_dir (°),366.0,196.5737704918033,83.55691208214523,30.0,128.75,229.0,264.0,339.0,309.0,42.506643624475515
max_wind_spd (m/s),366.0,4.0426229508196725,1.239857572429258,2.0,3.2,4.0,4.8,9.2,7.199999999999999,30.669631759199
min_temp (°C),366.0,23.13032786885246,6.059755716550156,10.7,17.4,25.6,27.8,32.6,21.900000000000002,26.198313101779615
precip (mm),366.0,3.215573770491803,9.44436647759055,0.0,0.0,0.0,0.8,79.8,79.8,293.7070380489542
precip_gpm (mm/hr),366.0,3.215573770491803,9.44436647759055,0.0,0.0,0.0,0.8,79.8,79.8,293.7070380489542
pres (hPa),366.0,1005.0956284153006,5.933340440434415,993.0,1001.0,1005.5,1010.0,1016.0,23.0,0.590325962295678
rh (%),366.0,0.5858469945355191,0.16498308283299662,0.22,0.47,0.57,0.73,0.95,0.73,28.16146269791846
slp (hPa),366.0,1008.2814207650273,6.021881028929526,996.0,1004.0,1009.0,1013.0,1019.0,23.0,0.5972420898483344
solar_rad (W/m²),366.0,233.5983606557377,86.17560852210156,38.0,183.25,235.5,302.0,364.0,326.0,36.89050226217197
temp (°C),366.0,27.941530054644804,5.29137026642008,17.5,23.325,29.1,31.375,38.8,21.299999999999997,18.937296046679734
wind_dir (°),366.0,196.5737704918033,83.55691208214523,30.0,128.75,229.0,264.0,339.0,309.0,42.506643624475515
wind_gust_spd (m/s),366.0,7.874863387978142,2.1717417687315286,4.0,6.4,7.6,9.2,19.2,15.2,27.57815166732841
wind_spd (m/s),366.0,2.847267759562842,0.9377505404176513,1.1,2.2,2.7,3.3,7.3,6.199999999999999,32.93510198568854
query_lat (°),366.0,23.12594559231991,7.115154162096749e-15,23.1259455923199,23.1259455923199,23.1259455923199,23.1259455923199,23.1259455923199,0.0,3.0766976138090025e-14
query_lon (°),366.0,72.04571219115529,1.4230308324193497e-14,72.0457121911553,72.0457121911553,72.0457121911553,72.0457121911553,72.0457121911553,0.0,1.9751776880818295e-14
