Column,IQR Outliers,IQR %,Z-Score Outliers (>3),Lower Bound,Upper Bound
clouds (%),0,0.00%,0,-1.115,1.885
dewpt (°C),0,0.00%,0,-5.337500000000002,42.5625
dhi (W/m²),0,0.00%,0,27.5,71.5
dni (W/m²),0,0.00%,0,241.625,544.625
ghi (W/m²),0,0.00%,0,70.375,525.375
max_dhi (W/m²),0,0.00%,0,108.5,136.5
max_dni (W/m²),0,0.00%,0,892.5,968.5
max_ghi (W/m²),0,0.00%,0,492.0,1380.0
max_temp (°C),0,0.00%,0,19.750000000000004,47.349999999999994
max_uv (Index),0,0.00%,0,-0.3874999999999993,15.1125
max_wind_dir (°),0,0.00%,0,-74.125,466.875
max_wind_spd (m/s),7,1.91%,3,0.8000000000000007,7.199999999999999
min_temp (°C),0,0.00%,0,1.7999999999999954,43.400000000000006
precip (mm),78,21.31%,11,-1.2000000000000002,2.0
precip_gpm (mm/hr),78,21.31%,11,-1.2000000000000002,2.0
pres (hPa),0,0.00%,0,987.5,1023.5
rh (%),0,0.00%,0,0.07999999999999996,1.12
slp (hPa),0,0.00%,0,990.5,1026.5
solar_rad (W/m²),0,0.00%,0,5.125,480.125
temp (°C),0,0.00%,0,11.249999999999998,43.45
wind_dir (°),0,0.00%,0,-74.125,466.875
wind_gust_spd (m/s),5,1.37%,4,2.200000000000002,13.399999999999999
wind_spd (m/s),10,2.73%,5,0.5500000000000007,4.949999999999999
query_lat (°),0,0.00%,0,23.1259455923199,23.1259455923199
query_lon (°),0,0.00%,0,72.0457121911553,72.0457121911553
