,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.6506805380776668,0.4267259298340337,0.41895424351871446,0.4488953265591841,0.30821629662743816,0.058365910104871965,0.41868153083755655,-0.43107133308172474,-0.7236403435026045,0.3115598263858868,0.4406959298807161,0.4623062231626903,0.5230354503861347,0.5230354503861347,-0.6647578374377577,0.7645401417187637,-0.6562083436570958,-0.7749832431077257,0.0830742435540801,0.3115598263858868,0.45444227047211366,0.4726511582104181,,
dewpt (°C),0.6506805380776668,1.0,0.6569186582872855,0.6586125257283618,0.6841592114398249,0.5491720873990221,0.2555805985067533,0.6579241163386281,0.02262734265852368,-0.22867097543697282,0.464844268375242,0.410661964854696,0.8670317135343436,0.37089266179424,0.37089266179424,-0.7820078017150555,0.8256917209079332,-0.7864848635850812,-0.28040698793856994,0.5808316672630607,0.464844268375242,0.41830361020326884,0.4268253671027191,,
dhi (W/m²),0.4267259298340337,0.6569186582872855,1.0,0.9968389468978075,0.99662059131261,0.9329400924428588,0.7125733700410524,0.9825315237504656,0.3444250409563399,0.19808364215806745,0.6646489757069717,0.5750108655963589,0.8190006936392835,0.25434797843644047,0.25434797843644047,-0.7994033784761662,0.3252095701661438,-0.8062239741505082,0.0449215132881969,0.7484225870123844,0.6646489757069717,0.5733702287945588,0.5188219451826908,,
dni (W/m²),0.41895424351871446,0.6586125257283618,0.9968389468978075,1.0,0.9949111694058032,0.919811816624858,0.6901257936552033,0.9750428201433835,0.36113813679569806,0.20494988907788686,0.6577075690438324,0.5798036265218849,0.8256503086345554,0.24329902592044225,0.24329902592044225,-0.8036465741752062,0.3154476970369202,-0.8106188879836124,0.05754570103124033,0.7609772089802718,0.6577075690438324,0.5760511098681422,0.5236360549184181,,
ghi (W/m²),0.4488953265591841,0.6841592114398249,0.99662059131261,0.9949111694058032,1.0,0.9407173028956405,0.7214254208800472,0.9899442730404213,0.33568619373874975,0.17801827804538975,0.6730670795806231,0.5614518418903766,0.8329230309756036,0.26548591413945183,0.26548591413945183,-0.805194860860879,0.3560953382431366,-0.8121769234157157,0.029273296088482486,0.7521429080975329,0.6730670795806231,0.5610788817458433,0.5039670823954526,,
max_dhi (W/m²),0.30821629662743816,0.5491720873990221,0.9329400924428588,0.919811816624858,0.9407173028956405,1.0,0.9075297578213464,0.9754653108336274,0.42708108136763023,0.30071481651812937,0.6692108092096524,0.38937578952735585,0.7276735989063936,0.19736541374395616,0.19736541374395616,-0.6294865972362089,0.21167320885953178,-0.6381725395709572,0.1474670342702625,0.7341035431620876,0.6692108092096524,0.40391312971713766,0.310133759556958,,
max_dni (W/m²),0.058365910104871965,0.2555805985067533,0.7125733700410524,0.6901257936552033,0.7214254208800472,0.9075297578213464,1.0,0.8019439552285594,0.491935099811889,0.44299670271001573,0.5708544055713565,0.12111428194640061,0.45686757220748964,0.061501896822745636,0.061501896822745636,-0.28803869013681327,-0.04703273972724527,-0.29761867148701426,0.3050480308890192,0.5890150561145004,0.5708544055713565,0.14637742494064862,0.019592871667127587,,
max_ghi (W/m²),0.41868153083755655,0.6579241163386281,0.9825315237504656,0.9750428201433835,0.9899442730404213,0.9754653108336274,0.8019439552285594,1.0,0.361373164205829,0.2093157277178002,0.6798951178620541,0.4978666600018146,0.811844229990213,0.25596000849845685,0.25596000849845685,-0.7543776148943281,0.3280632293364909,-0.7621406962140529,0.056867439920480475,0.7532238133025659,0.6798951178620541,0.504835534127361,0.43252178740666186,,
max_temp (°C),-0.43107133308172474,0.02262734265852368,0.3444250409563399,0.36113813679569806,0.33568619373874975,0.42708108136763023,0.491935099811889,0.361373164205829,1.0,0.7100584636009696,0.15207534602437567,-0.1675829780138074,0.3808191625678917,-0.35852730061559857,-0.35852730061559857,-0.024016135261924514,-0.5170576888236179,-0.04286503339883795,0.7180593577131456,0.781794377210218,0.15207534602437567,-0.17998388346738356,-0.25889905268001157,,
max_uv (Index),-0.7236403435026045,-0.22867097543697282,0.19808364215806745,0.20494988907788686,0.17801827804538975,0.30071481651812937,0.44299670271001573,0.2093157277178002,0.7100584636009696,1.0,0.13908695295517692,-0.11740877034387193,0.07471752703847986,-0.423339449892644,-0.423339449892644,0.20540248009784126,-0.5877443404192034,0.19175789861450673,0.9246854016112289,0.4328307816628116,0.13908695295517692,-0.12635182423208213,-0.2064158704296515,,
