Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,88,"[0.01, 0.03, 0.07]"
Date ,object,366,0,366,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,366,0,137,"[18.6, 18.7, 18.7]"
dhi (W/m²),int64,366,0,15,"[41, 41, 42]"
dni (W/m²),int64,366,0,99,"[340, 340, 340]"
ghi (W/m²),int64,366,0,142,"[215, 216, 216]"
max_dhi (W/m²),int64,366,0,14,"[116, 116, 116]"
max_dni (W/m²),int64,366,0,49,"[910, 910, 911]"
max_ghi (W/m²),int64,366,0,193,"[759, 760, 762]"
max_temp (°C),float64,366,0,41,"[30.4, 28.5, 27.4]"
max_uv (Index),float64,366,0,94,"[6.3, 6.3, 6.2]"
max_wind_dir (°),int64,366,0,159,"[191, 181, 158]"
max_wind_spd (m/s),float64,366,0,17,"[2.8, 3.2, 2.4]"
min_temp (°C),float64,366,0,43,"[20.4, 19.6, 18.1]"
precip (mm),float64,366,0,74,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,74,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,20,"[1003, 1003, 1003]"
rh (%),float64,366,0,62,"[0.73, 0.76, 0.8]"
slp (hPa),int64,366,0,21,"[1013, 1013, 1013]"
solar_rad (W/m²),int64,366,0,216,"[215, 215, 216]"
temp (°C),float64,366,0,121,"[24.2, 23.5, 22.5]"
wind_dir (°),int64,366,0,159,"[191, 181, 158]"
wind_gust_spd (m/s),float64,366,0,33,"[5.6, 6.4, 5.6]"
wind_spd (m/s),float64,366,0,52,"[1.7, 1.5, 1.7]"
market_name (Text),object,366,0,1,"['Vyra', 'Vyra', 'Vyra']"
query_lat (°),float64,366,0,1,"[21.1124122168599, 21.1124122168599, 21.1124122168599]"
query_lon (°),float64,366,0,1,"[73.3885575720575, 73.3885575720575, 73.3885575720575]"
