,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.6772143725564295,0.43468769034884414,0.42764406140951305,0.45685546355563106,0.3104958040073468,0.0550805613037277,0.42445235650423047,-0.39179241260965303,-0.7009505115112845,0.2997466851168714,0.4759749570610526,0.46717532038072773,0.5164181858060725,0.5164181858060725,-0.6594784636696969,0.7818442567389566,-0.6543720358184155,-0.7733074009578887,0.06439843842237702,0.2997466851168714,0.5121213261622072,0.5022774277145953,,
dewpt (°C),0.6772143725564295,1.0,0.6451637797243072,0.6470339503558594,0.6724358913769427,0.5303815115714426,0.23038924103790612,0.6434967463756879,0.05679262810247956,-0.2505262993929875,0.4002560108269885,0.42608002248613847,0.8588963164341323,0.3827373869289065,0.3827373869289065,-0.7832964446341426,0.8148784139399035,-0.7882840417103587,-0.3177628798529903,0.5480722994272184,0.4002560108269885,0.4629412173809934,0.461459186796749,,
dhi (W/m²),0.43468769034884414,0.6451637797243072,1.0,0.9968389468978075,0.99662059131261,0.9329400924428588,0.7125733700410524,0.9825315237504656,0.37996988907313195,0.21100040233417164,0.6430680075054404,0.5545282245753241,0.8086494830787523,0.25434797843644047,0.25434797843644047,-0.801862730414638,0.29957086036411934,-0.8077653149731379,0.03542980479867706,0.7333753796265196,0.6430680075054404,0.5451489949054907,0.5123291359790164,,
dni (W/m²),0.42764406140951305,0.6470339503558594,0.9968389468978075,1.0,0.9949111694058032,0.919811816624858,0.6901257936552033,0.9750428201433835,0.3969962899573796,0.21740760054184266,0.6348122361693088,0.5556353532844889,0.8156234047174061,0.24329902592044225,0.24329902592044225,-0.8060689589203118,0.2904665347174219,-0.8127691301755497,0.04778757704171306,0.7457954720639285,0.6348122361693088,0.5461278678568801,0.5151104382446651,,
ghi (W/m²),0.45685546355563106,0.6724358913769427,0.99662059131261,0.9949111694058032,1.0,0.9407173028956405,0.7214254208800472,0.9899442730404213,0.37346327071603,0.1913484189235412,0.6494019333210835,0.5410906110991202,0.8221460608666507,0.26548591413945183,0.26548591413945183,-0.8074174301036344,0.32969440775173603,-0.8136303844660041,0.019850461202663962,0.736532061684067,0.6494019333210835,0.5365358812744897,0.5004816210836763,,
max_dhi (W/m²),0.3104958040073468,0.5303815115714426,0.9329400924428588,0.919811816624858,0.9407173028956405,1.0,0.9075297578213464,0.9754653108336274,0.4565139336448663,0.3124424926168158,0.6496702422072305,0.37497924414021144,0.7183683266618618,0.19736541374395616,0.19736541374395616,-0.6325253838628123,0.17440870022901345,-0.6402791380770343,0.14124376953585302,0.7248752627159375,0.6496702422072305,0.3769991245428314,0.31251092226105337,,
max_dni (W/m²),0.0550805613037277,0.23038924103790612,0.7125733700410524,0.6901257936552033,0.7214254208800472,0.9075297578213464,1.0,0.8019439552285594,0.505586645777721,0.4507454543059516,0.5623877948912451,0.11029609410378322,0.45092797052154926,0.061501896822745636,0.061501896822745636,-0.29287421463209073,-0.0917958948583955,-0.3005508734864567,0.30361470198221063,0.5906402501743551,0.5623877948912451,0.11506995147396996,0.024083855943037757,,
max_ghi (W/m²),0.42445235650423047,0.6434967463756879,0.9825315237504656,0.9750428201433835,0.9899442730404213,0.9754653108336274,0.8019439552285594,1.0,0.3974328829670679,0.22270608419825658,0.6559576159497689,0.4812699623189174,0.8009416152747302,0.25596000849845685,0.25596000849845685,-0.7570204597669234,0.2971252906867128,-0.763497401764326,0.048495453892689847,0.738995546416546,0.6559576159497689,0.4820676754646016,0.4341564784406311,,
max_temp (°C),-0.39179241260965303,0.05679262810247956,0.37996988907313195,0.3969962899573796,0.37346327071603,0.4565139336448663,0.505586645777721,0.3974328829670679,1.0,0.7000726999074359,0.16578427847191157,-0.18103878280256117,0.43487356746018213,-0.3495364863077347,-0.3495364863077347,-0.07831188565953957,-0.5100475617289828,-0.0933217363884333,0.7124003714748741,0.8285183687689154,0.16578427847191157,-0.21611243006670727,-0.24857803001344092,,
max_uv (Index),-0.7009505115112845,-0.2505262993929875,0.21100040233417164,0.21740760054184266,0.1913484189235412,0.3124424926168158,0.4507454543059516,0.22270608419825658,0.7000726999074359,1.0,0.1611663982332546,-0.15304972773007378,0.08385818011815573,-0.4160139695162737,-0.4160139695162737,0.17442489666747435,-0.6185212333890445,0.16406838092770004,0.9215076137466157,0.45935437685949804,0.1611663982332546,-0.18539806537995426,-0.22080188826177932,,
