,count,mean,std,min,25%,50%,75%,max,range,cv
clouds (%),366.0,0.43475409836065576,0.3796830973788696,0.0,0.06,0.35,0.86,1.0,1.0,87.33283914069023
dewpt (°C),366.0,20.00737704918033,5.0604537351298475,7.5,15.9,20.4,24.8,26.3,18.8,25.29293931278796
dhi (W/m²),366.0,49.40710382513661,5.003106303595919,41.0,45.0,50.5,54.0,55.0,14.0,10.126289371874725
dni (W/m²),366.0,394.1885245901639,34.408504515928634,339.0,361.0,400.0,428.0,437.0,98.0,8.728946270494049
ghi (W/m²),366.0,301.69945355191254,53.29383371488059,213.0,250.25,316.5,354.0,361.0,148.0,17.664544329613936
max_dhi (W/m²),366.0,123.44808743169399,4.165255393903757,115.0,120.0,126.0,126.0,128.0,13.0,3.3740947150829426
max_dni (W/m²),366.0,934.24043715847,13.3587836303438,907.0,928.0,936.0,941.0,955.0,48.0,1.4299085223687256
max_ghi (W/m²),366.0,952.1612021857924,110.08874986468857,753.0,849.5,1003.5,1048.0,1061.0,308.0,11.561986522026684
max_temp (°C),366.0,32.38852459016394,3.353784124565591,25.9,29.6,32.05,34.8,40.7,14.800000000000004,10.35485304441469
max_uv (Index),366.0,6.947540983606558,2.68667579238438,2.2,4.4,6.75,8.875,12.1,9.899999999999999,38.67088799798187
max_wind_dir (°),366.0,190.18032786885246,65.172691532083,31.0,158.0,221.0,234.0,295.0,264.0,34.268892194268275
max_wind_spd (m/s),366.0,3.6885245901639343,1.3153798381348825,1.6,2.8,3.6,4.4,8.4,6.800000000000001,35.66140894499015
min_temp (°C),366.0,23.04726775956284,3.9175517472640933,13.3,19.700000000000003,24.4,25.9,29.3,16.0,16.997900957863482
precip (mm),366.0,5.741803278688525,15.32417290085965,0.0,0.0,0.0,1.8,99.5,99.5,266.8878078379554
precip_gpm (mm/hr),366.0,5.741803278688525,15.32417290085965,0.0,0.0,0.0,1.8,99.5,99.5,266.8878078379554
pres (hPa),366.0,999.0081967213115,4.5633967791475705,988.0,996.0,999.0,1003.0,1007.0,19.0,0.4567927264385198
rh (%),366.0,0.6749726775956284,0.16007318297883386,0.34,0.53,0.66,0.82,0.97,0.6299999999999999,23.715505574098607
slp (hPa),366.0,1008.8306010928961,4.645662955406007,997.0,1005.0,1009.0,1013.0,1017.0,20.0,0.460499805455269
solar_rad (W/m²),366.0,219.95081967213116,95.75532625486485,30.0,142.0,232.0,298.75,360.0,330.0,43.53488038717117
temp (°C),366.0,27.404098360655738,3.110707910647859,20.3,25.3,27.5,29.375,34.6,14.3,11.351250713338283
wind_dir (°),366.0,190.18032786885246,65.172691532083,31.0,158.0,221.0,234.0,295.0,264.0,34.268892194268275
wind_gust_spd (m/s),366.0,8.097267759562843,2.632513912728883,4.0,6.4,7.2,9.2,17.6,13.600000000000001,32.51113821226788
wind_spd (m/s),366.0,2.6193989071038253,1.1963784023180328,1.0,1.7,2.2,3.3,6.6,5.6,45.67377649404401
query_lat (°),366.0,21.112412216859898,3.557577081048374e-15,21.1124122168599,21.1124122168599,21.1124122168599,21.1124122168599,21.1124122168599,0.0,1.6850642382812955e-14
query_lon (°),366.0,73.38855757205751,1.4230308324193497e-14,73.3885575720575,73.3885575720575,73.3885575720575,73.3885575720575,73.3885575720575,0.0,1.9390363831883853e-14
