Column,IQR Outliers,IQR %,Z-Score Outliers (>3),Lower Bound,Upper Bound
clouds (%),0,0.00%,0,-1.1400000000000001,2.06
dewpt (°C),0,0.00%,0,2.549999999999999,38.150000000000006
dhi (W/m²),0,0.00%,0,31.5,67.5
dni (W/m²),0,0.00%,0,260.5,528.5
ghi (W/m²),0,0.00%,0,94.625,509.625
max_dhi (W/m²),0,0.00%,0,111.0,135.0
max_dni (W/m²),18,4.92%,0,908.5,960.5
max_ghi (W/m²),0,0.00%,0,551.75,1345.75
max_temp (°C),0,0.00%,0,21.800000000000008,42.599999999999994
max_uv (Index),0,0.00%,0,-2.312499999999999,15.587499999999999
max_wind_dir (°),4,1.09%,0,44.0,348.0
max_wind_spd (m/s),7,1.91%,1,0.399999999999999,6.800000000000001
min_temp (°C),0,0.00%,0,10.40000000000001,35.19999999999999
precip (mm),76,20.77%,11,-2.7,4.5
precip_gpm (mm/hr),76,20.77%,11,-2.7,4.5
pres (hPa),0,0.00%,0,985.5,1013.5
rh (%),0,0.00%,0,0.09500000000000014,1.255
slp (hPa),0,0.00%,0,993.0,1025.0
solar_rad (W/m²),0,0.00%,0,-93.125,533.875
temp (°C),0,0.00%,0,19.1875,35.4875
wind_dir (°),4,1.09%,0,44.0,348.0
wind_gust_spd (m/s),22,6.01%,3,2.200000000000002,13.399999999999999
wind_spd (m/s),10,2.73%,1,-0.7,5.699999999999999
query_lat (°),0,0.00%,0,21.1124122168599,21.1124122168599
query_lon (°),0,0.00%,0,73.3885575720575,73.3885575720575
