Actual_Price,Linear_Regression,Random_Forest,XGBoost,Neural_Network,Stacking_Ensemble,Voting_Ensemble
1200,1856.8497868083896,1648.368145743146,1448.8408,1633.326,1709.920527772856,1666.4310214623313
8000,11541.714859859367,11724.780432900436,12290.881,10542.879,11613.742163026098,11756.17718039809
1200,1197.1759351837222,1202.7324644738285,1106.8556,1426.8237,1174.9959175973768,1168.0958786400706
6000,5567.209352715359,5630.397521839415,4827.4883,5374.345,5577.669342422138,5380.548573691983
5550,5505.16745066016,5431.701180569477,5576.968,5131.958,5440.868836963131,5489.572057030459
1500,1531.3759264798068,1529.402246631078,1522.7961,1688.416,1492.2350882343453,1509.4381139545906
1500,1515.4857646698256,1500.6224174788329,1485.9215,1735.0531,1484.0628749540506,1487.8487409272955
11950,11653.366961469961,9575.210416666667,12622.064,10792.811,11671.979162515065,11971.719149828436
3005,2579.224377471154,2957.691666666667,2635.7344,2304.9365,2379.340668060866,2608.685136904473
9375,8636.138673374857,8609.709924242425,8691.11,8052.459,8591.30344508297,8661.202916720013
1000,1438.4937085055121,1448.9721963391823,1437.7225,1635.4292,1426.226982895661,1433.970000419736
1500,1767.0044828663272,1880.6700688954013,1902.2146,1962.9475,1846.5783633467145,1863.1398584952592
7580,7047.422514931274,7222.008749999999,7282.3413,6504.6245,7343.254863361018,7244.792883491598
5900,7289.601146590681,6349.218642838691,7181.3643,6694.7095,6842.856150057296,7027.86847665023
400,347.44097642263887,397.97844018726363,364.62683,554.7327,370.94611587873544,369.5390524724626
1500,1527.7285908810059,1361.8963263123287,1388.1433,1702.9202,1390.6288391742303,1442.4793255353086
2000,1929.0732619357204,1975.652380952381,1733.0013,2042.3315,1929.5106505393867,1859.9478332319338
4000,4234.661015650895,4000.0,4102.2764,3872.0776,4057.342764036067,4102.851861445384
1500,2356.6507737476295,1164.1271645021645,1397.3933,2368.8103,1465.567323999836,1652.4208433164185
5000,4810.88538014765,4827.866187157026,4167.8213,4684.1562,4304.532318367963,4401.308559903219
5500,13215.604041129955,13602.609842548141,13351.957,12043.752,13275.560503021245,13296.409335880366
2000,1815.5009836736353,1999.86326585695,1776.9708,1913.9441,1916.8672859109893,1881.6836307670785
6250,5882.164724280315,6197.343125813278,5953.532,5418.646,6122.262001156001,5997.031635785864
3000,2795.6317232999963,2970.401725363226,2653.04,2782.6338,2901.178576574781,2828.7716762649693
5000,4674.7902316088275,4504.642566991832,3769.6167,4625.543,4548.164483181839,4199.051594991003
2500,2348.037542934221,2446.314587110543,2389.114,2513.8022,2412.4519678470633,2403.277681640969
1500,2955.1298528138404,2754.046638916638,2278.347,2878.0342,2511.9301574320543,2546.619462013168
5350,6213.1896431635005,6054.852474053724,6256.6987,5793.496,6194.661087218752,6218.142995283117
3255,3213.8447008611665,3231.221388888888,3023.6333,3179.9202,3184.7323743555535,3108.2345839291424
800,690.5820242985787,700.7395833333333,686.433,1107.1774,684.9017766623474,689.91872259274
3975,3762.2334054618905,3906.763444157966,4004.8137,3671.1016,3885.4184542084754,3877.622619944479
3750,3864.0523081624533,3757.5127886002883,4019.7515,3649.5806,3946.5766854484696,3878.418590203956
9000,8653.484015813934,9022.18675277621,8341.686,7666.8516,8895.016773019524,8753.728190840906
3855,3590.9582870666327,3730.2907005494512,3693.3838,3543.8228,3758.598791092605,3668.956092454608
700,373.4603716057586,575.840873015873,714.11896,881.43207,513.5772494587558,549.4279726891758
200,202.4950953514376,200.0,300.32104,616.11285,197.1925022098692,237.30911949334111
2000,3487.962380967906,3036.5654761904752,3102.0378,3422.7935,3174.4622563701682,3197.7023637982734
4825,6589.862425657517,6282.701856060606,6449.703,6109.6816,6331.159579008912,6390.447837468569
3200,3386.569756976164,3356.756063016974,3541.6191,3316.0464,3373.775361858686,3435.471069161746
12000,11210.685589546601,11335.681968411707,10960.432,10264.841,11126.797773378046,11079.221746078372
800,890.8965604530904,787.4213001867415,817.1887,1347.8354,792.8009118831617,829.3558619877612
2200,2500.380382939801,2299.816132666844,2060.4102,2532.6821,2323.2404133989603,2301.765826877691
1000,979.4151758844537,998.8080668120425,1086.4736,1272.7439,985.3513157650468,1015.014645045169
1000,-515.1483819876639,1475.7617857142855,739.32776,1054.9613,761.6681495507114,453.0670914883915
6000,5600.755018993835,5895.221475584802,5749.631,5220.401,5802.878257355627,5718.954659995409
10000,9190.170474510785,10001.609711677209,9355.151,8539.787,9697.937794203839,9515.515145107873
1200,1125.5747746780362,1197.5945963953377,923.8516,1436.962,1129.7165457582855,1092.4914461901046
5500,5117.60279312996,4929.003172341443,5403.9546,4921.757,5073.955012278305,5160.562471408634
5550,5194.034101265695,5106.238791116532,5295.6147,4861.0874,5246.861708409674,5248.49421474705
2500,3015.9498902007135,2764.1037698412697,2847.5986,2984.1792,2704.1019802484516,2803.7566688262455
2000,1842.0793903983053,1946.9053606106754,1778.8644,1934.1771,1904.5288833748,1874.4991057406514
1400,1383.608790756799,1416.489055973266,1585.5713,1619.4155,1410.5754425409946,1445.7528505000216
1000,1556.6131974820578,1347.2515613041933,1244.7583,1243.598,1369.8475233642891,1374.2927589262351
9000,8716.767914399694,9367.10972222222,9434.476,7563.8315,9197.822942788342,9060.432197997017
1000,1000.9143813205005,997.6305950141477,898.03656,1295.0958,979.7471984191484,971.798586209512
