Feature,method,lambda,original_skew,new_skew,skew_improvement,original_kurt,new_kurt,kurt_improvement,applied,reason,shift
Days_Since_Last_Record,yeo-johnson,-0.47906249114034977,28.85133047332422,-0.16417211768669385,28.68715835563753,1018.0538393667816,1.780904812738747,1016.2729345540429,True,,
Heatwave_Day,yeo-johnson,-287.610661243236,14.012907020547589,14.012907020547583,5.329070518200751e-15,194.3615631665119,194.36156316651187,2.842170943040401e-14,True,,
precip,yeo-johnson,-1.3575648297304144,5.429642769404231,1.032378771451029,4.397263997953202,37.096246371528295,-0.7824850675147563,36.31376130401354,True,,
Storm_Index,yeo-johnson,-1.0341874774788329,5.366298522718345,0.9645146319535154,4.401783890764829,36.26036761151148,-0.9562746290065722,35.304092982504905,True,,
Rainfall_Deficit_30d,yeo-johnson,1.2324642376614874,-4.488569346809028,0.3864254070513335,4.102143939757695,30.708818011667944,5.786155821822108,24.922662189845838,True,,
precip_Anomaly_30d,yeo-johnson,0.7675357625576582,4.488569346809028,-0.38642540309922896,4.102143943709799,30.708818011667944,5.786155827175744,24.9226621844922,True,,
Heatwave_Count_30d,yeo-johnson,-14.82789979387728,4.042308708734175,3.30611153028508,0.7361971784490948,16.074861137727282,8.930373455365268,7.144487682362014,True,,
Price_RollStd_7d,yeo-johnson,0.20479581605111355,3.9475442036351267,0.025445972014268844,3.9220982316208577,36.41727467781664,0.2912655121971417,36.1260091656195,True,,
Heavy_Rain_Day,none,,3.833470678450158,3.833470678450158,0.0,12.695497442537112,12.695497442537112,0.0,False,No improvement,
Price_Drought_Interaction,yeo-johnson,0.14376354259969515,3.5824245736729647,-0.32534543726378845,3.2570791364091765,16.232375237460015,-0.9945774716084075,15.237797765851608,True,,
Price_RollStd_30d,log,,3.497499704545771,-0.32260537691495617,3.174894327630815,24.976301246218753,-0.10070878515933446,24.87559246105942,True,,0.0
Price_Range_RollMean_7d,yeo-johnson,0.6634106777515403,3.399515602812529,-0.4131438614183044,2.9863717413942243,18.883837488406453,77.67193531851531,-58.78809783010885,True,,
precip_RollMean_7d,yeo-johnson,-0.8016060763104847,3.3247973042214363,0.4813868286918509,2.8434104755295855,11.850075268203152,-1.3200190640258984,10.530056204177255,True,,
Price_Range,yeo-johnson,0.3134951462256608,3.321768618437033,-0.012243622516145804,3.3095249959208872,18.96772164658713,0.47194853442003337,18.495773112167097,True,,
Price_Lag_30d,log,,2.5477099987085947,0.0106577669322093,2.5370522317763853,11.77545046680841,-0.3618485641872602,11.41360190262115,True,,0.0
Price_Seasonal_Deviation,yeo-johnson,1.0264855053829693,-2.4316746255727164,-0.0413682247113073,2.390306400861409,32.78758535341571,21.871156461884436,10.916428891531272,True,,
