clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,market_name,query_lat,query_lon
0,01-01-2024,15.8,40,331,204,114,901,730,27.4,1704063600,5.8,89,3.8,1704063600,15.2,1704067200,0,0,1009,final,74,1014,0,0,204,925,7611,4703,4703,20.9,1704047400,89,4.8,2.1,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0.01,02-01-2024,15.3,40,331,205,114,902,731,25,1704186000,5.9,61,4.1,1704171600,16,1704157200,0,0,1009,final,75,1014,0,0,205,926,7616,4714,4713,20,1704133800,61,6,2.7,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0.01,03-01-2024,12.5,40,331,205,114,902,733,26,1704272400,5.7,88,4.5,1704254400,14,1704243600,0,0,1008,final,67,1013,0,0,205,927,7623,4726,4725,19.5,1704220200,88,6.8,2.9,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0,04-01-2024,11.9,40,332,206,114,903,734,25.6,1704358800,5.9,78,5,1704340800,14,1704330000,0,0,1009,final,67,1014,0,0,206,928,7629,4738,4738,18.8,1704306600,78,7.6,3.1,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0.15,05-01-2024,10.5,40,332,207,114,903,736,25.4,1704441600,5.9,86,4.6,1704409200,13,1704420000,0,0,1008,final,62,1013,0,0,204,929,7637,4752,4698,18.6,1704393000,86,6.8,2.8,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0.01,06-01-2024,10.5,40,332,207,114,903,737,23,1704538800,6,46,5.9,1704524400,13,1704502800,0,0,1011,final,63,1016,0,0,207,930,7645,4767,4767,17.9,1704479400,46,8.2,4.1,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0.3,07-01-2024,12.3,40,333,208,114,904,739,25.2,1704618000,5.7,52,7.5,1704600000,13,1704582000,0,0,1011,final,66,1016,0,0,208,931,7654,4782,4775,19,1704565800,52,9.2,4.5,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0.35,08-01-2024,15.4,41,333,209,114,905,741,25.4,1704704400,4.3,111,5.7,1704654000,16,1704675600,0,0,1010,final,73,1015,0,0,199,932,7663,4798,4582,20.6,1704652200,111,7.2,3.5,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0.4,09-01-2024,14.8,41,334,209,115,905,743,27.2,1704798000,4.9,167,3.8,1704776400,18,1704762000,0,0,1010,final,64,1015,0,0,208,934,7674,4816,4783,22.3,1704738600,167,8.8,2.2,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0.08,10-01-2024,14.5,41,334,210,115,906,745,25.4,1704877200,5.8,63,6.3,1704841200,17,1704852000,0,0,1011,final,67,1016,0,0,210,935,7684,4834,4834,20.9,1704825000,63,8,3.4,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0.02,11-01-2024,14.7,41,335,211,115,906,747,27,1704963600,6.1,70,5.5,1704945600,17,1704924000,0,0,1011,final,68,1016,0,0,211,937,7696,4853,4853,21.3,1704911400,70,6.4,2.9,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0,12-01-2024,14.8,41,335,212,115,907,749,29.4,1705050000,6.1,78,3.5,1705032000,16,1705024800,0,0,1010,final,65,1015,0,0,212,939,7708,4872,4872,22.1,1704997800,78,6.4,1.9,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0,13-01-2024,12.2,41,336,213,115,908,751,30,1705136400,6.1,228,3.6,1705129200,16,1705107600,0,0,1010,final,56,1015,0,0,213,941,7720,4893,4893,22.4,1705084200,228,6,1.6,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
