clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0,01-01-2024,12.3,41,336,213,115,909,752,28.9,6.1,303,2.8,15.9,0,0,1002,0.57,1014,213,21.9,303,6.4,2.2,Amreli,21.55933861,71.22743026
0,02-01-2024,13.4,41,336,213,115,909,753,27.8,6.2,259,3.2,15.6,0,0,1001,0.64,1014,213,21.3,259,6.4,2.3,Amreli,21.55933861,71.22743026
0,03-01-2024,11.2,41,336,214,115,909,754,27.4,6.2,87,3.6,14.1,0,0,1001,0.59,1014,214,20.3,87,8,2.5,Amreli,21.55933861,71.22743026
0,04-01-2024,10.6,41,337,214,115,910,755,27,6.2,58,4.4,13.7,0,0,1001,0.57,1014,214,20,58,8.8,2.9,Amreli,21.55933861,71.22743026
0,05-01-2024,9.8,41,337,215,115,910,757,27.4,6.2,80,4.4,13,0,0,1002,0.55,1014,215,19.8,80,8.4,2.9,Amreli,21.55933861,71.22743026
0.06,06-01-2024,9.8,41,337,216,115,911,758,26.7,6.2,31,4.8,14.4,0,0,1002,0.54,1015,216,19.9,31,10.4,3.2,Amreli,21.55933861,71.22743026
0.03,07-01-2024,13.3,41,337,216,115,911,760,27.8,6.3,31,4,15.6,0,0,1002,0.62,1015,216,20.9,31,8.4,3.3,Amreli,21.55933861,71.22743026
0.2,08-01-2024,16,41,338,217,115,912,762,27.8,4.7,18,4,17,0,0,1002,0.7,1015,208,22,18,8,3.3,Amreli,21.55933861,71.22743026
0.25,09-01-2024,12.8,41,338,218,116,912,763,27,5.5,12,5.2,18.1,0,0,1003,0.55,1015,217,22.3,12,10.8,4.1,Amreli,21.55933861,71.22743026
0.25,10-01-2024,13.7,41,339,218,116,913,765,27.8,5.7,15,4,17.8,0,0,1003,0.59,1015,214,22.3,15,8,3.3,Amreli,21.55933861,71.22743026
0,11-01-2024,15.3,41,339,219,116,913,767,29.3,6.4,20,3.6,17.4,0,0,1003,0.63,1016,219,22.9,20,7.6,2.7,Amreli,21.55933861,71.22743026
0.01,12-01-2024,15.3,41,339,220,116,914,769,30.7,6.4,149,2.8,17,0,0,1002,0.62,1015,220,23.5,149,7.2,2.4,Amreli,21.55933861,71.22743026
0,13-01-2024,12.4,41,340,221,116,914,772,30.4,6.4,297,3.2,17.8,0,0,1002,0.52,1015,221,23.4,297,7.6,2.4,Amreli,21.55933861,71.22743026
0,14-01-2024,9.4,41,340,222,116,915,774,29.3,6.4,317,3.2,15.6,0,0,1003,0.46,1016,222,22.1,317,6.8,2.4,Amreli,21.55933861,71.22743026
0,15-01-2024,9.6,42,341,223,116,916,776,28.1,6.5,309,2.8,15.2,0,0,1002,0.5,1015,223,21.1,309,6.8,2.3,Amreli,21.55933861,71.22743026
0.29,16-01-2024,9.4,42,341,224,116,916,779,27.8,4.7,309,2.8,13.7,0,0,1000,0.51,1013,197,20.7,309,6,2.1,Amreli,21.55933861,71.22743026
0.42,17-01-2024,13.2,42,342,225,117,917,781,27.4,5.4,236,2.4,15.2,0,0,999,0.64,1012,170,20.9,236,6,1.9,Amreli,21.55933861,71.22743026
0.04,18-01-2024,12.9,42,343,226,117,917,784,27.4,6.6,81,2.8,15.9,0,0,1001,0.62,1014,226,21.4,81,7.2,2.4,Amreli,21.55933861,71.22743026
0,19-01-2024,10.9,42,343,227,117,918,786,28.1,6.6,23,4.4,14.8,0,0,1001,0.56,1014,227,20.5,23,9.2,2.9,Amreli,21.55933861,71.22743026
0.35,20-01-2024,8.3,42,344,228,117,919,789,27.8,6.7,174,4,14.8,0,0,1003,0.48,1016,203,20.5,174,8.4,2.9,Amreli,21.55933861,71.22743026
0.71,21-01-2024,7.5,42,344,229,117,920,792,27.8,2.3,36,4,14.1,0,0,1004,0.44,1016,84,20.4,36,8.8,2.9,Amreli,21.55933861,71.22743026
0.42,22-01-2024,8.2,42,345,230,117,920,795,28.1,6.2,98,3.2,13.7,0,0,1003,0.48,1016,214,20.5,98,7.6,2.8,Amreli,21.55933861,71.22743026
0.07,23-01-2024,8.8,42,346,231,117,921,798,27.8,6.8,149,3.6,13.3,0,0,1004,0.5,1017,231,20.3,149,8,2.6,Amreli,21.55933861,71.22743026
0.16,24-01-2024,9.6,42,346,232,118,922,801,28.1,6.8,153,3.2,13.7,0,0,1003,0.52,1016,232,20.7,153,8,2.5,Amreli,21.55933861,71.22743026
0.08,25-01-2024,9.3,42,347,234,118,922,804,28.5,6.6,60,3.6,13.3,0,0,1004,0.52,1017,227,20.5,60,8,2.5,Amreli,21.55933861,71.22743026
0.48,26-01-2024,9.4,43,348,235,118,923,807,28.9,6.8,45,3.2,14.1,0,0,1005,0.49,1018,215,21.2,45,8,2.7,Amreli,21.55933861,71.22743026
0.71,27-01-2024,10,43,348,236,118,924,811,30,3.1,60,3.2,14.4,0,0,1005,0.48,1018,133,22.2,60,6.4,2.4,Amreli,21.55933861,71.22743026
0.57,28-01-2024,9.7,43,349,237,118,925,814,30.7,4.3,213,3.2,15.2,0,0,1004,0.47,1017,185,22.4,213,5.6,1.9,Amreli,21.55933861,71.22743026
0.62,29-01-2024,11.8,43,350,239,118,926,817,28.9,6.5,322,2.8,16.3,0,0,1004,0.52,1017,210,22.2,322,6.8,2.3,Amreli,21.55933861,71.22743026
0.71,30-01-2024,13.5,43,351,240,119,926,821,28.9,4.6,292,2.8,16.3,0,0,1003,0.6,1016,188,22.4,292,6.4,2,Amreli,21.55933861,71.22743026
0.87,31-01-2024,14.8,43,352,241,119,927,824,29.3,3.1,291,3.2,18.1,0,0,1002,0.62,1015,132,23.2,291,6.8,2.3,Amreli,21.55933861,71.22743026
0.11,01-02-2024,16.3,44,353,243,119,928,828,29.3,6.5,269,3.2,18.5,0,0,1003,0.67,1015,242,23.5,269,7.6,2.3,Amreli,21.55933861,71.22743026
0.33,02-02-2024,12.9,44,354,244,119,929,831,30,4.7,182,2.4,17.4,0,0,1004,0.55,1016,189,23.2,182,6,1.9,Amreli,21.55933861,71.22743026
0.01,03-02-2024,14,44,355,246,119,929,835,31.9,7.3,130,2.4,17,0,0,1003,0.55,1016,246,24.8,130,6.8,1.4,Amreli,21.55933861,71.22743026
0,04-02-2024,13.2,44,356,247,120,930,839,33.7,7.4,266,3.6,18.9,0,0,1003,0.48,1016,247,26.1,266,6,2.1,Amreli,21.55933861,71.22743026
0,05-02-2024,18,44,357,249,120,931,842,30.7,7.5,308,3.2,19.6,0,0,1004,0.66,1017,249,25.2,308,7.6,2.3,Amreli,21.55933861,71.22743026
0.09,06-02-2024,14.5,44,359,250,120,932,846,30.7,7.5,296,3.2,19.3,0,0,1004,0.54,1017,246,24.9,296,6.8,2.2,Amreli,21.55933861,71.22743026
0.39,07-02-2024,13.5,45,360,252,120,932,850,30,6.9,323,4,19.3,0,0,1005,0.54,1018,251,24.3,323,8,3,Amreli,21.55933861,71.22743026
0.55,08-02-2024,11.4,45,361,253,120,933,854,28.5,7.2,26,4.4,19.6,0,0,1005,0.48,1018,201,23.5,26,9.2,3.2,Amreli,21.55933861,71.22743026
0.37,09-02-2024,6.9,45,363,255,120,934,857,29.3,7.7,255,3.2,16.3,0,0,1004,0.4,1017,252,22.6,255,7.2,2.6,Amreli,21.55933861,71.22743026
