clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,market_name,query_lat,query_lon
0,2024-01-01,12.7,41,336,213,115,909,752,28.5,1704063600,6.1,291,2.8,1704063600,16.7,1704074400,0.0,0.0,996,final,58,1014,0,0,213,939,7728,4897,4897,21.7,1704047400,291,6.0,2.2,Babra,21.8483550607114,71.3112979502455
0,2024-01-02,13.8,41,336,213,115,909,753,27.4,1704186000,6.2,217,2.8,1704186000,15.9,1704160800,0.0,0.0,996,final,65,1014,0,0,213,940,7732,4908,4908,21.2,1704133800,217,6.0,2.3,Babra,21.8483550607114,71.3112979502455
0,2024-01-03,11.0,41,336,214,115,909,754,27.0,1704272400,6.2,74,3.2,1704272400,14.4,1704240000,0.0,0.0,995,final,58,1014,0,0,214,940,7736,4919,4919,20.3,1704220200,74,7.6,2.5,Babra,21.8483550607114,71.3112979502455
0,2024-01-04,10.3,41,337,214,115,910,755,27.0,1704358800,6.2,15,4.0,1704358800,14.4,1704333600,0.0,0.0,996,final,55,1014,0,0,214,941,7742,4932,4932,20.2,1704306600,15,8.4,2.9,Babra,21.8483550607114,71.3112979502455
0,2024-01-05,9.7,41,337,215,115,910,757,27.4,1704445200,6.2,67,4.0,1704445200,13.3,1704420000,0.0,0.0,996,final,54,1014,0,0,215,942,7748,4945,4945,19.9,1704393000,67,7.6,2.9,Babra,21.8483550607114,71.3112979502455
1,2024-01-06,9.4,41,337,216,115,911,758,26.3,1704531600,6.2,32,4.8,1704531600,14.8,1704499200,0.0,0.0,997,final,52,1015,0,0,216,943,7755,4959,4959,19.9,1704479400,32,9.6,3.3,Babra,21.8483550607114,71.3112979502455
2,2024-01-07,13.0,41,337,216,115,911,760,27.4,1704618000,6.3,35,4.0,1704618000,15.6,1704574800,0.0,0.0,996,final,62,1015,0,0,216,944,7762,4974,4974,20.8,1704565800,35,8.4,3.4,Babra,21.8483550607114,71.3112979502455
18,2024-01-08,15.5,41,338,217,115,912,762,27.8,1704704400,4.7,20,4.0,1704722400,16.7,1704672000,0.0,0.0,996,final,69,1015,0,0,211,945,7770,4990,4854,21.7,1704652200,20,7.6,3.4,Babra,21.8483550607114,71.3112979502455
24,2024-01-09,11.8,41,338,218,116,912,763,26.7,1704790800,5.3,12,5.2,1704790800,18.1,1704765600,0.0,0.0,997,final,53,1015,0,0,217,946,7779,5006,4981,22.1,1704738600,12,10.8,4.3,Babra,21.8483550607114,71.3112979502455
18,2024-01-10,13.3,41,339,218,116,913,765,27.4,1704877200,5.7,16,4.4,1704877200,17.8,1704852000,0.0,0.0,997,final,58,1015,0,0,218,947,7788,5024,5008,22.0,1704825000,16,8.0,3.5,Babra,21.8483550607114,71.3112979502455
0,2024-01-11,14.4,41,339,219,116,913,767,29.3,1704963600,6.4,21,3.2,1704963600,17.4,1704931200,0.0,0.0,997,final,60,1016,0,0,219,949,7798,5042,5042,22.7,1704911400,21,7.2,2.8,Babra,21.8483550607114,71.3112979502455
0,2024-01-12,14.4,41,339,220,116,914,769,30.4,1705057200,6.4,129,3.2,1705057200,17.4,1705024800,0.0,0.0,997,final,59,1015,0,0,220,950,7808,5061,5061,23.4,1704997800,129,6.4,2.3,Babra,21.8483550607114,71.3112979502455
0,2024-01-13,12.0,41,340,221,116,914,772,30.4,1705136400,6.4,284,2.8,1705132800,17.0,1705111200,0.0,0.0,997,final,53,1015,0,0,221,952,7818,5081,5081,22.9,1705084200,284,6.8,2.2,Babra,21.8483550607114,71.3112979502455
0,2024-01-14,8.7,41,340,222,116,915,774,29.3,1705222800,6.4,340,2.8,1705244400,15.6,1705197600,0.0,0.0,997,final,44,1016,0,0,222,953,7830,5102,5102,21.9,1705170600,340,6.4,2.2,Babra,21.8483550607114,71.3112979502455
0,2024-01-15,9.6,42,341,223,116,916,776,28.5,1705316400,6.5,296,2.4,1705309200,14.8,1705284000,0.0,0.0,997,final,50,1015,0,0,223,955,7841,5123,5123,21.1,1705257000,296,6.0,2.1,Babra,21.8483550607114,71.3112979502455
31,2024-01-16,9.4,42,341,224,116,916,779,27.8,1705395600,4.6,320,2.4,1705402800,13.7,1705370400,0.0,0.0,994,final,51,1013,0,0,193,957,7853,5145,4430,20.5,1705343400,320,5.6,2.0,Babra,21.8483550607114,71.3112979502455
57,2024-01-17,13.5,42,342,225,117,917,781,27.4,1705489200,5.4,245,2.4,1705471200,14.8,1705456800,0.0,0.0,994,final,66,1012,0,0,168,959,7865,5168,3872,20.9,1705429800,245,5.2,1.5,Babra,21.8483550607114,71.3112979502455
